Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,ORP5_A00_neg m/z,ORP5_A00_neg RT mean,ORP5_A00_neg Normalized Area,ORP5_A08_neg m/z,ORP5_A08_neg RT mean,ORP5_A08_neg Normalized Area,ORP5_A09_neg m/z,ORP5_A09_neg RT mean,ORP5_A09_neg Normalized Area,ORP5_A10_neg m/z,ORP5_A10_neg RT mean,ORP5_A10_neg Normalized Area,ORP5_A11_neg m/z,ORP5_A11_neg RT mean,ORP5_A11_neg Normalized Area,ORP5_A04_neg m/z,ORP5_A04_neg RT mean,ORP5_A04_neg Normalized Area,ORP5_A05_neg m/z,ORP5_A05_neg RT mean,ORP5_A05_neg Normalized Area,ORP5_A06_neg m/z,ORP5_A06_neg RT mean,ORP5_A06_neg Normalized Area,ORP5_A07_neg m/z,ORP5_A07_neg RT mean,ORP5_A07_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,1.64,3.19,306.9190,0.10 - 0.27,1,3.9E6,306.9190,0.16,4.21E6,306.9192,0.17,4.12E6,306.9186,0.18,3.11E6,306.9191,0.18,4.3E6,306.9191,0.18,4.15E6,306.9189,0.20,3.66E6,306.9192,0.17,3.95E6,306.9190,0.17,3.74E6,306.9192,0.18,3.72E6,1.02:1.00:0.75:1.04:1.01:0.89:0.96:0.91:0.90,3.98E6,3.77E6,1.00:0.95,0.18,,
,1.27,3.96,418.0718,2.26 - 6.62,1,6.9E5,418.0721,3.66,6.14E5,418.0719,3.69,6.85E5,418.0716,3.66,7.22E5,418.0718,3.68,5.06E5,418.0717,3.68,5.28E5,418.0715,3.67,6.92E5,418.0719,3.67,9.51E5,418.0718,3.67,6.73E5,418.0718,3.70,8.34E5,0.90:1.00:1.05:0.74:0.77:1.01:1.39:0.98:1.22,6.11E5,7.88E5,1.00:1.29,3.68,,
,1.26,3.62,416.0753,2.25 - 5.75,1,7.2E5,416.0753,3.66,6.67E5,416.0755,3.69,7.47E5,416.0752,3.66,7.82E5,416.0754,3.68,5.49E5,416.0753,3.68,5.75E5,416.0752,3.67,7.52E5,416.0751,3.67,7.49E5,416.0754,3.67,7.32E5,416.0755,3.70,9.05E5,0.89:1.00:1.05:0.74:0.77:1.01:1.00:0.98:1.21,6.64E5,7.85E5,1.00:1.18,3.68,,
,1.24,3.31,724.8741,15.16 - 20.27,1,8.9E5,724.8741,20.16,1.02E6,724.8740,20.17,7.93E5,724.8739,20.16,6.57E5,724.8738,20.17,1.09E6,724.8739,20.16,1.07E6,724.8738,20.17,1.01E6,724.8740,20.16,7.53E5,724.8743,20.17,7.61E5,724.8748,20.17,8.78E5,1.29:1.00:0.83:1.38:1.35:1.27:0.95:0.96:1.11,9.26E5,8.49E5,1.00:0.92,20.16,,
,1.23,4.81,502.6327,0.10 - 0.24,1,1.5E6,502.6324,0.14,8.56E5,502.6330,0.15,2.19E6,502.6324,0.16,3.86E6,502.6325,0.16,1.14E6,502.6336,0.16,8.46E5,-,-,0,502.6331,0.15,2.14E6,502.6321,0.15,1.98E6,502.6327,0.16,4.34E5,0.39:1.00:1.76:0.52:0.39:0:0.98:0.90:0.20,1.78E6,1.14E6,1.00:0.64,0.15,,
,1.23,4.98,560.5909,0.10 - 0.25,1,1.3E6,560.5909,0.14,7.4E5,560.5911,0.15,1.91E6,560.5903,0.16,3.45E6,560.5906,0.16,9.65E5,560.5918,0.16,8.42E5,-,-,0,560.5912,0.15,1.73E6,560.5907,0.15,1.73E6,560.5905,0.16,4.54E5,0.39:1.00:1.80:0.50:0.44:0:0.91:0.90:0.24,1.58E6,9.79E5,1.00:0.62,0.15,,
,1.18,5.07,500.6356,0.10 - 0.24,1,1.1E6,500.6355,0.14,6.44E5,500.6363,0.15,1.71E6,500.6349,0.16,3.03E6,500.6352,0.16,8.57E5,500.6362,0.16,6.34E5,-,-,0,500.6363,0.15,1.52E6,500.6354,0.15,1.51E6,500.6351,0.16,3.14E5,0.38:1.00:1.77:0.50:0.37:0:0.89:0.88:0.18,1.37E6,8.35E5,1.00:0.61,0.16,,
,1.14,5.02,418.0407,0.25 - 0.65,1,3.9E5,418.0408,0.51,1.77E5,418.0406,0.52,3.74E5,418.0403,0.52,3.15E5,418.0405,0.53,2.76E5,418.0405,0.50,3.65E5,418.0407,0.51,7.71E5,418.0407,0.51,4.18E5,418.0413,0.52,7.55E4,418.0404,0.50,6.98E5,0.47:1.00:0.84:0.74:0.97:2.06:1.12:0.20:1.87,3.01E5,4.91E5,1.00:1.63,0.52,,
,1.14,3.59,782.8336,15.12 - 20.25,1,7.8E5,782.8344,20.12,8.71E5,782.8333,20.13,7.09E5,782.8335,20.13,6.04E5,782.8334,20.14,1.01E6,782.8336,20.13,9.98E5,782.8332,20.13,8.99E5,782.8336,20.13,6.16E5,782.8339,20.13,6.25E5,782.8339,20.13,7.19E5,1.23:1.00:0.85:1.43:1.41:1.27:0.87:0.88:1.01,8.39E5,7.15E5,1.00:0.85,20.13,,
,1.13,3.37,329.1525,0.10 - 0.60,1,1.3E6,329.1523,0.14,9.73E5,329.1527,0.15,1.76E6,329.1527,0.14,2.56E6,329.1524,0.16,5.14E5,329.1527,0.16,1.13E6,329.1523,0.51,4.45E5,329.1528,0.15,2.87E6,329.1520,0.15,6.53E5,329.1526,0.13,1.04E6,0.55:1.00:1.46:0.29:0.64:0.25:1.64:0.37:0.59,1.39E6,1.25E6,1.00:0.90,0.19,,
