Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,LCN15_G00_neg m/z,LCN15_G00_neg RT mean,LCN15_G00_neg Normalized Area,LCN15_G09_neg m/z,LCN15_G09_neg RT mean,LCN15_G09_neg Normalized Area,LCN15_G10_neg m/z,LCN15_G10_neg RT mean,LCN15_G10_neg Normalized Area,LCN15_G11_neg m/z,LCN15_G11_neg RT mean,LCN15_G11_neg Normalized Area,LCN15_G04_neg m/z,LCN15_G04_neg RT mean,LCN15_G04_neg Normalized Area,LCN15_G05_neg m/z,LCN15_G05_neg RT mean,LCN15_G05_neg Normalized Area,LCN15_G06_neg m/z,LCN15_G06_neg RT mean,LCN15_G06_neg Normalized Area,LCN15_G07_neg m/z,LCN15_G07_neg RT mean,LCN15_G07_neg Normalized Area,LCN15_G08_neg m/z,LCN15_G08_neg RT mean,LCN15_G08_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,1.41,3.71,293.1741,0.10 - 0.57,1,1.6E7,293.1744,0.16,3.69E7,293.1740,0.15,3.57E6,293.1738,0.15,1.65E7,-,-,0,293.1743,0.15,2.32E7,293.1741,0.15,3.72E7,293.1741,0.15,1.83E7,293.1743,0.16,1.47E6,293.1739,0.16,5.42E6,0.99:0.10:0.44:0:0.62:1.00:0.49:0.04:0.15,1.42E7,1.71E7,0.83:1.00,0.15,,
,1.40,4.07,502.6303,0.10 - 0.24,1,3.1E6,502.6302,0.16,4.45E6,502.6304,0.17,3.12E6,502.6306,0.17,2.95E6,-,-,0,502.6304,0.17,2.55E6,502.6295,0.15,1.82E6,502.6306,0.17,2.62E6,502.6302,0.16,7.76E6,502.6306,0.18,2.48E6,2.45:1.72:1.62:0:1.41:1.00:1.45:4.27:1.37,2.63E6,3.45E6,0.76:1.00,0.16,,
,1.37,3.94,560.5881,0.10 - 0.24,1,2.8E6,560.5885,0.16,4.17E6,560.5881,0.17,2.88E6,560.5881,0.17,2.57E6,-,-,0,560.5881,0.17,2.37E6,560.5880,0.17,1.54E6,560.5879,0.17,2.49E6,560.5884,0.16,6.75E6,560.5878,0.18,2.15E6,2.70:1.87:1.66:0:1.53:1.00:1.61:4.37:1.39,2.41E6,3.06E6,0.79:1.00,0.17,,
,1.33,3.58,656.8821,15.15 - 20.29,1,2.2E6,656.8824,20.15,1.9E6,656.8821,20.16,2.2E6,656.8824,20.18,2.17E6,656.8813,20.16,3.3E6,656.8816,20.16,2.12E6,656.8818,20.16,2.14E6,656.8823,20.17,2.2E6,656.8823,20.16,1.4E6,656.8824,20.16,2.4E6,0.89:1.03:1.02:1.54:0.99:1.00:1.03:0.65:1.13,2.39E6,2.05E6,1.16:1.00,20.16,,
,1.28,4.01,618.5467,0.10 - 0.22,1,1.6E6,618.5471,0.16,2.13E6,618.5468,0.17,1.7E6,618.5469,0.17,1.5E6,-,-,0,618.5469,0.17,1.36E6,618.5466,0.17,7.55E5,618.5471,0.17,1.15E6,618.5463,0.16,4.07E6,618.5463,0.18,1.3E6,2.82:2.26:1.99:0:1.80:1.00:1.52:5.39:1.72,1.33E6,1.73E6,0.77:1.00,0.17,,
,1.15,3.63,540.7478,0.10 - 0.24,1,8.2E5,540.7474,0.18,1.27E6,540.7478,0.19,7.85E5,540.7480,0.17,9.14E5,-,-,0,540.7477,0.17,7.33E5,540.7479,0.17,8.63E5,540.7482,0.17,9.49E5,540.7479,0.21,1.09E6,540.7478,0.18,7.45E5,1.47:0.91:1.06:0:0.85:1.00:1.10:1.26:0.86,7.42E5,8.76E5,0.85:1.00,0.18,,
,1.11,4.40,418.0389,0.28 - 0.61,1,5.1E5,418.0388,0.48,7.05E5,418.0390,0.51,1.61E5,418.0389,0.49,7.91E5,-,-,0,418.0389,0.48,8.4E5,418.0389,0.48,1.29E6,418.0389,0.50,5.99E5,418.0389,0.51,2.85E4,418.0389,0.53,1.61E5,0.54:0.12:0.61:0:0.65:1.00:0.46:0.02:0.12,4.14E5,5.85E5,0.71:1.00,0.50,,
,1.11,3.98,454.0156,0.28 - 0.63,1,4.5E5,454.0155,0.49,5.93E5,454.0155,0.51,2.33E5,454.0157,0.49,7.13E5,-,-,0,454.0155,0.48,7.67E5,454.0156,0.47,9.1E5,454.0156,0.50,5.8E5,454.0157,0.51,4.11E4,454.0160,0.53,1.73E5,0.65:0.26:0.78:0:0.84:1.00:0.64:0.05:0.19,3.85E5,4.94E5,0.78:1.00,0.50,,
,1.10,3.55,444.1043,3.82 - 9.54,1,3.7E5,444.1044,4.53,3.83E5,444.1044,4.55,4.19E5,444.1042,4.57,3.36E5,444.1045,4.54,2.28E5,444.1040,4.53,4.09E5,444.1040,4.53,4.71E5,444.1044,4.54,3.65E5,444.1043,4.54,3.17E5,444.1044,4.54,4.12E5,0.81:0.89:0.72:0.49:0.87:1.00:0.78:0.67:0.88,3.42E5,3.95E5,0.87:1.00,4.54,,
,1.08,3.56,446.1011,3.82 - 9.52,1,3.4E5,446.1011,4.53,3.46E5,446.1010,4.55,3.82E5,446.1012,4.56,3.05E5,446.1014,4.52,2.06E5,446.1014,4.53,3.79E5,446.1008,4.53,4.27E5,446.1010,4.54,3.31E5,446.1010,4.54,2.84E5,446.1010,4.55,3.76E5,0.81:0.90:0.72:0.48:0.89:1.00:0.78:0.66:0.88,3.1E5,3.59E5,0.86:1.00,4.54,,
