Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,LCN15_G00_neg m/z,LCN15_G00_neg RT mean,LCN15_G00_neg Normalized Area,LCN15_G09_neg m/z,LCN15_G09_neg RT mean,LCN15_G09_neg Normalized Area,LCN15_G10_neg m/z,LCN15_G10_neg RT mean,LCN15_G10_neg Normalized Area,LCN15_G11_neg m/z,LCN15_G11_neg RT mean,LCN15_G11_neg Normalized Area,LCN15_G04_neg m/z,LCN15_G04_neg RT mean,LCN15_G04_neg Normalized Area,LCN15_G05_neg m/z,LCN15_G05_neg RT mean,LCN15_G05_neg Normalized Area,LCN15_G06_neg m/z,LCN15_G06_neg RT mean,LCN15_G06_neg Normalized Area,LCN15_G07_neg m/z,LCN15_G07_neg RT mean,LCN15_G07_neg Normalized Area,LCN15_G08_neg m/z,LCN15_G08_neg RT mean,LCN15_G08_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,1.06,4.03,456.0125,0.28 - 0.62,1,4E5,456.0120,0.48,5.51E5,456.0127,0.51,2.22E5,456.0129,0.50,5.96E5,-,-,0,456.0124,0.48,6.95E5,456.0120,0.47,8.13E5,456.0127,0.48,5.16E5,456.0125,0.51,3.75E4,456.0127,0.53,1.63E5,0.68:0.27:0.73:0:0.86:1.00:0.64:0.05:0.20,3.42E5,4.45E5,0.77:1.00,0.49,,
,1.06,3.62,329.1505,0.10 - 0.60,1,4.4E6,329.1512,0.16,9.17E6,329.1501,0.15,1.22E6,329.1499,0.15,5.71E6,-,-,0,329.1504,0.15,6.63E6,329.1502,0.15,9.88E6,329.1503,0.15,5.77E6,329.1510,0.52,1.49E4,329.1506,0.16,1.43E6,0.93:0.12:0.58:0:0.67:1.00:0.58:0.00:0.14,4.02E6,4.74E6,0.85:1.00,0.20,,
,1.05,6.42,681.2942,2.37 - 3.13,1,7.9E5,681.2941,2.97,4.67E5,681.2945,2.98,6.39E5,681.2941,2.98,8.75E5,-,-,0,681.2946,2.98,9.84E5,681.2941,2.97,1.57E6,681.2943,2.99,1.01E6,681.2941,2.98,4.13E5,681.2941,2.97,1.18E6,0.30:0.41:0.56:0:0.63:1.00:0.64:0.26:0.75,4.95E5,1.03E6,0.48:1.00,2.98,,
,1.04,4.51,420.0361,0.28 - 0.61,1,3.1E5,420.0361,0.52,4.19E5,420.0362,0.51,9.83E4,420.0362,0.50,4.77E5,-,-,0,420.0360,0.47,4.94E5,420.0361,0.52,8.09E5,420.0361,0.50,3.82E5,420.0360,0.51,1.58E4,420.0361,0.53,9.67E4,0.52:0.12:0.59:0:0.61:1.00:0.47:0.02:0.12,2.49E5,3.6E5,0.69:1.00,0.51,,
,1.02,3.35,519.4044,7.94 - 13.55,1,1.7E6,519.4045,8.10,1.48E6,519.4052,8.21,1.84E6,519.4041,8.18,1.8E6,519.4037,8.55,2.24E6,519.4040,8.27,1.8E6,519.4042,8.19,1.71E6,519.4046,8.15,1.82E6,519.4048,8.25,1.12E6,519.4045,8.24,1.92E6,0.87:1.08:1.05:1.31:1.05:1.00:1.07:0.66:1.12,1.84E6,1.67E6,1.10:1.00,8.24,,
,1.00,10.83,293.1748,0.28 - 0.63,1,6.6E6,-,-,0,293.1750,0.51,2.25E6,293.1744,0.50,7.84E6,-,-,0,293.1751,0.52,1.46E7,293.1744,0.52,2.41E7,293.1750,0.50,7.75E6,293.1745,0.51,8.23E5,293.1750,0.53,2.17E6,0:0.09:0.33:0:0.61:1.00:0.32:0.03:0.09,2.52E6,9.88E6,0.26:1.00,0.51,,
,0.99,3.71,724.8691,15.16 - 20.28,1,1.4E6,724.8691,20.16,1.23E6,724.8687,20.16,1.44E6,-,-,-,724.8688,20.16,2.18E6,724.8693,20.17,1.39E6,724.8687,20.17,1.4E6,724.8695,20.17,1.44E6,724.8695,20.16,9.19E5,724.8696,20.16,1.57E6,0.88:1.03:-:1.56:0.99:1.00:1.03:0.66:1.13,1.62E6,1.34E6,1.21:1.00,20.16,,
,0.96,3.38,473.3990,7.95 - 13.55,1,9.1E5,473.3989,8.10,7.78E5,473.3995,8.20,9.51E5,473.3989,8.19,9.28E5,473.3987,8.55,1.17E6,473.3988,8.25,9.08E5,473.3992,8.19,8.87E5,473.3989,8.16,9.53E5,473.3990,8.24,5.81E5,473.3987,8.24,9.9E5,0.88:1.07:1.05:1.32:1.02:1.00:1.07:0.66:1.12,9.57E5,8.64E5,1.11:1.00,8.24,,
,0.96,3.74,509.3754,7.95 - 13.54,1,8.5E5,509.3751,8.11,7.11E5,509.3759,8.20,8.57E5,509.3757,8.17,8.11E5,509.3748,8.54,1.38E6,509.3752,8.27,8.03E5,509.3754,8.19,7.87E5,509.3751,8.16,8.18E5,509.3756,8.24,5.66E5,509.3756,8.24,9.03E5,0.90:1.09:1.03:1.76:1.02:1.00:1.04:0.72:1.15,9.41E5,7.75E5,1.21:1.00,8.24,,
,0.95,3.89,676.5053,0.10 - 0.22,1,6.7E5,676.5065,0.16,8.92E5,676.5045,0.17,7.74E5,676.5052,0.17,6.8E5,-,-,0,676.5054,0.17,5.18E5,676.5055,0.17,3.42E5,676.5051,0.17,5.24E5,676.5049,0.16,2.3E6,-,-,0,2.61:2.27:1.99:0:1.52:1.00:1.53:6.74:0,5.87E5,7.37E5,0.80:1.00,0.17,,
,0.92,3.91,362.0080,0.30 - 2.05,1,1.7E5,362.0077,1.88,3.41E5,362.0083,1.90,1.86E5,362.0082,1.90,5.46E4,-,-,0,362.0077,1.89,3.18E5,362.0076,1.89,2.79E5,362.0078,1.89,2.15E5,362.0084,1.90,7.39E4,362.0083,1.90,3.34E4,1.22:0.67:0.20:0:1.14:1.00:0.77:0.27:0.12,1.46E5,1.84E5,0.79:1.00,1.89,,
,0.91,4.46,407.1672,0.24 - 0.61,1,2E5,407.1663,0.48,2.47E5,407.1674,0.51,7.45E4,407.1673,0.50,3.37E5,-,-,0,407.1675,0.52,3.69E5,407.1673,0.52,5.46E5,407.1673,0.50,2.23E5,-,-,0,407.1672,0.53,3.82E4,0.45:0.14:0.62:0:0.68:1.00:0.41:0:0.07,1.65E5,2.35E5,0.70:1.00,0.51,,
,0.90,3.94,360.0110,0.33 - 2.05,1,1.8E5,360.0112,1.89,3.72E5,360.0110,1.90,2E5,360.0110,1.90,6.06E4,-,-,0,360.0112,1.89,3.42E5,360.0111,1.89,3.01E5,360.0104,1.89,2.44E5,360.0111,1.90,8.14E4,360.0110,1.90,3.7E4,1.24:0.66:0.20:0:1.14:1.00:0.81:0.27:0.12,1.58E5,2.01E5,0.79:1.00,1.90,,
,0.89,3.54,658.6620,0.10 - 0.24,1,5.1E5,658.6615,0.18,9.32E5,658.6631,0.17,6.95E5,658.6624,0.17,5.65E5,-,-,0,658.6621,0.17,5.39E5,658.6618,0.17,5.16E5,658.6619,0.17,4.14E5,658.6616,0.16,9.06E5,-,-,0,1.81:1.35:1.10:0:1.04:1.00:0.80:1.76:0,5.48E5,4.75E5,1.15:1.00,0.17,,
,0.86,3.10,794.4190,0.10 - 0.24,1,1.7E6,794.4197,0.16,2.82E6,794.4191,0.17,2.3E6,794.4193,0.17,1.91E6,-,-,0,-,-,0,794.4172,0.15,1.21E6,794.4189,0.17,1.75E6,794.4197,0.16,5.6E6,-,-,0,2.33:1.89:1.58:0:0:1.00:1.44:4.62:0,1.76E6,1.71E6,1.03:1.00,0.16,,
,0.85,7.38,564.3435,3.89 - 5.29,1,9.1E4,564.3436,5.13,4.87E4,564.3436,5.14,6.64E4,564.3436,5.14,8.81E4,-,-,0,564.3436,5.14,9.8E4,564.3434,5.14,2.25E5,564.3435,5.14,1.01E5,564.3436,5.14,5.7E4,564.3433,5.14,1.38E5,0.22:0.29:0.39:0:0.44:1.00:0.45:0.25:0.61,5.08E4,1.24E5,0.41:1.00,5.14,,
,0.85,11.51,326.2330,1.44 - 2.72,1,6.9E4,326.2330,2.55,3.6E4,326.2331,2.54,4.59E4,326.2331,2.53,1.6E4,-,-,0,326.2330,2.55,1.75E5,326.2330,2.55,1.27E5,326.2329,2.54,2.29E4,326.2332,2.54,8.73E4,326.2329,2.55,1.09E5,0.28:0.36:0.13:0:1.38:1.00:0.18:0.69:0.86,2.45E4,1.04E5,0.24:1.00,2.54,,
,0.85,3.64,620.5439,0.10 - 0.22,1,1.1E6,620.5438,0.16,1.79E6,620.5444,0.17,1.43E6,620.5435,0.17,1.41E6,-,-,0,620.5435,0.17,1.05E6,620.5441,0.17,5.42E5,-,-,0,620.5439,0.16,3.3E6,-,-,0,3.30:2.64:2.60:0:1.94:1.00:0:6.09:0,1.16E6,9.78E5,1.18:1.00,0.17,,
,0.84,3.84,448.0981,3.82 - 5.02,1,7.3E4,448.0979,4.54,8.26E4,448.0983,4.55,8.42E4,448.0982,4.54,6.45E4,448.0979,4.52,2.57E4,448.0980,4.55,8.13E4,448.0980,4.53,1.01E5,448.0981,4.54,6.97E4,448.0982,4.54,6.52E4,448.0982,4.54,8.18E4,0.81:0.83:0.64:0.25:0.80:1.00:0.69:0.64:0.81,6.43E4,7.99E4,0.80:1.00,4.54,,
,0.84,3.46,687.5767,15.21 - 17.16,1,9.8E4,687.5773,15.95,5.43E4,687.5768,15.91,1.09E5,687.5770,15.94,7.49E4,687.5762,15.88,1.82E5,687.5764,15.96,1.15E5,687.5768,15.92,7.85E4,687.5763,15.94,7.06E4,687.5764,15.97,7.01E4,687.5768,15.83,1.31E5,0.69:1.39:0.95:2.32:1.47:1.00:0.90:0.89:1.66,1.05E5,9.31E4,1.13:1.00,15.92,,
,0.84,3.37,536.3946,7.97 - 13.55,1,2.9E5,536.3944,8.12,2.53E5,536.3950,8.23,2.94E5,536.3944,8.20,2.87E5,536.3942,8.55,3.99E5,536.3947,8.27,2.51E5,536.3950,8.21,2.98E5,536.3946,8.16,3.08E5,536.3945,8.24,2.04E5,536.3944,8.27,3.33E5,0.85:0.99:0.96:1.34:0.84:1.00:1.04:0.69:1.12,3.08E5,2.79E5,1.11:1.00,8.25,,
,0.84,10.47,441.2013,2.86 - 3.80,1,3.7E5,441.2013,3.68,5.19E5,-,-,0,441.2010,3.68,6.72E4,-,-,0,441.2013,3.69,2.76E5,441.2014,3.67,1.13E6,441.2014,3.67,1.31E6,441.2015,3.67,3.31E4,-,-,0,0.46:0:0.06:0:0.24:1.00:1.16:0.03:0,1.47E5,5.49E5,0.27:1.00,3.68,,
,0.84,3.19,500.6332,0.10 - 0.24,1,1.9E6,500.6335,0.16,3.17E6,500.6330,0.17,2.38E6,500.6333,0.17,2.28E6,-,-,0,-,-,0,-,-,0,500.6330,0.17,2.06E6,500.6335,0.15,5.41E6,500.6329,0.18,1.82E6,1.00:0.75:0.72:0:0:0:0.65:1.70:0.57,1.96E6,1.86E6,1.05:1.00,0.16,,
,0.83,4.33,461.3278,3.57 - 4.31,1,3.8E4,461.3278,4.13,3.84E4,461.3279,4.13,4.27E4,461.3279,4.13,4.34E4,-,-,0,461.3280,4.13,5.01E4,461.3278,4.13,4.8E4,461.3278,4.13,4.66E4,461.3278,4.12,2.64E4,461.3277,4.13,4.54E4,0.80:0.89:0.90:0:1.04:1.00:0.97:0.55:0.95,3.11E4,4.33E4,0.72:1.00,4.13,,
,0.83,10.09,587.3565,0.37 - 0.60,1,8.1E5,587.3564,0.52,9.14E5,-,-,0,587.3564,0.50,4.24E5,-,-,0,587.3566,0.52,1.54E6,587.3565,0.52,4.03E6,587.3564,0.50,3.88E5,-,-,0,587.3563,0.53,8.57E3,0.23:0:0.11:0:0.38:1.00:0.10:0:0.00,3.34E5,1.19E6,0.28:1.00,0.51,,
,0.82,3.10,616.5497,0.10 - 0.22,1,6.8E5,616.5506,0.16,1.16E6,616.5498,0.17,8.91E5,616.5501,0.17,6.47E5,-,-,0,-,-,0,616.5482,0.15,3.85E5,616.5500,0.17,6.2E5,616.5496,0.16,1.9E6,616.5497,0.18,5.64E5,3.01:2.31:1.68:0:0:1.00:1.61:4.92:1.46,6.75E5,6.93E5,0.97:1.00,0.16,,
,0.82,3.64,758.8625,20.06 - 20.25,2,2.1E4,758.8616,20.16,1.6E4,758.8616,20.19,2.2E4,758.8627,20.18,1.97E4,758.8628,20.18,3.49E4,758.8622,20.15,2.11E4,758.8627,20.17,1.88E4,758.8628,20.17,2.16E4,758.8625,20.18,1.29E4,758.8633,20.16,2.35E4,0.85:1.17:1.04:1.85:1.12:1.00:1.15:0.68:1.25,2.32E4,1.96E4,1.18:1.00,20.17,,
,0.81,5.46,698.2845,2.32 - 3.60,1,1.2E5,698.2843,2.97,8.82E4,698.2851,2.98,1.29E5,698.2842,2.98,1.27E5,-,-,0,698.2848,2.98,8.03E4,698.2843,2.97,3.11E5,698.2845,2.99,1.61E5,698.2842,2.98,6.39E4,698.2843,2.99,1.39E5,0.28:0.42:0.41:0:0.26:1.00:0.52:0.21:0.45,8.62E4,1.51E5,0.57:1.00,2.98,,
,0.81,7.02,1221.7786,8.01 - 9.74,1,2E5,1221.7791,8.92,1.45E5,1221.7806,8.94,1.24E5,1221.7793,8.94,1.36E5,1221.7787,8.94,5.02E4,1221.7778,8.92,3.37E5,1221.7781,8.92,3.46E5,1221.7777,8.92,3.33E5,1221.7778,8.92,1.42E5,1221.7786,8.92,1.5E5,0.42:0.36:0.39:0.15:0.98:1.00:0.96:0.41:0.43,1.14E5,2.61E5,0.43:1.00,8.93,,
,0.81,3.36,416.0730,2.49 - 8.59,1,3.5E5,416.0727,3.66,4.04E5,416.0734,3.67,4.47E5,416.0729,3.68,3.65E5,416.0736,3.59,2.62E5,416.0728,3.67,3.21E5,416.0728,3.66,3.2E5,416.0729,3.67,3.73E5,416.0733,3.66,3.69E5,416.0730,3.67,2.95E5,1.26:1.40:1.14:0.82:1.00:1.00:1.16:1.15:0.92,3.69E5,3.36E5,1.10:1.00,3.66,,
,0.81,3.08,1054.7760,18.99 - 20.25,1,3.3E4,1054.7766,20.15,2.22E4,1054.7778,20.15,3.31E4,1054.7766,20.14,3.03E4,1054.7727,20.15,4.83E4,1054.7773,20.15,3.51E4,1054.7771,20.15,3.6E4,1054.7744,20.15,3.13E4,1054.7754,20.14,2.24E4,1054.7764,20.16,3.93E4,0.62:0.92:0.84:1.34:0.97:1.00:0.87:0.62:1.09,3.35E4,3.28E4,1.02:1.00,20.15,,
,0.80,3.08,542.7449,0.10 - 0.24,1,4.9E5,542.7445,0.18,8.35E5,542.7452,0.19,5.69E5,542.7447,0.17,5.64E5,-,-,0,542.7449,0.17,5.28E5,542.7448,0.17,4.93E5,-,-,0,542.7452,0.20,8.47E5,542.7451,0.18,5.44E5,1.69:1.15:1.14:0:1.07:1.00:0:1.72:1.10,4.92E5,4.82E5,1.02:1.00,0.18,,
,0.80,4.77,444.0856,2.96 - 4.07,1,5.1E4,444.0856,3.79,8.37E4,444.0862,3.79,4.37E4,444.0853,3.58,2.93E4,-,-,0,444.0855,3.78,5.94E4,444.0855,3.78,7.71E4,444.0853,3.78,7.03E4,444.0857,3.79,4.81E4,444.0855,3.79,4.49E4,1.09:0.57:0.38:0:0.77:1.00:0.91:0.62:0.58,3.92E4,5.99E4,0.65:1.00,3.76,,
,0.80,3.65,634.2405,7.97 - 12.04,1,5.7E4,634.2402,8.15,5.47E4,634.2411,8.20,6.86E4,634.2405,8.53,1E4,634.2395,8.55,7.43E4,634.2399,8.28,7.45E4,634.2408,8.20,6.57E4,634.2406,8.23,5.44E4,634.2408,8.21,4.75E4,634.2407,8.23,6.61E4,0.83:1.04:0.15:1.13:1.13:1.00:0.83:0.72:1.01,5.19E4,6.16E4,0.84:1.00,8.29,,
,0.79,7.18,1211.7494,8.04 - 9.44,1,1.1E5,1211.7491,8.91,9.07E4,1211.7511,8.93,6.49E4,1211.7489,8.92,7.6E4,1211.7480,8.96,2.74E4,1211.7488,8.93,1.91E5,1211.7490,8.94,1.98E5,1211.7498,8.92,1.91E5,1211.7491,8.93,8.92E4,1211.7510,8.93,9.38E4,0.46:0.33:0.38:0.14:0.96:1.00:0.96:0.45:0.47,6.48E4,1.53E5,0.42:1.00,8.93,,
,0.79,3.54,831.6734,16.76 - 17.40,1,2.4E4,831.6729,17.16,1.12E4,831.6735,17.09,3.09E4,831.6736,17.15,1.86E4,831.6736,17.13,2.69E4,831.6735,17.00,3.41E4,831.6736,17.10,1.99E4,831.6735,17.15,1.66E4,831.6733,17.05,1.78E4,831.6729,17.05,3.78E4,0.56:1.55:0.93:1.35:1.71:1.00:0.83:0.89:1.90,2.19E4,2.53E4,0.87:1.00,17.10,,
,0.78,3.65,502.1542,3.39 - 6.60,1,6.3E4,502.1543,4.54,4E4,502.1542,4.38,6.35E4,502.1542,4.45,5.29E4,502.1546,4.62,1.21E5,502.1539,4.39,6.15E4,502.1541,4.40,5.58E4,502.1545,4.54,4.6E4,502.1541,4.40,5.2E4,502.1537,4.37,7.69E4,0.72:1.14:0.95:2.17:1.10:1.00:0.83:0.93:1.38,6.94E4,5.84E4,1.19:1.00,4.45,,
,0.78,5.83,671.2655,2.39 - 3.58,1,1E5,671.2656,2.98,7.07E4,671.2656,2.98,1.01E5,671.2651,2.98,1.02E5,-,-,0,671.2661,2.98,6.28E4,671.2651,2.97,2.25E5,671.2659,2.99,1.37E5,671.2657,2.98,7.65E4,671.2651,2.99,1.41E5,0.31:0.45:0.45:0:0.28:1.00:0.61:0.34:0.63,6.85E4,1.28E5,0.53:1.00,2.98,,
,0.78,3.43,636.2375,7.95 - 11.57,1,4.2E4,636.2377,8.15,4.09E4,636.2379,8.20,2.57E4,636.2380,8.17,2.42E4,636.2371,8.55,6.77E4,636.2369,8.27,7.13E4,636.2372,8.19,2.79E4,636.2376,8.20,2.38E4,636.2376,8.25,3.75E4,636.2372,8.24,6.15E4,1.47:0.92:0.87:2.43:2.56:1.00:0.85:1.35:2.20,3.96E4,4.44E4,0.89:1.00,8.25,,
,0.78,3.05,418.0699,2.49 - 8.65,1,3.3E5,418.0701,3.66,3.63E5,418.0698,3.67,4.06E5,418.0694,3.68,3.27E5,418.0710,3.65,2.38E5,418.0701,3.67,2.94E5,418.0693,3.66,2.93E5,418.0703,3.67,3.38E5,418.0697,3.66,3.39E5,418.0695,3.67,3.83E5,1.24:1.39:1.12:0.81:1.00:1.00:1.16:1.16:1.31,3.33E5,3.29E5,1.01:1.00,3.67,,
,0.77,5.72,388.0424,1.23 - 3.14,1,4.5E4,388.0422,2.83,3.34E4,388.0426,2.84,6.36E4,388.0426,2.84,2.49E4,-,-,0,388.0425,2.85,5.27E4,388.0425,2.84,3.73E4,388.0420,2.83,8.2E4,388.0426,2.84,6.91E4,388.0425,2.84,3.89E4,0.90:1.71:0.67:0:1.41:1.00:2.20:1.85:1.05,3.05E4,5.6E4,0.54:1.00,2.84,,
,0.76,3.11,1053.8829,16.82 - 17.11,1,2.7E4,1053.8827,16.87,2.54E4,1053.8828,16.88,2.87E4,1053.8826,16.88,2.82E4,1053.8818,16.88,2.73E4,1053.8831,16.88,3.03E4,1053.8823,16.88,2.82E4,1053.8845,16.88,2.9E4,1053.8840,16.88,1.66E4,1053.8821,16.88,2.9E4,0.90:1.02:1.00:0.97:1.07:1.00:1.03:0.59:1.03,2.74E4,2.66E4,1.03:1.00,16.88,,
,0.76,9.40,460.0425,0.97 - 2.25,1,2.8E4,460.0425,2.13,1.62E4,460.0428,2.14,1.71E4,460.0427,2.15,1.59E4,-,-,0,460.0424,2.13,1.03E5,460.0424,2.14,1.77E4,460.0421,2.14,2.27E4,460.0425,2.14,3.95E4,460.0425,2.15,1.7E4,0.91:0.96:0.90:0:5.82:1.00:1.28:2.23:0.96,1.23E4,4E4,0.31:1.00,2.14,,
,0.76,3.35,800.8435,20.11 - 20.25,2,1.1E4,800.8434,20.18,8.85E3,800.8425,20.19,1.01E4,800.8436,20.18,1.09E4,800.8433,20.20,1.58E4,800.8438,20.17,1.06E4,800.8434,20.18,1.04E4,800.8451,20.19,1.2E4,800.8436,20.18,6.73E3,800.8427,20.18,1.22E4,0.85:0.97:1.05:1.53:1.02:1.00:1.16:0.65:1.18,1.14E4,1.04E4,1.10:1.00,20.18,,
,0.76,3.74,458.0093,0.28 - 0.68,1,1.2E5,458.0086,0.48,1.62E5,458.0096,0.51,9.76E4,458.0101,0.50,1.79E5,-,-,0,458.0090,0.48,2.16E5,458.0090,0.48,2.34E5,458.0089,0.50,1.55E5,458.0096,0.52,1.14E4,458.0097,0.53,4.89E4,0.69:0.42:0.77:0:0.92:1.00:0.66:0.05:0.21,1.1E5,1.33E5,0.82:1.00,0.50,,
,0.76,5.52,390.0393,0.99 - 3.09,1,4.2E4,390.0392,2.83,3.35E4,390.0395,2.84,5.96E4,390.0397,2.84,2.34E4,-,-,0,390.0393,2.84,4.93E4,390.0395,2.84,3.6E4,390.0387,2.83,7.32E4,390.0395,2.84,6.45E4,390.0394,2.83,3.52E4,0.93:1.66:0.65:0:1.37:1.00:2.03:1.79:0.98,2.91E4,5.16E4,0.56:1.00,2.84,,
,0.76,7.66,434.3028,1.86 - 3.42,1,1.6E5,434.3028,2.94,2.35E5,434.3031,2.94,4.51E4,434.3027,2.95,6.61E4,-,-,0,434.3028,2.95,1.44E5,434.3030,2.94,5.24E4,434.3030,2.94,7.1E5,434.3026,2.93,3.73E4,434.3024,2.95,1.6E5,4.49:0.86:1.26:0:2.75:1.00:13.56:0.71:3.06,8.66E4,2.21E5,0.39:1.00,2.94,,
,0.75,7.16,295.1535,0.10 - 0.67,1,1.2E6,295.1536,0.14,9.7E5,295.1532,0.15,6.02E6,-,-,0,-,-,0,295.1535,0.39,1.69E5,-,-,0,-,-,0,295.1540,0.57,1.44E6,295.1532,0.16,1.97E6,1.00:6.20:0:0:0.17:0:0:1.49:2.03,1.75E6,7.17E5,2.44:1.00,0.28,,
,0.75,4.67,402.1621,3.86 - 4.78,1,3.3E4,402.1619,4.53,3.53E4,402.1621,4.54,3.81E4,402.1619,4.54,2.32E4,402.1626,4.53,6.8E3,402.1621,4.54,5.27E4,402.1621,4.53,6.73E4,402.1619,4.54,3.15E4,402.1620,4.53,2.5E4,402.1619,4.55,2E4,0.52:0.57:0.34:0.10:0.78:1.00:0.47:0.37:0.30,2.58E4,3.93E4,0.66:1.00,4.54,,
