Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,FABP1_C00_neg m/z,FABP1_C00_neg RT mean,FABP1_C00_neg Normalized Area,FABP1_C05_neg m/z,FABP1_C05_neg RT mean,FABP1_C05_neg Normalized Area,FABP1_C06_neg m/z,FABP1_C06_neg RT mean,FABP1_C06_neg Normalized Area,FABP1_C07_neg m/z,FABP1_C07_neg RT mean,FABP1_C07_neg Normalized Area,FABP1_C11_neg m/z,FABP1_C11_neg RT mean,FABP1_C11_neg Normalized Area,FABP1_C12_neg m/z,FABP1_C12_neg RT mean,FABP1_C12_neg Normalized Area,FABP1_C08_neg m/z,FABP1_C08_neg RT mean,FABP1_C08_neg Normalized Area,FABP1_C09_neg m/z,FABP1_C09_neg RT mean,FABP1_C09_neg Normalized Area,FABP1_C10_neg m/z,FABP1_C10_neg RT mean,FABP1_C10_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,1.40,10.57,444.0863,2.78 - 4.03,1,5.9E6,444.0865,3.79,2.89E5,444.0861,3.84,2.55E5,444.0865,3.78,7.77E5,444.0862,3.77,5.85E6,444.0862,3.78,6.38E6,444.0864,3.77,9.44E5,444.0863,3.76,1.38E7,444.0860,3.81,1.12E7,444.0864,3.78,1.35E7,0.05:0.04:0.12:0.92:1.00:0.15:2.17:1.75:2.12,2.42E6,1.28E7,1.00:5.32,3.79,,
,1.35,10.73,442.0894,2.77 - 4.12,1,6.6E6,442.0894,3.79,5.1E5,442.0890,3.84,2.95E5,442.0895,3.78,1.01E6,442.0895,3.77,6.14E6,442.0894,3.78,6.71E6,442.0899,3.77,1.23E6,442.0894,3.76,1.55E7,442.0894,3.81,1.27E7,442.0894,3.78,1.51E7,0.08:0.04:0.15:0.91:1.00:0.18:2.31:1.89:2.25,2.65E6,1.44E7,1.00:5.44,3.79,,
,1.33,13.61,428.0737,2.32 - 3.68,1,3.3E6,-,-,0,-,-,0,428.0739,3.51,3.79E5,428.0738,3.49,2.25E6,428.0737,3.52,2.66E6,428.0739,3.50,4.68E5,428.0737,3.49,8.1E6,428.0734,3.15,7.48E6,428.0738,3.43,8.14E6,0:0:0.14:0.84:1.00:0.18:3.04:2.81:3.05,9.6E5,7.91E6,1.00:8.23,3.44,,
,1.23,15.98,416.0553,0.62 - 3.19,1,4.6E6,-,-,0,-,-,0,416.0555,3.03,2.52E5,416.0547,3.02,2.08E6,416.0557,3.02,3.23E6,416.0554,3.01,7.74E5,416.0552,3.01,1.03E7,416.0555,2.60,1.41E7,416.0554,3.02,1.09E7,0:0:0.08:0.64:1.00:0.24:3.19:4.37:3.36,1.06E6,1.18E7,1.00:11.13,2.96,,
,1.21,13.65,430.0705,2.32 - 3.68,1,3E6,-,-,0,430.0705,3.54,2.15E4,430.0706,3.51,3.42E5,430.0705,3.49,2.03E6,430.0705,3.52,2.4E6,430.0706,3.50,4.19E5,430.0704,3.49,7.38E6,430.0702,3.15,6.83E6,430.0705,3.49,7.39E6,0:0.01:0.14:0.85:1.00:0.17:3.07:2.84:3.07,8.7E5,7.2E6,1.00:8.28,3.46,,
,1.14,4.38,293.1748,0.10 - 1.58,1,8.8E6,293.1746,0.14,1.54E7,293.1749,0.17,2.12E6,293.1748,0.14,3.86E6,293.1750,0.15,7.79E6,293.1747,0.15,9.26E6,293.1748,0.15,2.16E7,293.1753,0.15,7.92E6,293.1742,0.15,7.4E6,293.1746,0.15,4.25E6,1.66:0.23:0.42:0.84:1.00:2.33:0.86:0.80:0.46,1E7,6.53E6,1.00:0.65,0.15,,
,1.13,10.66,446.0833,2.77 - 4.00,1,1.8E6,446.0843,3.79,7.27E4,446.0833,3.84,6.44E4,446.0834,3.78,2.34E5,446.0833,3.77,1.8E6,446.0830,3.78,1.95E6,446.0833,3.77,2.87E5,446.0826,3.76,4.25E6,446.0830,3.81,3.46E6,446.0832,3.78,4.17E6,0.04:0.03:0.12:0.92:1.00:0.15:2.18:1.77:2.13,7.35E5,3.96E6,1.00:5.39,3.79,,
,1.13,3.32,444.1054,3.79 - 4.91,1,1.8E6,444.1051,4.54,1.75E6,444.1051,4.60,3.3E6,444.1052,4.56,1.5E6,444.1053,4.56,1.62E6,444.1062,4.56,1.52E6,444.1051,4.54,1.66E6,444.1053,4.57,1.78E6,444.1051,4.55,1.47E6,444.1063,4.54,1.84E6,1.15:2.17:0.99:1.07:1.00:1.09:1.17:0.97:1.21,1.89E6,1.7E6,1.00:0.90,4.56,,
,1.13,3.31,446.1023,3.79 - 4.92,1,1.7E6,446.1024,4.54,1.58E6,446.1018,4.60,2.99E6,446.1019,4.56,1.37E6,446.1025,4.56,1.47E6,446.1024,4.56,1.39E6,446.1025,4.54,1.52E6,446.1020,4.57,1.63E6,446.1024,4.57,1.34E6,446.1029,4.54,1.68E6,1.14:2.15:0.99:1.06:1.00:1.09:1.18:0.97:1.21,1.72E6,1.55E6,1.00:0.90,4.56,,
,1.08,3.73,295.1539,0.10 - 0.65,1,1.7E6,295.1537,0.14,6.29E5,295.1546,0.17,1.79E6,295.1534,0.14,1.91E6,295.1542,0.15,2.49E6,295.1539,0.15,1.52E6,295.1534,0.15,9.02E5,295.1542,0.15,2.08E6,295.1534,0.15,4.98E5,295.1541,0.15,3.27E6,0.41:1.18:1.26:1.64:1.00:0.60:1.37:0.33:2.16,1.54E6,1.95E6,1.00:1.27,0.15,,
