Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,FABP1_C00_neg m/z,FABP1_C00_neg RT mean,FABP1_C00_neg Normalized Area,FABP1_C05_neg m/z,FABP1_C05_neg RT mean,FABP1_C05_neg Normalized Area,FABP1_C06_neg m/z,FABP1_C06_neg RT mean,FABP1_C06_neg Normalized Area,FABP1_C07_neg m/z,FABP1_C07_neg RT mean,FABP1_C07_neg Normalized Area,FABP1_C11_neg m/z,FABP1_C11_neg RT mean,FABP1_C11_neg Normalized Area,FABP1_C12_neg m/z,FABP1_C12_neg RT mean,FABP1_C12_neg Normalized Area,FABP1_C08_neg m/z,FABP1_C08_neg RT mean,FABP1_C08_neg Normalized Area,FABP1_C09_neg m/z,FABP1_C09_neg RT mean,FABP1_C09_neg Normalized Area,FABP1_C10_neg m/z,FABP1_C10_neg RT mean,FABP1_C10_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,1.07,14.50,414.0585,0.62 - 3.45,1,5.7E6,414.0585,3.11,-,-,-,0,414.0584,3.03,2.8E5,414.0586,3.02,2.31E6,414.0587,3.02,3.54E6,414.0585,3.01,8.52E5,414.0582,3.01,1.14E7,414.0585,2.99,1.55E7,414.0584,3.02,1.19E7,-:0:0.08:0.65:1.00:0.24:3.21:4.38:3.37,1.4E6,1.29E7,1.00:9.25,3.03,,
,1.04,6.15,418.0398,0.25 - 0.62,1,2.6E5,418.0397,0.52,4.63E5,418.0397,0.51,9.97E4,418.0399,0.52,1.48E5,418.0398,0.53,2.21E5,418.0399,0.49,3.24E5,418.0399,0.52,7.09E5,418.0397,0.51,6.09E4,418.0401,0.52,2.12E5,418.0399,0.51,1.43E5,1.43:0.31:0.46:0.68:1.00:2.19:0.19:0.65:0.44,3.28E5,1.39E5,1.00:0.42,0.52,,
,1.03,13.80,432.0672,2.29 - 3.68,1,9.1E5,-,-,0,-,-,0,432.0673,3.51,9.95E4,432.0671,3.49,6.07E5,432.0673,3.52,7.36E5,432.0672,3.50,1.25E5,432.0672,3.49,2.25E6,432.0670,3.15,2.11E6,432.0672,3.49,2.26E6,0:0:0.14:0.83:1.00:0.17:3.06:2.87:3.07,2.61E5,2.21E6,1.00:8.44,3.45,,
,1.03,3.42,309.1696,0.10 - 1.10,1,1.6E6,309.1697,0.14,1.34E6,309.1700,0.17,1.07E6,309.1694,0.14,1.6E6,309.1702,0.15,2.58E6,309.1695,0.15,2.27E6,309.1695,0.15,1.36E6,309.1699,0.15,1.33E6,309.1689,0.15,8.67E5,309.1696,0.15,2.25E6,0.59:0.47:0.70:1.14:1.00:0.60:0.59:0.38:0.99,1.7E6,1.48E6,1.00:0.87,0.15,,
,1.02,3.28,448.0987,3.77 - 4.89,1,4.8E5,448.0985,4.54,4.45E5,448.0983,4.60,8.87E5,448.0984,4.56,3.84E5,448.0982,4.55,4.13E5,448.0990,4.56,3.92E5,448.0989,4.54,4.31E5,448.0986,4.57,4.73E5,448.0989,4.57,3.81E5,448.0995,4.54,4.89E5,1.14:2.27:0.98:1.06:1.00:1.10:1.21:0.97:1.25,4.92E5,4.48E5,1.00:0.91,4.56,,
,1.02,6.00,418.0710,2.45 - 4.06,1,2.7E6,418.0713,3.68,1.79E6,418.0711,3.71,2.24E6,418.0711,3.67,1.43E6,418.0712,3.69,1.94E6,418.0710,3.69,2.15E6,418.0711,3.68,1.71E6,418.0700,3.68,4.41E6,418.0709,3.66,3.91E6,418.0709,3.69,4.57E6,0.83:1.04:0.67:0.90:1.00:0.80:2.05:1.82:2.13,1.88E6,4.29E6,1.00:2.29,3.68,,
,1.02,5.30,456.0137,0.25 - 0.64,1,4.1E5,456.0131,0.49,6.12E5,456.0142,0.53,1.01E5,456.0143,0.52,1.98E5,456.0135,0.53,3.27E5,456.0137,0.49,5.54E5,456.0137,0.52,1.16E6,456.0139,0.51,1.06E5,456.0135,0.49,4.06E5,456.0136,0.51,2.47E5,1.10:0.18:0.36:0.59:1.00:2.09:0.19:0.73:0.45,4.92E5,2.53E5,1.00:0.51,0.51,,
,1.01,4.64,329.1513,0.10 - 0.19,1,1.9E6,329.1514,0.14,2.88E6,329.1517,0.14,2.16E5,329.1511,0.14,1.27E6,329.1519,0.15,1.96E6,329.1510,0.15,2.69E6,329.1511,0.15,3.82E6,329.1519,0.15,4.48E5,329.1506,0.15,2.43E6,329.1512,0.15,1.02E6,1.07:0.08:0.47:0.73:1.00:1.42:0.17:0.90:0.38,2.14E6,1.3E6,1.00:0.61,0.15,,
,0.99,3.19,313.1644,0.10 - 0.35,1,5.8E5,313.1642,0.14,4.73E5,313.1647,0.14,4.03E5,313.1646,0.14,5.99E5,313.1649,0.15,9.14E5,313.1645,0.15,9.23E5,313.1639,0.15,2.19E5,313.1648,0.15,4.74E5,313.1640,0.15,3.16E5,313.1641,0.15,8.65E5,0.51:0.44:0.65:0.99:1.00:0.24:0.51:0.34:0.94,5.88E5,5.52E5,1.00:0.94,0.15,,
,0.98,19.13,281.2480,0.44 - 8.78,1,1.3E7,-,-,0,-,-,0,281.2479,3.78,9.6E5,281.2480,3.77,3.82E6,281.2478,3.78,4.67E6,281.2480,3.77,1.23E6,281.2479,3.76,3.04E7,281.2484,3.77,4.34E7,281.2479,3.78,3.22E7,0:0:0.21:0.82:1.00:0.26:6.50:9.29:6.90,1.78E6,3.53E7,1.00:19.84,3.77,,
,0.98,7.73,434.3032,1.89 - 3.12,1,3.7E5,434.3039,2.95,2.52E5,434.3033,3.00,2.04E5,434.3038,2.95,4.95E4,434.3027,2.95,1.87E5,434.3033,2.95,1.98E5,434.3034,2.94,3.7E5,434.3032,2.98,1.76E5,434.3027,2.96,8.61E5,434.3029,2.98,1.02E6,1.27:1.03:0.25:0.94:1.00:1.87:0.89:4.35:5.15,2.1E5,6.85E5,1.00:3.26,2.96,,
,0.98,5.70,402.1629,3.71 - 4.81,1,2.2E5,402.1631,4.54,8.33E4,402.1621,4.60,1.14E6,402.1630,4.56,9.68E4,402.1630,4.57,1.02E5,402.1631,4.56,7.43E4,402.1631,4.54,7.97E4,402.1631,4.57,1.27E5,402.1631,4.57,1.04E5,402.1630,4.54,1.37E5,1.12:15.36:1.30:1.38:1.00:1.07:1.71:1.40:1.85,2.63E5,1.23E5,1.00:0.47,4.56,,
,0.96,4.03,342.1542,0.10 - 0.29,1,3.6E5,342.1543,0.14,7.66E5,342.1546,0.14,1.21E5,342.1539,0.14,1.25E5,342.1548,0.15,6.38E5,342.1545,0.15,6.13E5,342.1534,0.15,1.27E5,342.1549,0.15,2.32E5,342.1538,0.15,1.45E5,342.1539,0.15,4.83E5,1.25:0.20:0.20:1.04:1.00:0.21:0.38:0.24:0.79,3.98E5,2.87E5,1.00:0.72,0.15,,
,0.95,3.06,618.5479,0.10 - 0.23,1,5.5E5,618.5485,0.16,4.11E5,-,-,0,618.5485,0.16,1.17E6,618.5480,0.15,1.41E5,618.5480,0.17,9.82E5,618.5469,0.15,5.98E5,-,-,0,618.5478,0.17,1.4E6,618.5475,0.15,2.8E5,0.42:0:1.19:0.14:1.00:0.61:0:1.42:0.29,5.5E5,5.6E5,1.00:1.02,0.16,,
,0.94,5.86,420.0369,0.25 - 0.62,1,1.6E5,420.0361,0.49,2.7E5,420.0369,0.51,5.5E4,420.0372,0.52,8.02E4,420.0371,0.51,1.29E5,420.0370,0.49,1.94E5,420.0371,0.52,4.43E5,420.0369,0.51,3.13E4,420.0363,0.52,1.44E5,420.0372,0.51,8.94E4,1.39:0.28:0.41:0.66:1.00:2.28:0.16:0.74:0.46,1.95E5,8.81E4,1.00:0.45,0.51,,
,0.94,3.51,500.6340,0.10 - 0.21,1,8.6E5,500.6342,0.16,8.12E5,-,-,0,500.6344,0.16,1.75E6,-,-,0,500.6346,0.17,1.57E6,500.6335,0.15,1.31E6,-,-,0,500.6339,0.17,1.68E6,500.6336,0.15,6.12E5,0.52:0:1.12:0:1.00:0.84:0:1.07:0.39,9.06E5,7.65E5,1.00:0.84,0.16,,
,0.94,4.14,303.1441,0.10 - 0.48,1,2.6E6,-,-,0,-,-,0,303.1443,0.16,1.16E7,303.1440,0.15,1.79E6,-,-,0,303.1440,0.37,1.36E5,303.1441,0.15,8.8E6,303.1445,0.36,4.92E5,303.1437,0.15,3.77E5,0:0:1.00:0.15:0:0.01:0.76:0.04:0.03,2.25E6,3.22E6,1.00:1.43,0.22,,
,0.93,4.24,407.1678,0.12 - 0.62,1,1.2E5,407.1672,0.49,1.62E5,-,-,0,407.1682,0.52,1.08E5,407.1683,0.53,9.68E4,407.1682,0.49,1.27E5,407.1674,0.52,2.95E5,407.1679,0.51,7.82E4,407.1674,0.52,1.02E5,407.1682,0.51,8.76E4,1.27:0:0.85:0.76:1.00:2.32:0.61:0.80:0.69,1.32E5,8.92E4,1.00:0.68,0.51,,
,0.93,4.29,403.0167,0.10 - 0.42,1,1.7E5,403.0162,0.32,1.52E5,403.0172,0.29,4.99E5,403.0166,0.31,8.88E4,403.0163,0.31,1.03E5,403.0173,0.33,9.35E4,403.0172,0.29,2.43E5,403.0164,0.30,1.17E5,403.0164,0.32,5.33E4,403.0166,0.11,2.24E5,1.63:5.34:0.95:1.10:1.00:2.60:1.25:0.57:2.40,1.97E5,1.32E5,1.00:0.67,0.29,,
,0.93,4.47,311.1488,0.10 - 0.52,1,1.1E6,311.1489,0.14,1.49E6,-,-,-,311.1488,0.14,9.39E5,311.1495,0.15,1.46E6,311.1487,0.15,1.57E6,311.1484,0.15,7.36E5,311.1496,0.15,5.06E5,311.1481,0.15,6.45E5,311.1489,0.15,1.22E6,0.95:-:0.60:0.93:1.00:0.47:0.32:0.41:0.77,1.24E6,7.89E5,1.00:0.64,0.15,,
,0.92,5.35,454.0166,0.25 - 0.64,1,4.5E5,454.0161,0.50,6.58E5,454.0170,0.53,1.13E5,454.0167,0.51,2.34E5,454.0167,0.53,3.64E5,454.0173,0.49,6.06E5,454.0163,0.52,1.25E6,454.0160,0.52,1.12E5,454.0163,0.52,4.47E5,454.0173,0.51,2.61E5,1.09:0.19:0.39:0.60:1.00:2.07:0.18:0.74:0.43,5.38E5,2.73E5,1.00:0.51,0.51,,
,0.91,19.13,458.1023,3.73 - 4.48,1,6.7E5,-,-,0,-,-,0,458.1021,4.32,2.25E4,458.1022,4.33,2.77E5,458.1027,4.32,3.14E5,458.1027,4.30,3.58E4,458.1020,4.31,1.54E6,458.1018,4.31,2.1E6,458.1025,4.32,1.73E6,0:0:0.07:0.88:1.00:0.11:4.92:6.69:5.51,1.08E5,1.79E6,1.00:16.56,4.32,,
,0.90,3.05,620.5452,0.10 - 0.21,1,4.5E5,620.5448,0.16,3.06E5,-,-,0,620.5460,0.16,1.02E6,620.5457,0.15,7.71E4,620.5455,0.17,8.24E5,620.5442,0.15,5.16E5,-,-,0,620.5453,0.17,1.08E6,620.5448,0.17,2.71E5,0.37:0:1.24:0.09:1.00:0.63:0:1.31:0.33,4.57E5,4.5E5,1.00:0.99,0.16,,
,0.90,3.03,560.5893,0.10 - 0.21,1,1E6,560.5894,0.16,7.87E5,-,-,0,560.5896,0.16,2.06E6,-,-,0,560.5898,0.17,1.83E6,560.5887,0.15,1.38E6,-,-,0,560.5899,0.17,2.26E6,560.5886,0.15,7.47E5,0.43:0:1.12:0:1.00:0.75:0:1.23:0.41,1.01E6,1E6,1.00:0.99,0.16,,
,0.89,7.12,452.1180,2.74 - 4.04,1,4.9E5,452.1182,3.79,2.86E4,452.1177,3.84,1.99E4,452.1181,3.78,7.45E4,452.1179,3.77,7.28E5,452.1179,3.74,8.52E5,452.1182,3.78,1.04E5,452.1179,3.80,8.97E5,452.1179,3.84,6.88E5,452.1180,3.85,1.03E6,0.03:0.02:0.09:0.86:1.00:0.12:1.05:0.81:1.21,3.01E5,8.73E5,1.00:2.90,3.80,,
,0.88,18.71,456.1057,3.22 - 4.48,1,7.4E5,-,-,0,-,-,0,456.1058,4.31,2.8E4,456.1054,4.33,3.23E5,456.1060,4.31,3.9E5,456.1060,4.30,2.48E4,456.1052,4.31,1.66E6,456.1055,4.31,2.31E6,456.1063,4.32,1.88E6,0:0:0.07:0.83:1.00:0.06:4.24:5.93:4.82,1.28E5,1.95E6,1.00:15.27,4.31,,
,0.88,3.11,442.1100,3.84 - 4.87,1,7.1E4,442.1101,4.54,6.77E4,442.1091,4.57,1.3E5,442.1096,4.56,5.61E4,442.1102,4.56,5.83E4,442.1100,4.56,5.76E4,442.1101,4.54,6.38E4,442.1098,4.57,7.2E4,442.1101,4.55,6.02E4,442.1107,4.54,7.64E4,1.18:2.26:0.97:1.01:1.00:1.11:1.25:1.05:1.33,7.22E4,6.95E4,1.00:0.96,4.55,,
,0.86,15.41,418.0519,0.62 - 3.18,1,1.4E6,-,-,0,-,-,0,418.0520,3.03,6.62E4,418.0521,3.02,6.13E5,418.0518,3.02,1.12E6,418.0519,3.01,2.17E5,418.0520,3.01,3E6,418.0517,2.60,4.26E6,418.0517,3.02,3.22E6,0:0:0.06:0.55:1.00:0.19:2.67:3.79:2.87,3.37E5,3.49E6,1.00:10.38,2.96,,
,0.86,9.56,688.4936,7.17 - 8.01,1,1.2E5,-,-,0,688.4929,7.71,9.32E4,688.4930,7.70,7.87E4,688.4932,7.72,1.11E5,688.4940,7.69,4.51E4,688.4933,7.67,1.43E4,688.4937,7.72,2.69E5,688.4938,7.72,2.81E5,688.4948,7.71,2.23E5,0:2.06:1.74:2.46:1.00:0.32:5.95:6.23:4.94,5.7E4,2.58E5,1.00:4.52,7.70,,
,0.85,3.20,609.5587,10.82 - 11.57,1,9.2E4,609.5579,11.13,1.26E5,609.5576,11.18,2.3E5,609.5583,11.17,3.75E4,609.5585,11.22,4.1E4,609.5592,11.18,6.41E4,609.5586,11.14,6.55E4,609.5590,11.22,7.51E4,609.5591,11.20,5.89E4,609.5598,11.18,1.29E5,1.96:3.59:0.58:0.64:1.00:1.02:1.17:0.92:2.02,9.4E4,8.78E4,1.00:0.93,11.18,,
,0.84,19.13,563.5035,3.21 - 3.90,1,2.1E6,-,-,0,-,-,0,-,-,0,563.5033,3.77,1.77E5,563.5029,3.78,2.54E5,563.5040,3.77,4.12E3,563.5032,3.76,4.58E6,563.5037,3.77,8.28E6,563.5039,3.78,5.75E6,0:0:0:0.70:1.00:0.06:18.01:32.54:22.60,7.26E4,6.2E6,1.00:85.49,3.77,,
,0.84,8.83,702.5092,8.09 - 8.86,1,1.1E5,-,-,0,702.5084,8.54,9.42E4,702.5086,8.55,8.05E4,702.5087,8.55,1.09E5,702.5099,8.52,3.88E4,702.5092,8.50,1.1E4,702.5093,8.57,2.37E5,702.5095,8.54,2.37E5,702.5102,8.54,1.92E5,0:2.43:2.07:2.81:1.00:0.28:6.09:6.11:4.94,5.56E4,2.22E5,1.00:3.99,8.54,,
,0.83,10.66,383.1890,3.82 - 4.80,1,1.1E5,383.1891,4.54,2.76E4,383.1886,4.60,8.01E5,383.1887,4.56,3.29E4,383.1894,4.56,3.03E4,383.1895,4.56,2.11E4,383.1888,4.53,2.57E4,383.1886,4.57,2.87E4,383.1885,4.57,2.4E4,383.1895,4.57,3.45E4,1.31:37.87:1.56:1.43:1.00:1.22:1.36:1.14:1.63,1.56E5,2.91E4,1.00:0.19,4.56,,
,0.83,6.03,364.8766,0.10 - 0.24,3,9.8E5,364.8767,0.18,2.21E6,-,-,0,364.8766,0.18,1.24E6,364.8767,0.17,1.02E6,364.8766,0.18,1.4E6,364.8765,0.17,1.37E6,364.8767,0.17,7.09E5,-,-,0,364.8768,0.17,8.66E5,1.58:0:0.89:0.73:1.00:0.98:0.51:0:0.62,1.21E6,5.25E5,1.00:0.43,0.17,,
,0.83,3.05,253.1437,0.10 - 5.36,1,1.7E6,253.1436,0.16,2.02E6,253.1441,0.17,2.24E6,253.1440,0.35,1.06E6,253.1439,0.15,1.77E6,253.1430,0.15,1.53E6,-,-,-,253.1440,0.15,2E6,253.1436,0.36,1.09E6,253.1436,0.17,2.16E6,1.32:1.46:0.69:1.16:1.00:-:1.31:0.72:1.41,1.72E6,1.75E6,1.00:1.02,0.21,,
,0.83,19.13,267.2326,2.65 - 8.50,1,3.1E6,-,-,0,-,-,0,267.2327,3.51,4.97E4,267.2326,3.49,9.55E5,267.2326,3.52,1.38E6,267.2327,3.50,3.41E5,267.2325,3.52,7.71E6,267.2326,3.50,9.91E6,267.2326,3.49,7.88E6,0:0:0.04:0.69:1.00:0.25:5.57:7.17:5.70,4.55E5,8.5E6,1.00:18.69,3.51,,
,0.83,3.14,599.5299,10.81 - 11.57,1,6.8E4,599.5294,11.14,9.23E4,599.5289,11.17,1.46E5,599.5296,11.21,3.11E4,599.5297,11.21,3.47E4,599.5302,11.18,4.87E4,599.5296,11.16,4.86E4,599.5303,11.22,6.22E4,599.5305,11.20,4.81E4,599.5308,11.19,1E5,1.90:2.99:0.64:0.71:1.00:1.00:1.28:0.99:2.06,6.68E4,7.02E4,1.00:1.05,11.19,,
,0.83,6.11,416.0738,2.47 - 4.07,1,2.8E6,416.0739,3.68,2.05E6,416.0736,3.71,3.1E6,416.0739,3.67,1.03E6,416.0738,3.69,2.12E6,416.0737,3.69,2.39E6,416.0741,3.68,1.95E6,416.0734,3.68,4.85E6,-,-,-,416.0738,3.69,5.02E6,0.86:1.30:0.43:0.89:1.00:0.82:2.03:-:2.10,2.11E6,4.94E6,1.00:2.34,3.69,,
,0.83,3.02,450.0952,3.82 - 4.83,1,3.3E4,450.0954,4.54,2.8E4,450.0949,4.60,6.54E4,450.0949,4.56,2.47E4,450.0952,4.56,2.6E4,450.0953,4.56,2.65E4,450.0959,4.54,2.91E4,450.0947,4.57,3.51E4,450.0952,4.57,2.74E4,450.0954,4.57,3.68E4,1.06:2.47:0.93:0.98:1.00:1.10:1.32:1.03:1.39,3.33E4,3.31E4,1.00:0.99,4.56,,
,0.82,3.68,472.0083,0.28 - 0.62,1,4.8E4,472.0080,0.47,3.91E4,472.0085,0.49,3.27E4,472.0087,0.48,6.51E4,472.0085,0.49,4.86E4,472.0086,0.49,7.08E4,472.0078,0.48,5.08E4,472.0084,0.47,3.59E4,472.0077,0.48,2.5E4,472.0088,0.47,6.18E4,0.55:0.46:0.92:0.69:1.00:0.72:0.51:0.35:0.87,5.12E4,4.09E4,1.00:0.80,0.48,,
,0.82,3.72,454.1340,3.75 - 5.04,1,1.1E5,454.1341,4.54,1.17E5,454.1336,4.60,2.21E5,454.1337,4.56,8.37E4,454.1343,4.56,8.78E4,454.1343,4.61,9.06E4,454.1340,4.59,1.15E5,454.1337,4.57,8.85E4,454.1342,4.57,8.35E4,454.1342,4.59,1.11E5,1.30:2.44:0.92:0.97:1.00:1.27:0.98:0.92:1.23,1.19E5,9.44E4,1.00:0.79,4.58,,
,0.82,14.93,428.1865,3.82 - 4.82,1,1.6E5,428.1859,4.52,3.47E4,428.1862,4.63,1.18E6,428.1862,4.56,4.71E4,428.1864,4.56,3.35E4,428.1871,4.54,2.36E4,428.1864,4.53,3.45E4,428.1868,4.57,1.57E4,428.1862,4.57,2.14E4,428.1874,4.54,3.23E4,1.47:50.13:2.00:1.42:1.00:1.46:0.67:0.91:1.37,2.26E5,2.31E4,1.00:0.10,4.56,,
,0.82,10.81,381.1732,3.03 - 4.10,1,1.8E5,-,-,0,381.1731,3.84,9.42E4,381.1734,3.78,2.56E4,381.1734,3.77,1.57E5,381.1732,3.78,1.28E5,381.1735,3.77,1.78E4,381.1725,3.80,4.03E5,381.1732,3.77,3.47E5,381.1733,3.78,4.16E5,0:0.73:0.20:1.23:1.00:0.14:3.14:2.71:3.25,7.05E4,3.89E5,1.00:5.51,3.79,,
,0.82,5.72,404.1597,3.87 - 4.81,1,6.2E4,404.1600,4.54,2.16E4,404.1595,4.60,3.34E5,404.1595,4.56,2.87E4,404.1597,4.57,2.97E4,404.1596,4.56,2.03E4,404.1595,4.54,2.15E4,404.1596,4.57,3.43E4,404.1597,4.57,3.1E4,404.1599,4.57,4.06E4,1.06:16.44:1.41:1.46:1.00:1.06:1.69:1.53:2.00,7.59E4,3.53E4,1.00:0.47,4.57,,
,0.82,10.77,386.1313,2.48 - 3.66,1,1.9E5,-,-,0,-,-,0,386.1314,3.51,2.94E4,386.1313,3.49,2.23E5,386.1314,3.52,1.79E5,386.1312,3.50,2.54E4,386.1314,3.49,4.59E5,386.1310,3.50,3.54E5,386.1312,3.49,4.39E5,0:0:0.16:1.24:1.00:0.14:2.56:1.98:2.45,7.62E4,4.17E5,1.00:5.48,3.50,,
,0.81,3.87,634.2430,7.95 - 11.58,1,7E4,634.2430,8.09,7.8E4,634.2417,8.18,1.15E5,634.2424,8.18,6.83E4,634.2427,8.21,4.86E4,634.2434,8.20,6.34E4,634.2431,8.19,8.24E4,634.2429,8.21,5.78E4,634.2432,8.23,5.09E4,634.2444,8.20,6.35E4,1.23:1.81:1.08:0.77:1.00:1.30:0.91:0.80:1.00,7.59E4,5.74E4,1.00:0.76,8.19,,
,0.80,5.72,334.9016,0.93 - 5.68,1,1.2E5,334.9012,1.28,8.19E4,334.9019,1.31,7.04E4,334.9013,1.29,8.11E4,334.9014,1.27,1.16E5,334.9023,1.29,1E5,334.9021,1.28,8.59E4,334.9013,1.55,2.41E5,334.9011,1.28,2.49E5,334.9017,1.48,8.46E4,0.81:0.70:0.81:1.15:1.00:0.85:2.40:2.47:0.84,8.92E4,1.92E5,1.00:2.15,1.34,,
,0.80,5.57,458.0106,0.26 - 0.65,1,1.2E5,458.0104,0.49,1.83E5,458.0107,0.54,3.74E4,458.0114,0.52,6.82E4,458.0106,0.53,9.95E4,458.0102,0.49,1.7E5,458.0103,0.52,3.37E5,-,-,0,458.0105,0.52,1.27E5,458.0110,0.51,8.92E4,1.08:0.22:0.40:0.59:1.00:1.99:0:0.75:0.53,1.49E5,7.21E4,1.00:0.48,0.52,,
,0.80,3.54,470.0112,0.26 - 0.62,1,5.5E4,470.0111,0.49,4.46E4,470.0115,0.48,3.88E4,470.0112,0.48,8.5E4,470.0108,0.48,5.36E4,470.0113,0.49,7.29E4,470.0108,0.48,5.46E4,470.0110,0.47,5.1E4,470.0112,0.48,2.98E4,470.0119,0.47,6.48E4,0.61:0.53:1.17:0.74:1.00:0.75:0.70:0.41:0.89,5.82E4,4.86E4,1.00:0.83,0.48,,
