Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,CLVS1_A00_neg m/z,CLVS1_A00_neg RT mean,CLVS1_A00_neg Normalized Area,CLVS1_A04_neg m/z,CLVS1_A04_neg RT mean,CLVS1_A04_neg Normalized Area,CLVS1_A05_neg m/z,CLVS1_A05_neg RT mean,CLVS1_A05_neg Normalized Area,CLVS1_A06_neg m/z,CLVS1_A06_neg RT mean,CLVS1_A06_neg Normalized Area,CLVS1_A07_neg m/z,CLVS1_A07_neg RT mean,CLVS1_A07_neg Normalized Area,CLVS1_A08_neg m/z,CLVS1_A08_neg RT mean,CLVS1_A08_neg Normalized Area,CLVS1_A09_neg m/z,CLVS1_A09_neg RT mean,CLVS1_A09_neg Normalized Area,CLVS1_A10_neg m/z,CLVS1_A10_neg RT mean,CLVS1_A10_neg Normalized Area,CLVS1_A11_neg m/z,CLVS1_A11_neg RT mean,CLVS1_A11_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.44,34.15,543.3308,2.91 - 4.01,1,3.9E4,543.3317,3.58,2.15E3,543.3311,3.82,9.61E4,543.3302,3.60,1.83E4,543.3303,3.60,8.51E4,543.3308,3.64,3.99E4,543.3307,3.63,9.98E4,543.3312,3.60,6.61E3,-,-,0,-,-,0,0.33:14.54:2.77:12.87:6.04:15.09:1.00:0:0,5.69E4,2.2E3,25.82:1.00,3.64,,
,0.64,30.95,714.5070,7.31 - 8.20,1,4.9E5,-,-,0,714.5061,7.83,2.44E6,714.5062,7.81,1.33E6,714.5063,7.77,3.33E5,714.5067,7.75,1.55E5,714.5081,7.78,6.69E4,714.5077,7.79,4.81E4,-,-,0,714.5077,7.78,2.12E4,0:50.72:27.61:6.92:3.23:1.39:1.00:0:0.44,7.2E5,2.31E4,31.19:1.00,7.79,,
,0.79,30.41,281.2474,3.11 - 3.98,1,2.8E5,281.2475,3.78,3.79E4,281.2474,3.82,9.37E5,281.2476,3.77,7.24E5,281.2472,3.75,3.36E5,281.2473,3.76,2.57E5,281.2471,3.76,1.4E5,281.2475,3.78,6.24E4,-,-,0,-,-,0,0.61:15.00:11.59:5.38:4.12:2.25:1.00:0:0,4.05E5,2.08E4,19.47:1.00,3.77,,
,0.88,30.25,311.0871,0.10 - 0.49,1,1.9E6,-,-,0,311.0877,0.16,1.92E6,-,-,0,311.0870,0.15,5.14E6,311.0861,0.15,6.13E6,311.0875,0.16,3.93E6,-,-,0,-,-,0,-,-,0,0:1.00:0:2.67:3.18:2.04:0:0:0,2.85E6,0,1.00:0,0.16,,
,0.85,30.25,303.1437,0.10 - 0.51,1,8.4E5,-,-,0,303.1442,0.39,5.42E6,-,-,0,-,-,0,303.1435,0.37,7.9E5,303.1434,0.35,1.31E6,-,-,0,-,-,0,303.1437,0.38,2.68E4,0:1.00:0:0:0.15:0.24:0:0:0.00,1.25E6,8.92E3,140.61:1.00,0.37,,
,0.65,29.34,509.2872,1.19 - 2.14,1,5.9E4,-,-,0,509.2873,2.02,1.91E5,509.2875,2.00,1.46E5,509.2868,1.99,7.16E4,509.2871,1.98,7.54E4,509.2871,1.98,3.68E4,509.2874,1.99,1.13E4,-,-,0,-,-,0,0:16.81:12.89:6.31:6.65:3.24:1.00:0:0,8.68E4,3.78E3,22.95:1.00,1.99,,
,0.72,29.10,430.0696,2.56 - 3.69,1,1.7E5,-,-,0,430.0699,3.52,7.05E5,430.0696,3.50,4.07E5,430.0695,3.50,1.85E5,430.0696,3.49,1.64E5,430.0692,3.50,6.98E4,430.0700,3.50,2.76E4,-,-,0,-,-,0,0:25.49:14.71:6.68:5.93:2.52:1.00:0:0,2.55E5,9.22E3,27.67:1.00,3.50,,
,0.72,29.08,641.4692,6.99 - 8.49,1,2.3E5,-,-,0,641.4681,7.64,7.42E5,641.4692,7.61,6.01E5,641.4688,7.58,3.9E5,641.4696,7.58,2.1E5,641.4694,7.61,1.01E5,641.4698,7.62,2.7E4,-,-,0,-,-,0,0:27.47:22.25:14.42:7.77:3.74:1.00:0:0,3.41E5,9.01E3,37.83:1.00,7.61,,
,0.76,28.21,688.4915,7.15 - 7.95,1,5.8E5,-,-,0,688.4904,7.70,2.89E6,688.4905,7.69,1.46E6,688.4911,7.66,3.91E5,688.4920,7.64,2.11E5,688.4924,7.63,1.02E5,688.4922,7.66,8.26E4,-,-,0,688.4917,7.64,4.09E4,0:34.98:17.66:4.74:2.55:1.24:1.00:0:0.49,8.43E5,4.12E4,20.47:1.00,7.66,,
,0.76,28.21,428.0728,2.56 - 3.65,1,1.9E5,-,-,0,428.0727,3.52,7.71E5,428.0729,3.51,4.43E5,428.0727,3.50,2.04E5,428.0727,3.50,1.78E5,428.0727,3.49,7.94E4,428.0731,3.50,3.45E4,-,-,0,-,-,0,0:22.34:12.85:5.90:5.16:2.30:1.00:0:0,2.79E5,1.15E4,24.28:1.00,3.50,,
