Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,CLVS1_A00_neg m/z,CLVS1_A00_neg RT mean,CLVS1_A00_neg Normalized Area,CLVS1_A04_neg m/z,CLVS1_A04_neg RT mean,CLVS1_A04_neg Normalized Area,CLVS1_A05_neg m/z,CLVS1_A05_neg RT mean,CLVS1_A05_neg Normalized Area,CLVS1_A06_neg m/z,CLVS1_A06_neg RT mean,CLVS1_A06_neg Normalized Area,CLVS1_A07_neg m/z,CLVS1_A07_neg RT mean,CLVS1_A07_neg Normalized Area,CLVS1_A08_neg m/z,CLVS1_A08_neg RT mean,CLVS1_A08_neg Normalized Area,CLVS1_A09_neg m/z,CLVS1_A09_neg RT mean,CLVS1_A09_neg Normalized Area,CLVS1_A10_neg m/z,CLVS1_A10_neg RT mean,CLVS1_A10_neg Normalized Area,CLVS1_A11_neg m/z,CLVS1_A11_neg RT mean,CLVS1_A11_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.68,27.80,426.1701,3.08 - 3.99,1,1.9E5,426.1707,3.77,6.66E3,426.1706,3.82,9.5E5,426.1701,3.77,4.24E5,426.1692,3.75,1.72E5,426.1703,3.76,1.22E5,426.1699,3.76,3E4,426.1702,3.77,1.1E4,-,-,0,-,-,0,0.60:86.16:38.43:15.59:11.06:2.72:1.00:0:0,2.84E5,3.68E3,77.28:1.00,3.77,,
,0.60,27.32,742.5384,8.70 - 9.42,1,3.4E5,-,-,0,742.5376,9.10,1.59E6,742.5377,9.11,9.24E5,742.5376,9.06,2.52E5,742.5386,9.05,1.34E5,742.5391,9.07,6.21E4,742.5391,9.10,4.85E4,-,-,0,742.5391,9.06,2.38E4,0:32.87:19.05:5.21:2.76:1.28:1.00:0:0.49,4.94E5,2.41E4,20.50:1.00,9.08,,
,0.65,27.22,441.2015,2.90 - 3.86,1,1.3E6,441.2014,3.67,5.57E5,441.2011,3.73,2.9E5,-,-,0,441.2015,3.69,6.17E6,441.2015,3.68,3.91E6,441.2015,3.68,4.44E5,441.2018,3.69,1.13E4,-,-,0,441.2014,3.68,1.74E3,49.10:25.58:0:544.32:345.07:39.12:1.00:0:0.87,1.9E6,4.36E3,255.41:1.00,3.69,,
,0.66,27.13,381.1726,3.12 - 3.97,1,1.9E5,381.1729,3.78,8.01E3,381.1726,3.82,9.5E5,381.1728,3.77,4.51E5,381.1724,3.75,1.67E5,381.1723,3.76,1.22E5,381.1724,3.75,3.3E4,381.1729,3.78,1.39E4,-,-,0,-,-,0,0.58:68.42:32.49:12.04:8.77:2.38:1.00:0:0,2.89E5,4.63E3,62.34:1.00,3.77,,
,0.58,26.89,410.1752,2.99 - 4.03,1,1E5,410.1753,3.78,4.34E3,410.1754,3.82,4.32E5,410.1754,3.77,2.35E5,410.1742,3.75,1.23E5,410.1752,3.76,1.01E5,410.1751,3.76,1.66E4,410.1755,3.78,1.5E4,-,-,0,-,-,0,0.29:28.75:15.64:8.17:6.70:1.10:1.00:0:0,1.52E5,5.01E3,30.32:1.00,3.77,,
,0.58,26.83,396.2166,2.80 - 3.65,1,4.1E5,396.2170,3.46,1.88E5,396.2163,3.52,6.12E5,-,-,0,396.2164,3.47,1.29E6,396.2166,3.46,1.07E6,396.2165,3.46,5.4E5,396.2165,3.47,3.69E3,-,-,0,396.2172,3.48,2.49E3,50.95:165.93:0:350.67:289.18:146.42:1.00:0:0.87,6.17E5,2.06E3,255.15:1.00,3.47,,
,0.58,26.61,719.4861,5.63 - 6.85,1,4.3E5,-,-,0,719.4852,6.64,2.21E6,719.4858,6.62,1.13E6,719.4858,6.59,2.98E5,719.4860,6.58,1.48E5,719.4868,6.59,5.13E4,719.4873,6.60,1.85E4,-,-,0,-,-,0,0:119.38:61.09:16.08:7.99:2.77:1.00:0:0,6.39E5,6.17E3,103.65:1.00,6.60,,
,0.45,25.90,510.2091,2.86 - 3.55,1,1.5E4,510.2097,3.47,4.42E3,510.2092,3.48,9.05E3,-,-,0,510.2083,3.47,5.41E4,510.2091,3.46,4.26E4,510.2092,3.46,2.3E4,-,-,0,-,-,0,-,-,0,1.00:2.05:0:12.25:9.64:5.20:0:0:0,2.22E4,0,1.00:0,3.47,,
,0.43,25.77,733.5011,6.53 - 7.62,1,9.2E4,-,-,0,733.5008,7.37,4.61E5,733.5009,7.36,2.59E5,733.5006,7.34,6.2E4,733.5017,7.30,2.97E4,733.5021,7.31,1.09E4,733.5008,7.32,3.53E3,-,-,0,-,-,0,0:130.69:73.39:17.59:8.41:3.10:1.00:0:0,1.37E5,1.18E3,116.59:1.00,7.33,,
,0.72,25.70,452.1174,3.04 - 4.00,1,5.6E4,452.1177,3.78,1.62E4,452.1172,3.82,1.72E5,452.1178,3.77,1.45E5,452.1168,3.75,6.35E4,452.1171,3.76,5.54E4,452.1174,3.76,3.26E4,452.1176,3.77,1.83E4,-,-,0,-,-,0,0.88:9.39:7.93:3.47:3.03:1.78:1.00:0:0,8.08E4,6.1E3,13.25:1.00,3.77,,
,0.41,25.43,425.3051,3.44 - 4.40,1,1.8E4,-,-,0,425.3052,4.28,8.2E4,-,-,0,425.3048,4.23,3.42E4,425.3056,4.22,2.98E4,425.3049,4.23,1.45E4,-,-,0,-,-,0,-,-,0,0:1.00:0:0.42:0.36:0.18:0:0:0,2.68E4,0,1.00:0,4.24,,
,0.57,25.27,267.2318,2.84 - 3.69,1,5.4E4,-,-,0,267.2322,3.52,2.03E5,267.2318,3.51,1.43E5,267.2317,3.50,6.59E4,267.2317,3.49,4.43E4,267.2314,3.50,1.93E4,267.2322,3.50,5.72E3,-,-,0,-,-,0,0:35.53:25.10:11.53:7.75:3.37:1.00:0:0,7.93E4,1.91E3,41.64:1.00,3.50,,
,0.41,25.09,375.8426,0.00 - 0.66,1,1.5E4,-,-,0,375.8426,0.05,3.69E3,375.8423,0.05,2.51E3,375.8428,0.05,1.96E3,375.8427,0.05,2.92E3,375.8426,0.05,1.67E3,375.8427,0.05,1.94E3,375.8417,0.04,1.21E5,375.8431,0.05,2E3,0:1.90:1.29:1.01:1.51:0.86:1.00:62.19:1.03,2.13E3,4.15E4,0.05:1.00,0.05,,
,0.54,24.98,456.1045,3.75 - 4.47,1,3.2E4,-,-,0,456.1044,4.35,1.15E5,456.1046,4.31,7.73E4,456.1044,4.30,4.22E4,456.1046,4.29,4.18E4,456.1042,4.30,1.59E4,-,-,0,-,-,0,-,-,0,0:1.00:0.67:0.37:0.36:0.14:0:0:0,4.87E4,0,1.00:0,4.31,,
,0.44,24.86,569.0841,2.85 - 3.86,1,8.2E3,-,-,0,569.0845,3.45,3.87E4,569.0835,3.42,5.71E3,569.0837,3.47,1.04E4,569.0837,3.42,8.24E3,569.0832,3.42,7.68E3,569.0859,3.42,2.59E3,-,-,0,-,-,0,0:14.93:2.20:4.02:3.18:2.96:1.00:0:0,1.18E4,8.64E2,13.65:1.00,3.43,,
,0.44,24.81,690.5067,8.42 - 9.08,1,4.3E4,-,-,0,690.5061,8.82,2E5,690.5066,8.83,1.03E5,690.5064,8.82,3.14E4,690.5065,8.79,2.2E4,690.5065,8.78,1.27E4,690.5067,8.80,9.96E3,-,-,0,690.5081,8.77,3.54E3,0:20.13:10.31:3.15:2.21:1.28:1.00:0:0.36,6.15E4,4.5E3,13.68:1.00,8.80,,
,0.42,24.70,784.5089,8.58 - 9.25,1,4E4,-,-,0,784.5084,8.98,1.96E5,784.5089,8.97,1.15E5,784.5092,8.95,3.29E4,784.5089,8.94,1.81E4,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.59:0.17:0.09:0:0:0:0,6.02E4,0,1.00:0,8.96,,
,0.42,24.64,416.1413,3.14 - 3.95,1,3.3E4,-,-,0,416.1414,3.82,2.02E5,416.1414,3.77,7.99E4,416.1410,3.33,1.03E4,416.1413,3.76,8.29E3,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.40:0.05:0.04:0:0:0:0,5.01E4,0,1.00:0,3.67,,
,0.42,24.60,830.5898,8.53 - 9.23,1,9.7E4,-,-,0,830.5897,8.88,4.74E5,830.5894,8.90,3.13E5,830.5895,8.87,6.41E4,830.5902,8.85,2.1E4,830.5903,8.85,4.42E3,-,-,0,-,-,0,-,-,0,0:1.00:0.66:0.14:0.04:0.01:0:0:0,1.46E5,0,1.00:0,8.87,,
,0.43,24.18,478.2933,1.31 - 2.46,1,1.5E4,-,-,0,478.2928,2.33,6.41E4,478.2933,2.30,4.31E4,478.2931,2.28,1.14E4,478.2933,2.28,1.25E4,478.2938,2.29,3.64E3,-,-,0,-,-,0,-,-,0,0:1.00:0.67:0.18:0.19:0.06:0:0:0,2.24E4,0,1.00:0,2.29,,
,0.43,24.06,660.4603,5.79 - 6.71,1,6E4,-,-,0,660.4592,6.38,3.07E5,660.4595,6.36,1.59E5,660.4603,6.33,4.28E4,660.4608,6.30,2.09E4,660.4617,6.32,7.4E3,660.4605,6.31,4.09E3,-,-,0,-,-,0,0:75.14:38.95:10.46:5.10:1.81:1.00:0:0,8.97E4,1.36E3,65.72:1.00,6.33,,
,0.41,23.95,432.0663,2.58 - 3.65,1,4.6E4,-,-,0,432.0667,3.52,2.13E5,432.0665,3.51,1.15E5,432.0661,3.50,4.68E4,432.0661,3.50,4.13E4,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.54:0.22:0.19:0:0:0:0,6.93E4,0,1.00:0,3.51,,
,0.43,23.88,462.8040,0.00 - 2.59,1,2.9E4,-,-,0,462.8044,0.05,5.05E3,462.8040,0.05,5.06E3,462.8039,0.05,3.54E3,462.8042,0.05,4.53E3,462.8041,0.05,3.48E3,462.8046,0.05,4.28E3,462.8024,0.04,2.31E5,462.8043,0.04,4.18E3,0:1.18:1.18:0.83:1.06:0.81:1.00:53.83:0.98,3.61E3,7.97E4,0.05:1.00,0.05,,
,0.41,23.82,419.2067,1.29 - 2.08,1,3.3E4,-,-,0,419.2067,1.99,1.97E5,-,-,0,-,-,0,419.2068,1.94,3.58E4,419.2066,1.95,6.78E4,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0.18:0.34:0:0:0,5.01E4,0,1.00:0,1.96,,
,0.42,23.42,756.4782,7.18 - 7.94,1,3.8E4,-,-,0,756.4767,7.68,1.85E5,756.4777,7.69,1.08E5,756.4783,7.65,2.87E4,756.4790,7.63,1.46E4,756.4794,7.63,3.52E3,-,-,0,-,-,0,-,-,0,0:1.00:0.59:0.16:0.08:0.02:0:0:0,5.67E4,0,1.00:0,7.66,,
,0.83,23.28,444.0856,2.89 - 4.29,1,4.6E5,444.0857,3.78,1.38E5,444.0854,3.82,1.6E6,444.0854,3.79,1E6,444.0850,3.75,5.1E5,444.0852,3.76,4.33E5,444.0855,3.76,2.57E5,444.0859,3.77,1.48E5,444.0862,3.80,1.41E4,444.0860,3.79,3.16E4,0.93:10.79:6.75:3.44:2.92:1.73:1.00:0.10:0.21,6.57E5,6.47E4,10.15:1.00,3.78,,
,0.41,23.05,531.2120,2.93 - 4.27,1,6.5E4,-,-,0,531.2130,4.22,8.8E3,-,-,0,531.2112,3.54,2.72E5,531.2117,3.55,2.57E5,531.2122,3.55,4.63E4,-,-,0,-,-,0,-,-,0,0:1.00:0:30.89:29.24:5.27:0:0:0,9.74E4,0,1.00:0,3.71,,
,0.43,23.00,550.1815,5.90 - 6.52,1,7.4E3,-,-,0,-,-,0,550.1808,6.30,2.46E4,550.1813,6.26,1.32E4,550.1819,6.23,1.53E4,550.1816,6.27,1.11E4,550.1821,6.22,2.08E3,-,-,0,-,-,0,0:0:11.82:6.35:7.37:5.35:1.00:0:0,1.07E4,6.93E2,15.45:1.00,6.26,,
,0.38,22.84,516.1058,2.15 - 3.24,1,9.1E3,516.1061,3.09,1.31E3,516.1058,3.12,4.32E4,516.1055,3.11,3.25E3,516.1058,3.09,2.34E4,516.1058,3.09,3.14E3,516.1053,3.08,5.75E3,516.1063,3.09,1.89E3,-,-,0,-,-,0,0.69:22.92:1.72:12.39:1.66:3.05:1.00:0:0,1.33E4,6.29E2,21.22:1.00,3.09,,
,0.55,22.78,421.2350,1.57 - 2.04,1,2E4,-,-,0,421.2349,1.74,6.43E4,421.2349,1.71,4E4,421.2353,1.70,3.02E4,421.2352,1.70,2.63E4,421.2348,1.70,1.27E4,421.2349,1.70,4.73E3,-,-,0,-,-,0,0:13.59:8.46:6.39:5.56:2.69:1.00:0:0,2.89E4,1.58E3,18.35:1.00,1.71,,
,0.39,22.52,759.5169,6.68 - 7.78,1,8.4E4,-,-,0,759.5154,7.49,4.3E5,759.5162,7.47,2.37E5,759.5164,7.44,5.78E4,759.5183,7.43,2.25E4,759.5181,7.44,4.4E3,759.5170,7.45,1.62E3,-,-,0,-,-,0,0:265.97:146.29:35.70:13.92:2.72:1.00:0:0,1.25E5,5.39E2,232.30:1.00,7.45,,
,0.43,22.51,546.1341,3.20 - 4.06,1,3.4E4,546.1346,3.84,4.44E3,546.1343,3.65,1.52E5,546.1343,3.85,5.79E3,546.1329,3.83,1.03E5,546.1343,3.84,1.14E4,546.1338,3.84,1.86E4,546.1343,3.84,1.08E4,-,-,0,-,-,0,0.41:14.06:0.53:9.52:1.05:1.72:1.00:0:0,4.93E4,3.61E3,13.64:1.00,3.81,,
,0.49,22.48,367.1569,2.80 - 3.65,1,7.1E4,-,-,0,367.1567,3.52,4.2E5,367.1570,3.51,1.3E5,367.1570,3.25,5.46E4,367.1569,3.49,3.38E4,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.31:0.13:0.08:0:0:0:0,1.06E5,0,1.00:0,3.44,,
,0.49,22.48,412.1542,2.80 - 3.65,1,8.1E4,-,-,0,412.1542,3.52,4.88E5,412.1544,3.51,1.41E5,412.1541,3.50,6.1E4,412.1542,3.49,3.31E4,412.1539,3.49,2.76E3,-,-,0,-,-,0,-,-,0,0:1.00:0.29:0.13:0.07:0.01:0:0:0,1.21E5,0,1.00:0,3.50,,
,0.42,22.46,686.4758,6.00 - 6.86,1,1.2E5,-,-,0,686.4749,6.57,6.98E5,686.4758,6.55,2.96E5,686.4752,6.54,7.56E4,686.4760,6.54,3.37E4,686.4767,6.52,1.13E4,686.4760,6.53,6.11E3,-,-,0,-,-,0,0:114.20:48.51:12.37:5.52:1.84:1.00:0:0,1.86E5,2.04E3,91.22:1.00,6.54,,
,0.43,22.41,372.0365,0.58 - 2.04,1,3.3E4,-,-,0,372.0369,1.92,5.35E4,372.0366,1.91,7.76E4,372.0360,1.90,4.19E4,372.0368,1.89,5.06E4,372.0360,1.89,6.13E4,-,-,0,-,-,0,372.0366,1.90,1.04E4,0:1.00:1.45:0.78:0.95:1.15:0:0:0.19,4.75E4,3.47E3,13.70:1.00,1.90,,
,0.57,22.41,492.1069,1.81 - 3.24,1,4.6E4,492.1072,3.09,1.22E4,492.1070,3.12,2.47E5,492.1069,3.11,2.77E4,492.1063,3.09,7.57E4,492.1069,3.09,1.73E4,492.1064,3.09,2.21E4,492.1077,3.09,1.58E4,-,-,0,-,-,0,0.77:15.67:1.75:4.80:1.10:1.40:1.00:0:0,6.71E4,5.26E3,12.75:1.00,3.10,,
,0.29,22.30,958.5153,8.21 - 10.12,2,1.5E4,-,-,0,958.5153,8.60,5.05E4,958.5125,8.97,6.54E4,958.5157,8.62,1.77E4,958.5177,8.68,3.44E2,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:1.30:0.35:0.01:0:0:0:0,2.23E4,0,1.00:0,8.72,,
,0.37,22.22,553.1321,2.13 - 3.10,1,7.4E3,553.1318,2.95,7.83E3,553.1322,3.00,3.63E4,553.1322,2.95,1.58E4,553.1323,2.95,5.17E3,-,-,0,553.1321,2.95,1.41E3,-,-,0,-,-,0,-,-,0,1.00:4.64:2.01:0.66:0:0.18:0:0:0,1.11E4,0,1.00:0,2.96,,
,0.38,22.17,782.4933,7.35 - 8.22,1,3.1E4,-,-,0,782.4926,7.82,1.53E5,782.4927,7.82,9.56E4,782.4937,7.77,2.29E4,782.4941,7.77,8.66E3,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.63:0.15:0.06:0:0:0:0,4.66E4,0,1.00:0,7.80,,
,0.45,22.13,285.1333,0.10 - 0.62,1,6E5,-,-,0,285.1337,0.16,2.63E6,-,-,0,-,-,0,-,-,0,285.1330,0.53,2.78E6,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:1.06:0:0:0,9.03E5,0,1.00:0,0.35,,
,0.39,22.02,369.2062,1.37 - 2.55,1,2.8E4,-,-,0,-,-,0,-,-,0,369.2061,2.45,5.16E4,369.2062,2.44,1.52E5,369.2064,2.45,4.42E4,-,-,0,-,-,0,-,-,0,0:0:0:1.00:2.95:0.86:0:0:0,4.13E4,0,1.00:0,2.45,,
,0.37,22.01,770.4936,8.09 - 8.78,1,1.6E4,-,-,0,770.4934,8.52,7.81E4,770.4935,8.51,4.57E4,770.4936,8.48,1.22E4,770.4940,8.45,6.26E3,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.59:0.16:0.08:0:0:0:0,2.37E4,0,1.00:0,8.49,,
,0.54,21.93,299.0947,0.95 - 2.04,1,2E4,-,-,0,299.0950,1.95,8.73E4,299.0950,1.91,3.35E4,299.0943,1.90,1.92E4,299.0946,1.89,2.09E4,299.0943,1.89,1.18E4,299.0948,1.89,6.74E3,-,-,0,-,-,0,0:12.96:4.98:2.84:3.10:1.76:1.00:0:0,2.88E4,2.25E3,12.82:1.00,1.91,,
,0.47,21.88,709.4566,7.09 - 8.31,1,1.5E4,-,-,0,709.4565,7.66,4.15E4,709.4557,7.64,4.06E4,709.4558,7.58,2.95E4,709.4572,7.58,1.38E4,709.4580,7.58,5.16E3,-,-,0,-,-,0,-,-,0,0:1.00:0.98:0.71:0.33:0.12:0:0:0,2.18E4,0,1.00:0,7.61,,
,0.39,21.88,437.2809,2.83 - 3.21,1,5.3E3,-,-,0,437.2809,3.00,1.68E4,437.2809,2.95,1.21E4,437.2809,2.95,9.76E3,437.2807,2.95,6.67E3,437.2812,2.94,2.75E3,-,-,0,-,-,0,-,-,0,0:1.00:0.72:0.58:0.40:0.16:0:0:0,8.01E3,0,1.00:0,2.96,,
,0.38,21.78,464.2770,0.93 - 2.08,1,9.2E3,-,-,0,464.2769,1.99,3.63E4,464.2773,1.95,2.69E4,464.2767,1.95,9.68E3,464.2770,1.93,1.02E4,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.74:0.27:0.28:0:0:0:0,1.38E4,0,1.00:0,1.96,,
,0.29,21.78,795.2710,19.32 - 20.09,1,2E3,-,-,0,795.2703,19.86,4.94E3,795.2706,19.47,7.26E3,795.2705,19.63,4.7E3,795.2727,19.96,1.29E3,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:1.47:0.95:0.26:0:0:0:0,3.03E3,0,1.00:0,19.73,,
,0.39,21.75,815.5042,7.02 - 8.03,1,4.1E4,-,-,0,815.5027,7.81,2.13E5,815.5031,7.79,1.23E5,815.5042,7.75,2.68E4,815.5049,7.76,8.6E3,815.5060,7.73,1.54E3,-,-,0,-,-,0,-,-,0,0:1.00:0.57:0.13:0.04:0.01:0:0:0,6.21E4,0,1.00:0,7.77,,
,0.53,21.60,339.2320,1.89 - 3.00,1,1.2E5,-,-,0,339.2322,2.90,6.81E5,339.2322,2.87,3.36E5,339.2317,2.86,7.02E4,339.2320,2.86,2.69E4,339.2317,2.85,4.74E3,-,-,0,-,-,0,-,-,0,0:1.00:0.49:0.10:0.04:0.01:0:0:0,1.86E5,0,1.00:0,2.87,,
,0.73,21.45,446.0824,2.99 - 3.98,1,1.4E5,446.0825,3.79,3.97E4,446.0823,3.82,4.93E5,446.0823,3.79,3.04E5,446.0818,3.75,1.53E5,446.0820,3.76,1.34E5,446.0819,3.76,7.59E4,446.0825,3.78,4.06E4,-,-,0,446.0839,3.79,5.63E3,0.98:12.14:7.49:3.78:3.29:1.87:1.00:0:0.14,2E5,1.54E4,12.98:1.00,3.78,,
,0.50,21.33,773.5328,7.13 - 8.18,1,5.3E5,-,-,0,773.5316,7.91,2.71E6,773.5317,7.91,1.46E6,773.5323,7.87,3.51E5,773.5333,7.87,1.43E5,773.5338,7.86,4.54E4,773.5334,7.88,1.88E4,-,-,0,773.5336,7.90,2.34E3,0:144.06:77.65:18.65:7.60:2.41:1.00:0:0.22,7.86E5,7.06E3,111.37:1.00,7.89,,
,0.28,21.30,688.3664,3.30 - 3.84,1,9.3E3,-,-,0,-,-,0,688.3672,3.77,6.1E4,688.3662,3.75,1.34E4,688.3662,3.76,7.27E3,688.3661,3.76,2.22E3,-,-,0,-,-,0,-,-,0,0:0:1.00:0.22:0.12:0.04:0:0:0,1.4E4,0,1.00:0,3.76,,
,0.28,21.30,336.8577,0.00 - 0.22,1,1.3E5,-,-,0,336.8578,0.05,2.28E4,336.8584,0.05,9.41E3,-,-,0,-,-,0,-,-,0,-,-,0,336.8568,0.04,1.11E6,-,-,0,0:1.00:0.41:0:0:0:0:48.92:0,5.37E3,3.72E5,0.01:1.00,0.05,,
,0.45,21.27,674.5088,0.10 - 0.21,1,4.1E5,674.5089,0.16,1.59E6,-,-,0,674.5089,0.15,6.48E5,674.5083,0.15,7.63E5,-,-,0,674.5090,0.16,7.11E5,-,-,0,-,-,0,-,-,0,1.00:0:0.41:0.48:0:0.45:0:0:0,6.19E5,0,1.00:0,0.15,,
,0.36,21.15,548.2797,2.48 - 3.12,1,1.7E4,548.2794,2.94,5.29E3,548.2797,3.00,8.74E4,548.2801,2.95,4.53E4,548.2795,2.95,1.9E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:16.53:8.56:3.59:0:0:0:0:0,2.62E4,0,1.00:0,2.96,,
,0.32,21.15,589.2915,4.00 - 5.08,1,4.9E3,-,-,0,589.2910,4.72,1.59E3,-,-,0,589.2917,4.96,8.64E3,589.2920,4.66,2.17E4,589.2911,4.65,1.23E4,-,-,0,-,-,0,-,-,0,0:1.00:0:5.44:13.67:7.72:0:0:0,7.37E3,0,1.00:0,4.75,,
,0.32,21.15,909.5065,7.17 - 8.18,1,1.6E4,-,-,0,909.5052,7.92,8.32E4,909.5059,7.91,5.31E4,909.5068,7.87,9.56E3,909.5078,7.87,2.02E3,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.64:0.11:0.02:0:0:0:0,2.46E4,0,1.00:0,7.89,,
,0.65,21.12,518.1408,3.14 - 4.05,1,1.3E5,518.1412,3.84,7.19E3,518.1410,3.90,6.33E5,518.1407,3.85,3.87E4,518.1403,3.83,2.91E5,518.1404,3.84,5.49E4,518.1410,3.84,5.54E4,518.1412,3.84,5.91E4,-,-,0,-,-,0,0.12:10.71:0.66:4.93:0.93:0.94:1.00:0:0,1.8E5,1.97E4,9.14:1.00,3.85,,
