Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,ORP10_C00_neg m/z,ORP10_C00_neg RT mean,ORP10_C00_neg Normalized Area,ORP10_C07_neg m/z,ORP10_C07_neg RT mean,ORP10_C07_neg Normalized Area,ORP10_C08_neg m/z,ORP10_C08_neg RT mean,ORP10_C08_neg Normalized Area,ORP10_C09_neg m/z,ORP10_C09_neg RT mean,ORP10_C09_neg Normalized Area,ORP10_C10_neg m/z,ORP10_C10_neg RT mean,ORP10_C10_neg Normalized Area,ORP10_C11_neg m/z,ORP10_C11_neg RT mean,ORP10_C11_neg Normalized Area,ORP10_C04_neg m/z,ORP10_C04_neg RT mean,ORP10_C04_neg Normalized Area,ORP10_C05_neg m/z,ORP10_C05_neg RT mean,ORP10_C05_neg Normalized Area,ORP10_C06_neg m/z,ORP10_C06_neg RT mean,ORP10_C06_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.86,8.39,562.5877,0.10 - 0.24,1,1.2E6,562.5874,0.14,8.53E5,562.5886,0.15,9.43E5,562.5873,0.16,6.73E5,562.5884,0.16,2.68E6,-,-,0,562.5870,0.18,3.65E6,-,-,0,-,-,0,562.5876,0.16,1.73E6,1.00:1.10:0.79:3.14:0:4.28:0:0:2.02,1.47E6,5.75E5,2.55:1.00,0.16,,
,0.86,8.81,374.9061,0.10 - 0.28,1,2.1E6,374.9066,0.18,3.7E6,374.9065,0.17,3.49E6,374.9059,0.18,3.6E6,374.9058,0.19,2.86E6,-,-,0,374.9059,0.19,2.21E6,-,-,0,-,-,0,374.9059,0.18,2.95E6,1.00:0.94:0.97:0.77:0:0.60:0:0:0.80,2.64E6,9.82E5,2.69:1.00,0.18,,
,0.86,6.37,360.0124,0.39 - 2.05,1,1.2E5,360.0125,1.90,2.66E5,360.0124,1.90,1.2E5,360.0125,1.90,1.91E5,360.0124,1.90,6.74E4,360.0122,1.90,6.13E4,360.0123,1.89,1.22E5,-,-,0,360.0126,1.89,5.07E4,360.0125,1.90,1.65E5,5.25:2.36:3.76:1.33:1.21:2.41:0:1.00:3.25,1.38E5,7.18E4,1.92:1.00,1.90,,
,0.85,4.52,489.1717,0.24 - 0.62,1,5E4,489.1720,0.49,7.15E4,489.1714,0.51,6.83E4,489.1715,0.50,1.16E5,489.1717,0.50,1.92E4,489.1714,0.50,3.68E4,489.1719,0.51,2.02E4,-,-,0,489.1720,0.51,2.96E4,489.1714,0.52,8.92E4,2.42:2.31:3.91:0.65:1.24:0.68:0:1.00:3.01,5.53E4,3.96E4,1.40:1.00,0.51,,
,0.85,5.24,453.2717,3.08 - 4.94,1,6.3E4,453.2717,3.63,1.25E4,453.2718,3.69,5.86E4,453.2719,3.86,7.52E4,453.2715,3.86,5.89E4,453.2713,3.83,6.58E4,453.2719,3.87,4.44E4,453.2717,4.07,1.11E5,453.2721,3.91,8.47E4,453.2716,3.84,5.55E4,0.15:0.69:0.89:0.70:0.78:0.52:1.31:1.00:0.66,5.26E4,8.38E4,0.63:1.00,3.84,,
,0.85,6.68,676.5080,0.10 - 0.24,1,3.7E5,-,-,0,676.5081,0.15,2.26E5,676.5074,0.16,2.01E5,676.5079,0.18,8.76E5,676.5084,0.17,3.33E5,676.5073,0.18,1.03E6,-,-,0,676.5086,0.16,1.08E5,676.5082,0.16,5.55E5,0:2.09:1.86:8.11:3.08:9.55:0:1.00:5.14,4.45E5,2.21E5,2.01:1.00,0.17,,
,0.84,6.05,502.1565,2.52 - 7.00,1,1.2E5,502.1562,4.24,6.93E4,502.1563,4.46,1.17E5,502.1566,4.46,1.24E5,502.1566,4.61,8.68E4,502.1562,4.63,9.98E4,502.1566,4.61,6.33E4,502.1566,4.73,2.75E5,502.1565,4.67,1.32E5,502.1565,4.47,1.04E5,0.53:0.89:0.94:0.66:0.76:0.48:2.08:1.00:0.79,9.33E4,1.7E5,0.55:1.00,4.54,,
,0.83,6.42,362.0097,0.36 - 2.05,1,1.1E5,362.0097,1.90,2.43E5,362.0098,1.91,1.09E5,362.0097,1.90,1.76E5,362.0098,1.90,6.1E4,362.0097,1.90,5.57E4,362.0098,1.89,1.12E5,-,-,0,362.0090,1.89,4.54E4,362.0099,1.90,1.5E5,5.36:2.39:3.88:1.34:1.23:2.48:0:1.00:3.31,1.26E5,6.52E4,1.93:1.00,1.90,,
,0.83,5.17,519.3912,8.64 - 10.19,1,5.3E4,519.3906,9.26,1.86E4,519.3904,9.13,4.44E4,519.3920,9.24,6.46E4,519.3914,9.32,4.72E4,519.3908,9.18,5.5E4,519.3911,9.16,3.95E4,519.3916,9.47,9.76E4,519.3914,8.98,6.96E4,519.3912,9.24,4.47E4,0.27:0.64:0.93:0.68:0.79:0.57:1.40:1.00:0.64,4.49E4,7.06E4,0.64:1.00,9.22,,
,0.83,6.54,518.1433,3.05 - 3.97,1,5.8E4,518.1437,3.84,1.96E4,518.1433,3.84,2.43E5,518.1432,3.86,2.1E4,518.1431,3.86,5.6E4,518.1428,3.85,5.33E4,518.1436,3.84,2.27E4,-,-,0,518.1432,3.85,6.06E4,518.1433,3.84,4.48E4,0.32:4.01:0.35:0.92:0.88:0.37:0:1.00:0.74,6.92E4,3.51E4,1.97:1.00,3.85,,
,0.82,5.37,415.9829,0.11 - 0.56,1,5.3E4,415.9830,0.39,4.14E4,415.9827,0.39,5.39E4,415.9825,0.37,8.33E4,415.9828,0.40,4.16E4,415.9826,0.42,1.08E5,415.9838,0.42,3.78E4,-,-,0,415.9828,0.43,6.58E4,415.9827,0.39,4.64E4,0.63:0.82:1.27:0.63:1.64:0.57:0:1.00:0.71,6.1E4,3.74E4,1.63:1.00,0.40,,
,0.82,3.50,690.8799,19.22 - 20.25,2,1.8E4,690.8802,20.16,1.83E4,690.8799,20.18,1.72E4,690.8799,20.17,2.1E4,690.8803,20.16,1.48E4,690.8796,20.17,1.77E4,690.8794,20.17,1.24E4,690.8797,20.19,2.27E4,690.8798,20.17,1.94E4,690.8801,20.17,1.5E4,0.94:0.89:1.09:0.77:0.91:0.64:1.17:1.00:0.78,1.69E4,1.9E4,0.89:1.00,20.17,,
,0.82,4.58,460.0443,1.04 - 2.25,1,3.8E4,460.0442,2.14,8.63E3,460.0443,2.14,5.62E4,460.0443,2.15,4.68E4,460.0443,2.14,3.9E4,460.0441,2.14,6.8E4,460.0442,2.14,3.47E4,-,-,0,460.0444,2.14,4.84E4,460.0443,2.14,4.13E4,0.18:1.16:0.97:0.81:1.41:0.72:0:1.00:0.85,4.22E4,2.99E4,1.41:1.00,2.14,,
,0.82,4.72,331.1491,0.10 - 0.59,1,4E5,331.1492,0.14,9.77E5,331.1497,0.15,7.91E5,331.1490,0.16,3.32E5,-,-,0,331.1490,0.15,3.05E5,331.1490,0.16,2.9E5,-,-,0,331.1488,0.16,6.54E4,331.1490,0.14,8.63E5,14.94:12.09:5.08:0:4.67:4.43:0:1.00:13.20,4.49E5,3.1E5,1.45:1.00,0.15,,
,0.82,15.31,487.3058,0.00 - 5.48,1,9.9E5,487.3060,0.16,1.49E6,487.3057,0.17,1.71E6,487.3058,0.18,1.53E6,487.3057,0.16,1.14E6,487.3056,0.17,1.33E6,487.3060,0.48,9.54E5,-,-,0,487.3056,0.18,7.68E5,-,-,0,1.95:2.23:1.99:1.49:1.73:1.24:0:1.00:0,1.36E6,2.56E5,5.31:1.00,0.21,,
,0.82,6.01,287.1054,0.10 - 0.43,1,5E4,287.1052,0.14,6.14E4,287.1056,0.15,5.54E4,287.1052,0.16,4.76E4,287.1053,0.16,3.28E4,287.1056,0.15,8.87E4,287.1055,0.16,6.68E4,-,-,0,287.1057,0.16,5.29E4,287.1050,0.14,4.45E4,1.16:1.05:0.90:0.62:1.68:1.26:0:1.00:0.84,5.88E4,3.24E4,1.81:1.00,0.15,,
,0.81,3.30,587.3589,0.14 - 0.60,1,1.8E5,587.3587,0.53,2.9E5,587.3588,0.51,1.84E5,587.3588,0.50,5.09E5,587.3594,0.50,1.33E4,587.3588,0.50,6.86E4,587.3594,0.51,3.72E4,-,-,0,587.3590,0.51,1.61E4,587.3586,0.52,4.97E5,18.03:11.46:31.65:0.83:4.26:2.31:0:1.00:30.86,1.84E5,1.71E5,1.08:1.00,0.51,,
,0.81,4.72,278.1766,1.16 - 2.61,1,3.3E4,278.1762,2.38,2.5E4,278.1767,2.38,5.16E4,278.1767,2.38,6.06E4,278.1767,2.38,1.72E4,278.1766,2.39,3.64E4,278.1767,2.38,2.93E4,-,-,0,278.1763,2.36,2.14E4,278.1768,2.38,5.45E4,1.17:2.41:2.83:0.81:1.70:1.37:0:1.00:2.54,3.67E4,2.53E4,1.45:1.00,2.38,,
,0.81,9.59,445.9758,0.26 - 0.79,1,7.9E4,-,-,0,445.9758,0.51,9.96E4,445.9753,0.50,6.33E4,445.9761,0.54,7.39E4,445.9758,0.50,2.57E4,445.9760,0.56,2.32E4,-,-,0,445.9759,0.51,2.32E5,445.9758,0.52,1.9E5,0:0.43:0.27:0.32:0.11:0.10:0:1.00:0.82,4.76E4,1.41E5,0.34:1.00,0.52,,
,0.81,4.32,422.0344,0.28 - 0.74,1,3.3E4,422.0343,0.49,4.79E4,422.0346,0.51,4.54E4,422.0345,0.50,6.51E4,422.0344,0.50,1.46E4,422.0343,0.50,2.81E4,422.0345,0.51,1.59E4,-,-,0,422.0344,0.51,2.09E4,422.0339,0.52,5.99E4,2.29:2.17:3.12:0.70:1.34:0.76:0:1.00:2.87,3.62E4,2.69E4,1.34:1.00,0.51,,
,0.80,3.17,753.8532,19.13 - 20.23,2,2E4,753.8533,20.15,2.42E4,753.8527,20.16,2.05E4,753.8538,20.16,2.56E4,753.8533,20.16,1.65E4,753.8533,20.15,1.62E4,753.8529,20.15,1.41E4,753.8535,20.17,2.4E4,753.8536,20.14,2.2E4,753.8528,20.15,1.5E4,1.10:0.93:1.16:0.75:0.73:0.64:1.09:1.00:0.68,1.95E4,2.03E4,0.96:1.00,20.15,,
,0.80,4.13,576.7830,16.93 - 20.13,1,3.7E4,576.7831,19.07,3.72E4,576.7825,18.94,3.45E4,576.7817,18.95,4.14E4,576.7831,18.94,3.1E4,576.7835,18.99,3.48E4,576.7831,18.99,2.42E4,576.7831,19.10,4.08E4,576.7832,19.02,5.87E4,576.7837,18.92,3.13E4,0.63:0.59:0.70:0.53:0.59:0.41:0.69:1.00:0.53,3.38E4,4.36E4,0.78:1.00,18.99,,
,0.80,6.68,482.1667,3.05 - 3.96,1,5E4,482.1667,3.85,1.62E4,482.1664,3.84,2.08E5,482.1668,3.86,1.86E4,482.1667,3.86,4.84E4,482.1667,3.85,4.71E4,482.1666,3.84,1.86E4,-,-,0,482.1667,3.85,5.21E4,482.1669,3.84,3.74E4,0.31:3.99:0.36:0.93:0.90:0.36:0:1.00:0.72,5.95E4,2.98E4,1.99:1.00,3.85,,
,0.80,3.54,584.8154,16.28 - 20.18,1,1.4E5,-,-,-,584.8153,18.84,1.35E5,584.8154,18.72,1.66E5,584.8156,18.67,1.14E5,584.8149,18.75,1.33E5,584.8158,18.59,1.05E5,584.8149,18.68,1.83E5,584.8152,18.75,1.47E5,584.8157,18.77,1.14E5,-:0.92:1.13:0.78:0.90:0.72:1.25:1.00:0.78,1.31E5,1.48E5,0.88:1.00,18.72,,
,0.80,5.61,442.8937,0.11 - 0.28,1,1.3E6,-,-,0,442.8947,0.17,7.95E5,442.8933,0.18,7.48E5,442.8936,0.19,2.65E6,442.8935,0.17,2.97E6,442.8936,0.19,2.03E6,-,-,0,-,-,0,442.8937,0.18,2.72E6,0:1.00:0.94:3.34:3.73:2.55:0:0:3.42,1.53E6,9.07E5,1.69:1.00,0.18,,
,0.79,4.42,434.0351,0.26 - 0.62,1,3.2E4,434.0352,0.49,2.43E4,434.0350,0.47,4.37E4,434.0347,0.50,5.79E4,434.0355,0.50,2.33E4,434.0349,0.48,4.28E4,434.0354,0.51,2.05E4,-,-,0,434.0352,0.51,3.88E4,434.0350,0.48,3.86E4,0.63:1.13:1.49:0.60:1.10:0.53:0:1.00:1.00,3.54E4,2.58E4,1.37:1.00,0.49,,
,0.79,7.63,473.4012,7.95 - 11.54,1,3.9E4,473.4009,8.09,3.11E4,473.4014,8.18,3.18E4,473.4016,8.31,3.2E4,473.4012,8.29,2.09E4,473.4011,8.23,2.69E4,473.4014,8.26,1.85E4,473.4007,8.58,9.1E4,473.4014,8.56,6.66E4,473.4008,8.22,2.78E4,0.47:0.48:0.48:0.31:0.40:0.28:1.37:1.00:0.42,2.69E4,6.18E4,0.43:1.00,8.30,,
,0.79,6.65,520.1401,3.02 - 3.97,1,5.2E4,520.1404,3.84,1.67E4,520.1394,3.84,2.22E5,520.1406,3.86,1.81E4,520.1400,3.86,5.1E4,520.1396,3.85,4.82E4,520.1404,3.84,2.09E4,-,-,0,520.1399,3.85,5.36E4,520.1401,3.84,4.07E4,0.31:4.14:0.34:0.95:0.90:0.39:0:1.00:0.76,6.28E4,3.15E4,2.00:1.00,3.85,,
