Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,ORP10_C00_neg m/z,ORP10_C00_neg RT mean,ORP10_C00_neg Normalized Area,ORP10_C07_neg m/z,ORP10_C07_neg RT mean,ORP10_C07_neg Normalized Area,ORP10_C08_neg m/z,ORP10_C08_neg RT mean,ORP10_C08_neg Normalized Area,ORP10_C09_neg m/z,ORP10_C09_neg RT mean,ORP10_C09_neg Normalized Area,ORP10_C10_neg m/z,ORP10_C10_neg RT mean,ORP10_C10_neg Normalized Area,ORP10_C11_neg m/z,ORP10_C11_neg RT mean,ORP10_C11_neg Normalized Area,ORP10_C04_neg m/z,ORP10_C04_neg RT mean,ORP10_C04_neg Normalized Area,ORP10_C05_neg m/z,ORP10_C05_neg RT mean,ORP10_C05_neg Normalized Area,ORP10_C06_neg m/z,ORP10_C06_neg RT mean,ORP10_C06_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,1.41,5.05,293.1759,0.10 - 0.60,1,8E6,293.1763,0.16,1.74E7,293.1761,0.15,1.23E7,293.1758,0.16,1.28E7,293.1758,0.16,2.02E6,293.1761,0.15,5.44E6,293.1760,0.16,4.29E6,-,-,0,293.1757,0.16,3.61E6,293.1756,0.14,1.4E7,4.82:3.40:3.54:0.56:1.51:1.19:0:1.00:3.87,9.04E6,5.86E6,1.54:1.00,0.16,,
,1.28,7.72,502.6325,0.10 - 0.24,1,1.9E6,502.6320,0.14,1.24E6,502.6329,0.15,1.37E6,502.6320,0.16,1.04E6,502.6328,0.16,3.97E6,502.6328,0.15,1.72E6,502.6315,0.18,4.9E6,-,-,0,502.6331,0.16,5.48E5,502.6328,0.16,2.5E6,2.26:2.51:1.91:7.24:3.14:8.94:0:1.00:4.57,2.37E6,1.02E6,2.33:1.00,0.16,,
,1.27,3.55,724.8737,15.15 - 20.26,1,9.2E5,724.8737,20.16,9.42E5,724.8737,20.16,9.68E5,724.8738,20.16,1.08E6,724.8738,20.16,7.8E5,724.8731,20.17,9.02E5,724.8734,20.17,6.29E5,724.8739,20.17,1.16E6,724.8740,20.15,1.05E6,724.8738,20.17,8.02E5,0.90:0.92:1.03:0.74:0.86:0.60:1.11:1.00:0.76,8.84E5,1.01E6,0.88:1.00,20.16,,
,1.22,8.23,500.6354,0.10 - 0.24,1,1.4E6,500.6351,0.14,8.98E5,500.6361,0.15,1.01E6,500.6351,0.16,8.25E5,500.6358,0.16,2.81E6,500.6354,0.15,1.34E6,500.6347,0.18,3.83E6,-,-,0,500.6357,0.16,3.46E5,500.6354,0.16,1.8E6,2.59:2.93:2.38:8.13:3.86:11.06:0:1.00:5.20,1.79E6,7.15E5,2.50:1.00,0.16,,
,1.16,6.00,329.1522,0.10 - 0.59,1,1.3E6,329.1521,0.14,3.17E6,329.1526,0.15,2.48E6,329.1521,0.16,1.06E6,329.1524,0.16,7.95E5,329.1520,0.15,1.04E6,329.1520,0.16,9.12E5,-,-,0,329.1522,0.16,2.24E5,329.1519,0.14,2.39E6,14.18:11.09:4.72:3.56:4.64:4.08:0:1.00:10.68,1.58E6,8.71E5,1.81:1.00,0.15,,
,1.14,8.77,618.5496,0.10 - 0.24,1,9.2E5,618.5498,0.16,4.56E5,618.5504,0.15,4.78E5,618.5490,0.16,4.52E5,618.5502,0.16,1.97E6,618.5495,0.15,7.64E5,618.5492,0.18,2.85E6,-,-,0,618.5497,0.16,2.36E5,618.5493,0.16,1.07E6,1.93:2.02:1.92:8.36:3.24:12.08:0:1.00:4.52,1.16E6,4.34E5,2.68:1.00,0.16,,
,1.12,4.28,418.0405,0.26 - 0.62,1,3.4E5,418.0406,0.49,5.05E5,418.0403,0.51,4.84E5,418.0403,0.50,6.61E5,418.0406,0.50,1.46E5,418.0402,0.50,3.03E5,418.0411,0.51,1.46E5,-,-,0,418.0403,0.51,1.95E5,418.0402,0.52,6.48E5,2.59:2.48:3.39:0.75:1.56:0.75:0:1.00:3.32,3.74E5,2.81E5,1.33:1.00,0.51,,
,1.10,3.92,306.9190,0.10 - 0.28,1,2.9E6,306.9188,0.18,4.32E6,306.9193,0.17,4.06E6,-,-,0,306.9189,0.18,3.59E6,306.9188,0.17,3.69E6,306.9188,0.19,2.7E6,-,-,0,306.9193,0.16,3.8E6,306.9189,0.18,3.62E6,1.14:1.07:0:0.94:0.97:0.71:0:1.00:0.95,3.06E6,2.48E6,1.24:1.00,0.18,,
,1.10,3.10,446.1033,3.79 - 8.18,1,5E5,446.1033,4.53,6.38E5,446.1033,4.55,5.73E5,446.1034,4.55,4.1E5,446.1033,4.54,4.39E5,446.1029,4.55,6.35E5,446.1033,4.55,3.05E5,446.1036,4.56,4.22E5,446.1033,4.55,7.33E5,446.1036,4.56,3.79E5,0.87:0.78:0.56:0.60:0.87:0.42:0.58:1.00:0.52,5E5,5.11E5,0.98:1.00,4.55,,
,1.09,4.10,285.1343,0.10 - 0.65,1,1.3E6,285.1346,0.14,6.35E4,285.1346,0.15,2.69E6,285.1342,0.16,1.43E6,285.1343,0.16,1.46E6,285.1341,0.15,6.38E5,285.1345,0.16,6.73E5,-,-,0,285.1342,0.16,2.2E6,285.1343,0.16,2.26E6,0.03:1.22:0.65:0.66:0.29:0.31:0:1.00:1.03,1.16E6,1.49E6,0.78:1.00,0.16,,
,1.07,4.44,454.0175,0.18 - 0.62,1,4E5,454.0176,0.49,5.87E5,454.0172,0.51,5.63E5,454.0173,0.50,8.31E5,454.0181,0.50,1.9E5,454.0172,0.51,3.25E5,454.0175,0.51,1.49E5,-,-,0,454.0179,0.51,2.13E5,454.0173,0.52,7.49E5,2.75:2.64:3.90:0.89:1.52:0.70:0:1.00:3.51,4.41E5,3.21E5,1.37:1.00,0.51,,
,1.07,8.65,620.5468,0.10 - 0.24,1,7.6E5,620.5474,0.16,4.07E5,620.5469,0.15,4.48E5,620.5463,0.16,4.08E5,620.5468,0.16,1.4E6,620.5470,0.15,6.2E5,620.5458,0.18,2.49E6,-,-,0,620.5472,0.16,1.81E5,620.5468,0.16,9.13E5,2.25:2.48:2.26:7.74:3.43:13.79:0:1.00:5.05,9.62E5,3.65E5,2.64:1.00,0.16,,
,1.05,7.23,560.5910,0.10 - 0.24,1,1.6E6,560.5906,0.14,1.04E6,560.5918,0.15,1.12E6,-,-,0,560.5916,0.16,3.35E6,560.5909,0.15,1.49E6,560.5899,0.18,4.51E6,-,-,0,560.5912,0.16,4.84E5,560.5908,0.16,2.16E6,2.15:2.32:0:6.91:3.07:9.30:0:1.00:4.45,1.92E6,8.8E5,2.18:1.00,0.16,,
,1.05,4.27,420.0375,0.26 - 0.62,1,2.1E5,420.0374,0.49,3.09E5,420.0375,0.51,2.99E5,420.0376,0.50,3.95E5,420.0378,0.50,8.79E4,420.0376,0.50,1.8E5,420.0374,0.51,9.38E4,-,-,0,420.0376,0.51,1.19E5,420.0371,0.52,3.94E5,2.60:2.51:3.32:0.74:1.51:0.79:0:1.00:3.31,2.27E5,1.71E5,1.33:1.00,0.51,,
,1.04,3.40,416.0750,2.28 - 8.68,1,6.2E5,416.0750,3.68,7.47E5,416.0750,3.66,6.87E5,416.0751,3.69,5.66E5,416.0750,3.68,5.45E5,416.0747,3.66,6.69E5,416.0751,3.67,4.09E5,416.0752,3.68,6.23E5,416.0751,3.68,8.6E5,416.0753,3.67,5.13E5,0.87:0.80:0.66:0.63:0.78:0.48:0.72:1.00:0.60,6.04E5,6.65E5,0.91:1.00,3.67,,
,1.01,4.70,407.1686,0.10 - 0.62,1,1.9E5,407.1685,0.49,2.41E5,407.1686,0.51,2.77E5,407.1687,0.50,4.36E5,407.1689,0.50,6.9E4,407.1686,0.50,1.58E5,407.1684,0.51,7.23E4,-,-,0,407.1686,0.51,1.32E5,407.1687,0.52,3.02E5,1.82:2.10:3.30:0.52:1.20:0.55:0:1.00:2.29,2.09E5,1.45E5,1.44:1.00,0.51,,
,1.00,3.40,782.8331,14.45 - 20.25,1,8.2E5,782.8329,20.13,8.62E5,782.8330,20.14,8.7E5,782.8336,20.13,9.77E5,782.8331,20.13,7.08E5,782.8335,20.12,7.84E5,782.8333,20.13,5.8E5,782.8335,20.13,9.62E5,782.8323,19.45,9.49E5,782.8331,20.13,7.25E5,0.91:0.92:1.03:0.75:0.83:0.61:1.01:1.00:0.76,7.97E5,8.78E5,0.91:1.00,20.06,,
,0.99,3.14,444.1064,3.80 - 8.21,1,5.6E5,444.1061,4.54,6.93E5,444.1062,4.55,6.35E5,444.1067,4.55,4.47E5,444.1061,4.54,4.86E5,444.1063,4.55,6.99E5,444.1067,4.55,3.38E5,444.1064,4.56,4.76E5,444.1067,4.55,8.06E5,444.1069,4.54,4.25E5,0.86:0.79:0.55:0.60:0.87:0.42:0.59:1.00:0.53,5.5E5,5.69E5,0.97:1.00,4.55,,
,0.99,8.68,616.5528,0.10 - 0.24,1,4.7E5,616.5530,0.16,2.58E5,616.5535,0.15,2.95E5,616.5521,0.16,2.2E5,616.5535,0.16,9.33E5,616.5527,0.15,3.6E5,616.5515,0.18,1.49E6,-,-,0,616.5530,0.16,1.12E5,616.5533,0.16,5.61E5,2.31:2.63:1.97:8.34:3.22:13.37:0:1.00:5.01,5.93E5,2.24E5,2.65:1.00,0.16,,
,0.97,4.31,456.0145,0.11 - 0.62,1,3.5E5,456.0146,0.49,5.4E5,456.0143,0.51,4.29E5,456.0137,0.50,7.37E5,456.0148,0.50,1.69E5,456.0141,0.50,3.01E5,456.0146,0.51,1.33E5,-,-,0,456.0156,0.51,1.81E5,456.0143,0.52,6.81E5,2.99:2.38:4.08:0.94:1.67:0.74:0:1.00:3.77,3.85E5,2.87E5,1.34:1.00,0.51,,
,0.97,8.23,313.1653,0.10 - 0.51,1,1.5E5,313.1651,0.19,3.47E5,313.1654,0.15,1.56E5,313.1652,0.16,1.19E5,313.1656,0.16,7.47E4,313.1654,0.21,2.25E5,313.1653,0.16,2.12E5,-,-,0,313.1655,0.16,9.3E4,313.1654,0.17,1.34E5,3.73:1.68:1.28:0.80:2.42:2.29:0:1.00:1.44,1.89E5,7.57E4,2.50:1.00,0.17,,
,0.96,3.40,418.0716,2.29 - 8.69,1,5.7E5,418.0714,3.66,6.83E5,418.0714,3.66,6.32E5,418.0720,3.69,5.18E5,418.0714,3.68,5.02E5,418.0720,3.66,6.13E5,418.0715,3.67,3.76E5,418.0717,3.69,5.7E5,418.0715,3.68,7.87E5,418.0717,3.67,4.71E5,0.87:0.80:0.66:0.64:0.78:0.48:0.72:1.00:0.60,5.54E5,6.09E5,0.91:1.00,3.67,,
,0.96,3.55,316.9476,0.10 - 5.19,1,4.4E6,316.9474,0.18,5.35E6,316.9479,0.17,5.11E6,316.9475,0.18,5.52E6,316.9473,0.19,4.15E6,316.9479,0.17,4.69E6,316.9474,0.21,6.05E5,-,-,-,316.9478,0.16,5.32E6,316.9474,0.18,4.35E6,1.01:0.96:1.04:0.78:0.88:0.11:-:1.00:0.82,4.24E6,4.83E6,0.88:1.00,0.18,,
,0.95,6.20,253.1442,0.10 - 5.38,1,1.5E6,253.1443,0.16,2.24E6,253.1443,0.15,2.21E6,253.1439,0.16,2.04E6,-,-,0,253.1443,0.15,2.36E6,253.1441,0.16,1.68E6,-,-,0,253.1444,0.38,2.03E6,253.1443,0.14,7.82E5,1.10:1.09:1.00:0:1.16:0.82:0:1.00:0.38,1.76E6,9.38E5,1.87:1.00,0.19,,
,0.92,3.63,303.1447,0.10 - 0.50,1,1.1E6,-,-,0,303.1447,0.15,2.66E6,303.1447,0.16,9.26E5,303.1448,0.16,1.92E6,303.1446,0.15,6.5E5,-,-,0,-,-,0,303.1448,0.16,2.5E6,303.1444,0.16,1.07E6,0:1.06:0.37:0.77:0.26:0:0:1.00:0.43,1.02E6,1.19E6,0.86:1.00,0.16,,
,0.90,7.03,297.1705,0.10 - 0.70,1,3E5,297.1702,0.18,8.99E5,297.1707,0.15,2.5E5,297.1703,0.16,3.09E5,297.1708,0.30,2.46E4,297.1706,0.15,1.49E5,297.1705,0.24,5.19E5,-,-,0,297.1708,0.16,2.47E5,297.1700,0.14,2.6E5,3.64:1.01:1.25:0.10:0.60:2.10:0:1.00:1.05,3.58E5,1.69E5,2.12:1.00,0.19,,
,0.88,9.46,371.1322,0.11 - 0.40,1,2.1E5,-,-,0,371.1323,0.17,4.08E5,371.1323,0.18,1.43E5,371.1320,0.18,1.36E5,371.1324,0.17,7.37E4,-,-,0,-,-,0,371.1321,0.16,8.25E5,371.1323,0.16,2.85E5,0:0.50:0.17:0.16:0.09:0:0:1.00:0.35,1.27E5,3.7E5,0.34:1.00,0.17,,
,0.87,9.49,278.1526,0.10 - 0.38,1,3.1E5,278.1524,0.14,1.38E5,278.1527,0.15,4.12E5,278.1525,0.16,1.76E5,278.1530,0.16,1.18E6,278.1528,0.15,3.62E5,278.1526,0.16,1.46E5,-,-,0,278.1530,0.16,2.98E5,278.1522,0.14,1.14E5,0.46:1.38:0.59:3.95:1.21:0.49:0:1.00:0.38,4.02E5,1.38E5,2.93:1.00,0.15,,
,0.87,3.07,448.0999,3.78 - 7.62,1,1.2E5,448.0998,4.54,1.64E5,448.0999,4.55,1.5E5,448.1005,4.57,8.97E4,448.0998,4.54,1.09E5,448.0994,4.55,1.59E5,448.0999,4.55,7.47E4,448.1002,4.56,8.96E4,448.0998,4.55,1.97E5,448.0999,4.55,8E4,0.83:0.76:0.45:0.55:0.80:0.38:0.45:1.00:0.41,1.24E5,1.22E5,1.02:1.00,4.55,,
,0.86,3.67,1054.7842,18.67 - 20.24,1,2.8E4,1054.7850,20.15,2.87E4,1054.7847,20.15,3.13E4,1054.7837,20.14,2.98E4,1054.7844,20.16,2.12E4,1054.7830,20.15,2.67E4,1054.7841,20.15,1.89E4,1054.7849,20.15,3.59E4,1054.7849,20.15,3.28E4,1054.7833,20.13,2.31E4,0.88:0.96:0.91:0.65:0.81:0.58:1.09:1.00:0.70,2.61E4,3.06E4,0.85:1.00,20.15,,
,0.86,4.72,309.1707,0.10 - 1.11,1,1E6,309.1705,0.14,1.57E6,309.1710,0.15,1.88E6,-,-,0,309.1708,0.16,3.41E5,309.1707,0.15,1.83E6,309.1709,0.16,1.21E6,-,-,0,309.1706,0.16,8.87E5,309.1703,0.14,1.47E6,1.77:2.12:0:0.38:2.06:1.36:0:1.00:1.66,1.14E6,7.85E5,1.45:1.00,0.15,,
