Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,PITPNC1_G00_neg m/z,PITPNC1_G00_neg RT mean,PITPNC1_G00_neg Normalized Area,PITPNC1_G05_neg m/z,PITPNC1_G05_neg RT mean,PITPNC1_G05_neg Normalized Area,PITPNC1_G06_neg m/z,PITPNC1_G06_neg RT mean,PITPNC1_G06_neg Normalized Area,PITPNC1_G07_neg m/z,PITPNC1_G07_neg RT mean,PITPNC1_G07_neg Normalized Area,PITPNC1_G10_neg m/z,PITPNC1_G10_neg RT mean,PITPNC1_G10_neg Normalized Area,PITPNC1_G11_neg m/z,PITPNC1_G11_neg RT mean,PITPNC1_G11_neg Normalized Area,PITPNC1_G12_neg m/z,PITPNC1_G12_neg RT mean,PITPNC1_G12_neg Normalized Area,PITPNC1_G08_neg m/z,PITPNC1_G08_neg RT mean,PITPNC1_G08_neg Normalized Area,PITPNC1_G09_neg m/z,PITPNC1_G09_neg RT mean,PITPNC1_G09_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,1.35,4.48,656.8824,15.14 - 20.26,1,1.9E6,656.8822,20.17,1.69E6,656.8824,20.16,2.31E6,656.8824,20.15,2.04E6,656.8824,20.15,1.78E6,656.8823,20.16,2.17E6,656.8826,20.16,2.1E6,656.8822,20.17,2.12E6,656.8821,20.14,1.46E6,656.8829,20.16,1.78E6,0.73:1.00:0.89:0.77:0.94:0.91:0.92:0.63:0.77,2.03E6,1.62E6,1.00:0.80,20.16,,
,1.17,4.33,487.3037,0.10 - 5.20,1,1.7E6,487.3039,0.16,4.7E5,487.3040,0.20,2.57E6,487.3032,0.17,2.34E6,487.3038,0.17,2.07E6,487.3035,0.17,2.41E6,487.3033,0.19,2.2E6,487.3043,0.17,6.92E5,487.3042,0.17,7.05E5,487.3035,0.17,2.26E6,0.18:1.00:0.91:0.80:0.94:0.85:0.27:0.27:0.88,1.82E6,1.48E6,1.00:0.81,0.17,,
,1.12,15.85,418.0392,0.27 - 0.62,1,3.4E5,418.0392,0.51,7.27E5,418.0393,0.51,5.9E5,418.0391,0.54,1.47E5,418.0392,0.51,1.28E5,418.0393,0.50,3.24E5,418.0393,0.50,1.14E5,418.0392,0.50,7.45E5,418.0391,0.51,1.35E5,418.0391,0.52,1.04E5,1.23:1.00:0.25:0.22:0.55:0.19:1.26:0.23:0.18,3.97E5,1.2E5,1.00:0.30,0.51,,
,1.03,13.82,454.0158,0.27 - 0.63,1,4.3E5,454.0154,0.51,7.11E5,454.0155,0.51,8.61E5,454.0160,0.54,1.9E5,454.0160,0.51,2.71E5,454.0155,0.50,3.56E5,454.0160,0.50,1.91E5,454.0155,0.50,9.77E5,454.0164,0.51,2.05E5,454.0163,0.52,1.44E5,0.83:1.00:0.22:0.31:0.41:0.22:1.14:0.24:0.17,5.08E5,1.75E5,1.00:0.34,0.51,,
,1.02,13.39,456.0130,0.27 - 0.63,1,3.9E5,456.0128,0.51,6.4E5,456.0130,0.51,7.77E5,456.0135,0.54,1.66E5,456.0134,0.51,2.34E5,456.0133,0.50,2.96E5,456.0125,0.50,1.88E5,456.0129,0.50,8.96E5,456.0129,0.53,1.9E5,456.0130,0.52,1.33E5,0.82:1.00:0.21:0.30:0.38:0.24:1.15:0.25:0.17,4.57E5,1.62E5,1.00:0.35,0.51,,
,1.02,4.19,444.1046,3.80 - 7.87,1,4.7E5,444.1047,4.54,3.66E5,444.1044,4.54,4.41E5,444.1044,4.56,4.54E5,444.1048,4.55,4.72E5,444.1054,4.54,4.68E5,444.1044,4.55,4.81E5,444.1042,4.54,4.76E5,444.1045,4.57,8.02E5,444.1047,4.57,2.86E5,0.83:1.00:1.03:1.07:1.06:1.09:1.08:1.82:0.65,4.51E5,5.44E5,1.00:1.21,4.55,,
,1.01,4.80,446.1015,3.80 - 7.28,1,4.1E5,446.1014,4.54,3.32E5,446.1008,4.55,3.99E5,446.1017,4.56,2.96E5,446.1015,4.55,3.32E5,446.1017,4.54,4.23E5,446.1016,4.55,4.44E5,446.1014,4.54,4.33E5,446.1017,4.57,7.29E5,446.1013,4.55,2.66E5,0.83:1.00:0.74:0.83:1.06:1.11:1.09:1.83:0.67,3.8E5,4.98E5,1.00:1.31,4.55,,
,0.99,22.23,407.1672,0.24 - 0.62,1,2.1E5,407.1667,0.51,3.37E5,407.1666,0.51,3.44E5,407.1674,0.54,9.63E4,407.1675,0.52,7.64E4,407.1667,0.50,2.79E5,407.1674,0.50,9.47E4,407.1676,0.50,5.92E5,407.1675,0.53,6.47E4,407.1674,0.52,4.59E4,0.98:1.00:0.28:0.22:0.81:0.28:1.72:0.19:0.13,2.6E5,5.53E4,1.00:0.21,0.51,,
,0.98,15.86,420.0361,0.28 - 0.62,1,2E5,420.0355,0.51,4.62E5,420.0356,0.51,3.53E5,420.0365,0.54,8.58E4,420.0363,0.51,7.49E4,420.0356,0.50,1.86E5,420.0365,0.50,5.93E4,420.0364,0.50,4.53E5,420.0364,0.51,8.01E4,420.0363,0.52,6.44E4,1.31:1.00:0.24:0.21:0.53:0.17:1.28:0.23:0.18,2.39E5,7.22E4,1.00:0.30,0.51,,
,0.98,3.46,516.8242,16.19 - 20.15,1,1.4E5,516.8247,18.92,1.21E5,516.8238,19.12,1.73E5,516.8237,18.91,1.37E5,516.8234,19.09,1.21E5,516.8245,18.67,1.54E5,516.8241,19.03,1.38E5,516.8243,18.89,1.56E5,516.8242,18.87,1.23E5,516.8248,18.98,1.41E5,0.70:1.00:0.79:0.70:0.89:0.80:0.90:0.71:0.82,1.43E5,1.32E5,1.00:0.93,18.94,,
