Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,PITPNC1_G00_neg m/z,PITPNC1_G00_neg RT mean,PITPNC1_G00_neg Normalized Area,PITPNC1_G05_neg m/z,PITPNC1_G05_neg RT mean,PITPNC1_G05_neg Normalized Area,PITPNC1_G06_neg m/z,PITPNC1_G06_neg RT mean,PITPNC1_G06_neg Normalized Area,PITPNC1_G07_neg m/z,PITPNC1_G07_neg RT mean,PITPNC1_G07_neg Normalized Area,PITPNC1_G10_neg m/z,PITPNC1_G10_neg RT mean,PITPNC1_G10_neg Normalized Area,PITPNC1_G11_neg m/z,PITPNC1_G11_neg RT mean,PITPNC1_G11_neg Normalized Area,PITPNC1_G12_neg m/z,PITPNC1_G12_neg RT mean,PITPNC1_G12_neg Normalized Area,PITPNC1_G08_neg m/z,PITPNC1_G08_neg RT mean,PITPNC1_G08_neg Normalized Area,PITPNC1_G09_neg m/z,PITPNC1_G09_neg RT mean,PITPNC1_G09_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.96,3.66,681.2946,2.30 - 7.99,1,1.5E6,681.2943,2.99,3.76E5,681.2946,2.98,1.69E6,681.2943,2.99,1.44E6,681.2948,2.97,1.21E6,681.2946,2.99,8.81E5,681.2948,2.97,2.07E6,681.2949,3.00,2.59E6,681.2949,2.98,8.02E5,681.2944,2.97,2.47E6,0.22:1.00:0.86:0.72:0.52:1.23:1.53:0.48:1.46,1.46E6,1.63E6,1.00:1.12,2.98,,
,0.96,5.71,618.5471,0.10 - 0.23,1,1.4E6,618.5471,0.16,2.18E6,618.5473,0.18,5.09E5,-,-,-,618.5473,0.17,2.09E6,618.5461,0.15,7.27E5,618.5477,0.17,1.24E6,618.5461,0.15,8.32E5,618.5477,0.17,2.16E6,618.5476,0.17,1.53E6,4.28:1.00:-:4.10:1.43:2.43:1.63:4.25:3.00,1.26E6,1.85E6,1.00:1.46,0.16,,
,0.96,3.62,519.3884,15.71 - 20.15,1,1.2E5,519.3889,18.60,1.12E5,519.3884,18.56,1.09E5,519.3881,18.67,1.04E5,519.3879,18.49,1.22E5,519.3884,18.49,1.38E5,519.3880,18.52,1.39E5,519.3884,18.41,1.56E5,519.3886,18.49,9.38E4,519.3885,18.65,1.33E5,1.02:1.00:0.96:1.12:1.26:1.27:1.42:0.86:1.22,1.26E5,1.14E5,1.00:0.90,18.54,,
,0.94,3.47,687.5770,15.30 - 16.48,1,8.5E4,687.5773,15.97,3.92E4,687.5765,15.84,1.26E5,687.5771,15.99,7.72E4,687.5770,15.93,6.22E4,687.5778,15.93,6.55E4,687.5770,15.89,1.08E5,687.5766,15.91,1.29E5,687.5764,15.92,5.61E4,687.5770,15.98,1.04E5,0.31:1.00:0.61:0.49:0.52:0.86:1.02:0.44:0.83,8.68E4,8.02E4,1.00:0.92,15.93,,
,0.92,5.80,359.0834,0.38 - 1.40,1,7.1E4,359.0835,1.30,1.08E5,359.0836,1.29,1.14E5,359.0835,1.29,6.26E4,359.0833,1.30,5.8E4,359.0834,1.29,5.72E4,359.0835,1.29,5.87E4,359.0834,1.29,7.48E4,359.0834,1.29,2.84E4,359.0834,1.30,7.46E4,0.95:1.00:0.55:0.51:0.50:0.52:0.66:0.25:0.65,7.62E4,5.15E4,1.00:0.68,1.29,,
,0.89,3.94,459.3121,2.86 - 3.78,1,4.3E4,459.3116,3.63,5.63E4,459.3120,3.63,4.83E4,459.3122,3.64,3.94E4,459.3121,3.63,3.53E4,459.3125,3.64,4.33E4,459.3119,3.63,4.27E4,459.3122,3.63,4.58E4,459.3120,3.63,4E4,459.3123,3.63,3.64E4,1.17:1.00:0.82:0.73:0.90:0.88:0.95:0.83:0.75,4.44E4,3.82E4,1.00:0.86,3.63,,
,0.88,5.43,278.1757,0.73 - 2.67,1,8.4E4,278.1759,2.40,3.93E4,278.1756,2.38,1.87E5,278.1757,2.39,2.61E4,278.1757,2.38,4.06E4,278.1759,2.39,8.26E4,278.1758,2.38,4.52E4,278.1757,2.38,2.12E5,278.1758,2.40,8.52E4,278.1757,2.38,4.24E4,0.21:1.00:0.14:0.22:0.44:0.24:1.14:0.46:0.23,9.04E4,6.38E4,1.00:0.71,2.39,,
,0.88,3.83,461.3282,3.59 - 4.27,1,4.6E4,461.3282,4.14,5.56E4,461.3284,4.14,3.91E4,461.3280,4.14,4.71E4,461.3281,4.14,4E4,461.3284,4.14,4.83E4,461.3282,4.14,4.73E4,461.3282,4.14,5.22E4,461.3279,4.13,4.23E4,461.3283,4.14,3.99E4,1.42:1.00:1.20:1.02:1.23:1.21:1.33:1.08:1.02,4.71E4,4.11E4,1.00:0.87,4.14,,
,0.87,21.63,489.1700,0.25 - 0.62,1,6.3E4,489.1700,0.51,1.32E5,489.1702,0.51,9.51E4,489.1697,0.50,2.5E4,489.1700,0.52,2.03E4,489.1699,0.50,7.25E4,489.1694,0.50,2.15E4,489.1704,0.50,1.67E5,489.1701,0.51,1.94E4,489.1701,0.52,1.4E4,1.39:1.00:0.26:0.21:0.76:0.23:1.76:0.20:0.15,7.62E4,1.67E4,1.00:0.22,0.51,,
,0.86,12.89,458.0099,0.29 - 0.69,1,1.2E5,458.0092,0.51,1.95E5,458.0099,0.51,2.38E5,458.0106,0.50,4.66E4,458.0109,0.51,7.01E4,458.0101,0.50,7.88E4,458.0099,0.50,5.88E4,458.0092,0.50,2.58E5,458.0095,0.52,6.2E4,458.0100,0.52,3.7E4,0.82:1.00:0.20:0.29:0.33:0.25:1.08:0.26:0.16,1.35E5,4.95E4,1.00:0.37,0.51,,
,0.85,4.00,1054.7774,18.88 - 20.23,1,3.3E4,1054.7769,20.15,3.03E4,1054.7771,20.15,3.71E4,1054.7778,20.15,3.81E4,1054.7771,20.15,3E4,1054.7780,20.12,3.82E4,1054.7776,20.15,3.35E4,1054.7795,20.15,3.03E4,1054.7776,20.13,2.44E4,1054.7747,20.16,3.35E4,0.82:1.00:1.03:0.81:1.03:0.90:0.82:0.66:0.90,3.39E4,2.89E4,1.00:0.85,20.14,,
,0.84,4.76,473.3991,7.99 - 11.97,1,6.4E4,473.3992,8.16,3.44E4,473.3986,8.52,1.49E5,473.3988,8.20,4.48E4,473.3988,8.22,4.72E4,473.3996,8.20,4.99E4,473.3992,8.27,4.29E4,473.3998,8.28,4.89E4,473.3986,8.18,4.84E4,473.3990,8.25,1.07E5,0.23:1.00:0.30:0.32:0.33:0.29:0.33:0.32:0.72,5.96E4,7.76E4,1.00:1.30,8.25,,
,0.84,16.50,329.1507,0.11 - 0.60,1,2.4E6,329.1513,0.16,1.32E7,329.1514,0.51,4.27E5,329.1506,0.15,7.66E5,329.1503,0.15,1.13E6,329.1505,0.15,1.65E6,-,-,0,329.1504,0.15,2.83E6,329.1506,0.15,9.64E5,329.1503,0.15,7.01E5,31.02:1.00:1.79:2.64:3.85:0:6.63:2.26:1.64,2.86E6,8.32E5,1.00:0.29,0.20,,
,0.84,3.52,502.6303,0.10 - 0.23,1,2.3E6,502.6306,0.16,4.4E6,-,-,0,502.6304,0.17,3.28E6,502.6308,0.17,3.97E6,502.6292,0.15,1.82E6,-,-,0,502.6299,0.15,2.08E6,502.6311,0.17,4.85E6,-,-,0,1.00:0:0.75:0.90:0.41:0:0.47:1.10:0,2.22E6,2.42E6,1.00:1.09,0.16,,
,0.83,5.72,564.3440,4.48 - 5.31,1,1.2E5,564.3441,5.16,2.46E4,564.3440,5.15,9.64E4,564.3439,5.16,9.4E4,564.3439,5.16,7.89E4,564.3444,5.16,6.1E4,564.3441,5.16,1.82E5,564.3444,5.16,2.01E5,564.3441,5.16,6.09E4,564.3437,5.16,2.48E5,0.25:1.00:0.98:0.82:0.63:1.89:2.08:0.63:2.57,1.05E5,1.54E5,1.00:1.46,5.16,,
,0.83,4.55,433.2965,2.69 - 3.50,1,3.8E4,433.2963,3.39,4.84E4,433.2966,3.40,4.01E4,433.2966,3.40,3.83E4,433.2966,3.40,3.44E4,433.2968,3.40,3.92E4,433.2964,3.40,3.76E4,433.2967,3.40,4.24E4,433.2962,3.39,3.29E4,433.2965,3.40,3.04E4,1.21:1.00:0.95:0.86:0.98:0.94:1.06:0.82:0.76,4.01E4,3.16E4,1.00:0.79,3.40,,
,0.83,29.25,445.9744,0.27 - 0.81,1,1.2E5,-,-,0,445.9749,0.53,8.03E4,445.9745,0.54,1.79E5,445.9741,0.52,2.69E5,445.9741,0.50,4.16E5,445.9742,0.50,6.41E4,445.9746,0.50,5.52E4,-,-,0,445.9744,0.52,4.68E4,0:1.00:2.23:3.35:5.18:0.80:0.69:0:0.58,1.52E5,2.34E4,1.00:0.15,0.52,,
,0.82,8.68,688.4914,7.18 - 8.10,1,5.2E5,-,-,0,688.4912,7.67,2.22E6,688.4906,7.67,1.07E6,688.4907,7.66,6.15E5,688.4923,7.68,1.05E5,688.4920,7.67,5.2E4,688.4921,7.67,3.6E4,688.4908,7.66,3.9E5,688.4915,7.67,2.05E5,0:1.00:0.48:0.28:0.05:0.02:0.02:0.18:0.09,5.86E5,2.97E5,1.00:0.51,7.67,,
,0.82,15.30,285.1333,0.11 - 0.68,1,1.7E6,-,-,0,285.1336,0.51,1.09E6,285.1335,0.54,2.25E6,285.1336,0.52,2.3E6,285.1333,0.17,7.18E6,-,-,0,285.1327,0.15,1.59E6,-,-,0,285.1334,0.52,1.29E6,0:1.00:2.07:2.11:6.59:0:1.46:0:1.18,2.06E6,6.44E5,1.00:0.31,0.40,,
,0.82,3.04,502.1546,2.41 - 6.85,1,9.1E4,502.1543,4.30,4.75E4,502.1540,4.66,1.38E5,502.1545,4.35,9.05E4,502.1544,4.44,8.97E4,502.1545,4.25,7.94E4,502.1545,4.48,1.02E5,502.1551,4.39,9.16E4,502.1548,4.53,7.29E4,502.1549,4.44,1.08E5,0.35:1.00:0.66:0.65:0.58:0.74:0.67:0.53:0.79,9.11E4,9.06E4,1.00:0.99,4.43,,
,0.81,7.99,527.4460,11.54 - 12.50,1,1.7E5,527.4459,11.86,8.72E4,527.4459,11.87,2.74E4,527.4459,11.86,2.84E5,527.4460,11.85,2.21E5,527.4462,11.88,2.38E5,527.4458,11.87,2.12E5,527.4459,11.86,2.21E5,527.4462,11.85,1.99E5,-,-,0,3.19:1.00:10.37:8.07:8.71:7.76:8.08:7.28:0,1.84E5,9.97E4,1.00:0.54,11.86,,
,0.81,4.97,460.0426,0.58 - 2.27,1,3.7E4,460.0428,2.15,3.65E4,460.0423,2.15,4.06E4,460.0421,2.15,4.11E4,460.0428,2.15,2.86E4,460.0427,2.15,3.94E4,460.0428,2.15,4.38E4,460.0424,2.15,4.54E4,460.0425,2.15,3.07E4,460.0426,2.15,2.82E4,0.90:1.00:1.01:0.70:0.97:1.08:1.12:0.76:0.69,3.94E4,2.94E4,1.00:0.75,2.15,,
,0.80,6.24,415.9814,0.27 - 0.53,1,7E4,-,-,0,415.9813,0.39,8.13E4,415.9814,0.42,7.43E4,415.9814,0.42,7.69E4,-,-,0,415.9814,0.42,1.46E5,415.9816,0.37,5.77E4,415.9814,0.42,4.63E4,415.9814,0.41,1.47E5,0:1.00:0.91:0.95:0:1.80:0.71:0.57:1.81,6.24E4,9.68E4,1.00:1.55,0.41,,
,0.80,4.91,388.0426,0.59 - 3.31,1,9.1E4,388.0428,2.84,3.21E4,388.0420,2.85,9.94E4,388.0419,2.85,7.7E4,388.0426,2.85,6.45E4,388.0429,2.85,9.43E4,388.0429,2.84,8.87E4,388.0426,2.85,1.35E5,388.0428,2.85,1.49E5,388.0428,2.85,7.49E4,0.32:1.00:0.77:0.65:0.95:0.89:1.36:1.50:0.75,8.44E4,1.12E5,1.00:1.33,2.85,,
,0.79,14.71,609.5567,10.84 - 11.60,1,1.1E5,609.5567,11.16,3.95E4,609.5565,11.16,1.17E5,609.5566,11.16,8.95E4,609.5564,11.14,4.55E4,609.5568,11.20,3.92E4,609.5565,11.16,4.95E5,609.5571,11.15,8.56E4,609.5566,11.15,8.45E4,-,-,0,0.34:1.00:0.76:0.39:0.34:4.23:0.73:0.72:0,1.3E5,4.23E4,1.00:0.32,11.16,,
,0.79,4.62,390.0394,0.59 - 3.27,1,8E4,390.0397,2.84,3.9E4,390.0389,2.85,8.84E4,390.0395,2.86,6.93E4,390.0396,2.85,5.68E4,390.0398,2.85,8.17E4,390.0391,2.85,7.58E4,390.0396,2.85,1.17E5,390.0390,2.85,1.29E5,390.0390,2.85,6.44E4,0.44:1.00:0.78:0.64:0.92:0.86:1.32:1.45:0.73,7.54E4,9.65E4,1.00:1.28,2.85,,
,0.79,8.72,620.5443,0.10 - 0.23,1,1.1E6,620.5446,0.16,2.05E6,-,-,0,-,-,0,620.5446,0.17,1.73E6,620.5435,0.15,5.94E5,620.5433,0.15,9.57E5,620.5444,0.17,7.22E5,620.5454,0.17,2.18E6,620.5446,0.17,1.23E6,1.00:0:0:0.84:0.29:0.47:0.35:1.07:0.60,8.64E5,1.71E6,1.00:1.98,0.16,,
,0.79,3.89,453.2698,3.08 - 5.08,1,5.7E4,453.2695,3.65,1.31E4,453.2704,4.09,9.29E4,453.2691,3.69,5.09E4,453.2700,3.69,4.26E4,453.2699,3.68,4.03E4,453.2696,3.86,8.75E4,453.2701,3.69,8.39E4,453.2694,3.65,2.43E4,453.2701,3.78,7.75E4,0.14:1.00:0.55:0.46:0.43:0.94:0.90:0.26:0.83,5.87E4,5.09E4,1.00:0.87,3.75,,
,0.78,7.13,509.3757,7.98 - 11.97,1,8.2E4,509.3760,8.16,3.49E4,509.3749,8.55,1.56E5,509.3757,8.20,1.04E5,509.3755,8.24,5.09E4,509.3766,8.20,1.27E5,509.3759,8.28,8.55E4,509.3761,8.27,7.18E4,509.3751,8.21,5.23E4,509.3751,8.28,5.34E4,0.22:1.00:0.67:0.33:0.81:0.55:0.46:0.34:0.34,9E4,5.28E4,1.00:0.59,8.26,,
,0.78,3.27,758.8630,19.92 - 20.24,2,1.8E4,758.8628,20.17,1.52E4,758.8619,20.16,1.98E4,758.8628,20.17,1.84E4,758.8636,20.16,1.69E4,758.8623,20.17,1.84E4,758.8630,20.16,1.81E4,758.8643,20.15,1.93E4,758.8632,20.17,1.56E4,758.8632,20.16,1.88E4,0.77:1.00:0.93:0.86:0.93:0.91:0.97:0.79:0.95,1.8E4,1.72E4,1.00:0.96,20.16,,
,0.78,3.18,431.1825,0.23 - 0.72,1,3E4,431.1825,0.62,2.42E4,431.1827,0.62,4.66E4,431.1824,0.60,2.91E4,431.1822,0.62,2.1E4,431.1822,0.61,1.13E4,431.1823,0.61,3.35E4,431.1829,0.61,4.51E4,431.1827,0.61,1.77E4,431.1829,0.61,4.07E4,0.52:1.00:0.62:0.45:0.24:0.72:0.97:0.38:0.87,3.01E4,2.92E4,1.00:0.97,0.61,,
,0.77,3.89,821.8364,19.92 - 20.23,2,1.7E4,821.8359,20.17,1.51E4,821.8362,20.16,1.98E4,821.8362,20.15,1.77E4,821.8369,20.15,1.57E4,821.8369,20.16,1.83E4,821.8366,20.16,1.7E4,821.8363,20.15,1.78E4,821.8369,20.14,1.31E4,821.8361,20.16,1.69E4,0.76:1.00:0.89:0.79:0.92:0.86:0.90:0.66:0.85,1.73E4,1.5E4,1.00:0.87,20.16,,
,0.77,5.05,671.2661,2.27 - 3.66,1,2.1E5,671.2664,2.99,2.75E4,671.2661,2.98,2.35E5,671.2659,2.99,1.09E5,671.2659,2.97,1.52E5,671.2666,2.99,9.98E4,671.2660,2.97,3.64E5,671.2661,3.00,3.97E5,671.2659,2.98,1.67E5,671.2660,2.97,3.68E5,0.12:1.00:0.46:0.65:0.42:1.54:1.69:0.71:1.56,1.98E5,2.67E5,1.00:1.35,2.98,,
,0.77,4.44,462.0394,0.57 - 2.50,1,3.6E4,462.0397,2.15,3.3E4,462.0390,2.15,4.02E4,462.0390,2.15,3.95E4,462.0397,2.15,2.92E4,462.0396,2.15,3.71E4,462.0397,2.15,4.05E4,462.0392,2.15,4.4E4,462.0394,2.15,3.25E4,462.0394,2.15,2.78E4,0.82:1.00:0.98:0.73:0.92:1.01:1.10:0.81:0.69,3.77E4,3.02E4,1.00:0.80,2.15,,
,0.77,6.73,442.0892,2.80 - 4.50,1,5.2E4,442.0889,3.80,1.04E5,442.0891,3.79,5.54E4,442.0890,3.80,4.81E4,442.0890,3.79,5.92E4,442.0895,3.81,2.68E4,442.0889,3.80,5.68E4,442.0894,3.92,4.95E4,442.0892,3.80,5.14E4,442.0893,3.82,1.83E4,1.87:1.00:0.87:1.07:0.48:1.03:0.89:0.93:0.33,5.71E4,3.49E4,1.00:0.61,3.81,,
,0.76,9.29,560.5886,0.10 - 0.23,1,2.1E6,560.5891,0.16,3.74E6,560.5885,0.18,1.14E6,-,-,0,560.5891,0.17,3.78E6,560.5875,0.15,1.62E6,-,-,0,560.5883,0.15,1.78E6,560.5895,0.17,4.26E6,560.5884,0.17,2.89E6,3.27:1.00:0:3.31:1.41:0:1.56:3.73:2.53,1.72E6,3.58E6,1.00:2.08,0.16,,
,0.76,18.40,337.1817,0.31 - 0.62,1,3.4E4,337.1817,0.51,8.1E4,337.1819,0.51,4.86E4,337.1817,0.50,1.69E4,337.1818,0.51,1.51E4,337.1819,0.50,3.81E4,337.1817,0.50,9.06E3,337.1818,0.50,7.38E4,337.1813,0.53,1.02E4,337.1812,0.52,1.09E4,1.67:1.00:0.35:0.31:0.78:0.19:1.52:0.21:0.22,4.04E4,1.05E4,1.00:0.26,0.51,,
,0.76,37.01,671.4648,6.35 - 7.73,1,3.4E6,-,-,0,671.4653,7.19,1.12E5,671.4646,7.17,7.83E5,671.4636,7.17,5.83E6,671.4648,7.20,1.77E6,671.4658,7.20,1.79E5,671.4659,7.21,3.79E4,671.4644,7.15,1.39E7,671.4635,7.22,8.17E6,0:1.00:7.02:52.31:15.84:1.61:0.34:124.25:73.27,1.24E6,1.1E7,1.00:8.85,7.19,,
,0.76,21.81,507.9920,0.19 - 0.63,1,1.2E5,-,-,0,-,-,0,507.9921,0.54,3.71E5,507.9921,0.52,1.8E5,507.9919,0.50,3.41E5,507.9919,0.53,1.43E5,507.9923,0.50,2.06E4,-,-,0,507.9918,0.52,6.55E4,0:0:1.00:0.49:0.92:0.38:0.06:0:0.18,1.51E5,3.28E4,1.00:0.22,0.52,,
,0.75,4.56,405.0132,0.22 - 0.44,1,5.9E4,-,-,0,405.0134,0.31,1.32E5,405.0126,0.33,2.27E4,405.0133,0.31,6.81E4,-,-,0,405.0130,0.33,1.08E5,405.0135,0.33,5.75E4,405.0133,0.31,4.33E4,405.0133,0.33,9.75E4,0:1.00:0.17:0.52:0:0.82:0.44:0.33:0.74,5.54E4,7.04E4,1.00:1.27,0.32,,
,0.75,4.08,698.2845,2.20 - 3.58,1,2.3E5,698.2850,2.98,2.65E4,698.2847,2.98,2.3E5,698.2840,2.99,2.14E5,698.2844,2.97,1.56E5,698.2844,2.99,1.03E5,698.2847,2.97,3.54E5,698.2845,3.00,4.31E5,698.2845,3.00,1.57E5,698.2845,2.97,3.57E5,0.12:1.00:0.93:0.68:0.45:1.54:1.87:0.68:1.55,2.16E5,2.57E5,1.00:1.19,2.98,,
,0.75,13.57,374.1309,2.81 - 4.04,1,5.7E4,374.1305,3.68,2.97E4,374.1309,3.67,4.39E4,374.1306,3.69,3.91E4,374.1308,3.69,2.88E4,374.1315,3.68,2.81E4,374.1307,3.69,3.88E4,374.1308,3.68,7.24E4,374.1312,3.66,1.96E5,374.1307,3.67,3.37E4,0.68:1.00:0.89:0.65:0.64:0.88:1.65:4.46:0.77,4.01E4,1.15E5,1.00:2.86,3.68,,
,0.75,3.20,519.4046,8.00 - 13.18,1,1.8E5,519.4052,8.16,1.73E5,519.4040,8.53,2.57E5,519.4048,8.20,2.42E5,519.4044,8.22,2.16E5,519.4049,8.18,1.27E5,519.4048,8.55,1.01E5,519.4053,8.56,1.26E5,519.4042,8.21,2.2E5,519.4044,8.55,1.24E5,0.67:1.00:0.94:0.84:0.49:0.39:0.49:0.85:0.48,1.78E5,1.72E5,1.00:0.97,8.35,,
,0.75,8.75,444.0862,2.84 - 4.32,1,4.1E4,444.0860,3.80,9.21E4,444.0862,3.79,4.66E4,444.0861,3.80,2.1E4,444.0862,3.79,5.31E4,444.0864,3.92,1.95E4,444.0859,3.81,4.52E4,444.0864,3.92,4.21E4,444.0858,3.79,2.08E4,444.0865,3.81,2.52E4,1.98:1.00:0.45:1.14:0.42:0.97:0.90:0.45:0.54,4.57E4,2.3E4,1.00:0.50,3.83,,
,0.75,3.23,831.6741,16.77 - 17.38,1,2.5E4,831.6737,17.08,9.38E3,831.6732,17.09,3.65E4,831.6742,17.15,2.06E4,831.6754,17.12,1.81E4,831.6738,17.13,1.79E4,831.6745,17.13,3.48E4,831.6736,17.06,3.88E4,831.6740,17.08,1.8E4,831.6742,17.06,3.03E4,0.26:1.00:0.56:0.50:0.49:0.95:1.06:0.49:0.83,2.51E4,2.42E4,1.00:0.96,17.10,,
,0.74,3.32,584.8123,14.99 - 20.15,1,1.8E5,584.8115,18.86,1.46E5,-,-,-,584.8124,18.64,1.88E5,584.8125,18.60,1.65E5,584.8124,18.83,2.53E5,584.8123,19.06,1.29E5,584.8119,18.70,1.96E5,584.8129,18.86,1.89E5,584.8129,19.08,1.9E5,1.00:-:1.29:1.13:1.74:0.89:1.34:1.29:1.31,1.8E5,1.9E5,1.00:1.06,18.83,,
,0.74,5.15,472.0075,0.21 - 0.62,1,6.9E4,-,-,0,472.0074,0.51,1.77E5,472.0079,0.50,3.76E4,472.0072,0.51,4.22E4,472.0074,0.54,5.65E4,472.0072,0.49,6.45E4,472.0076,0.46,1.37E5,472.0079,0.49,6.98E4,472.0071,0.49,3.75E4,0:1.00:0.21:0.24:0.32:0.37:0.78:0.40:0.21,7.35E4,5.36E4,1.00:0.73,0.50,,
