Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,CLVS2_C00_neg m/z,CLVS2_C00_neg RT mean,CLVS2_C00_neg Normalized Area,CLVS2_C04_neg m/z,CLVS2_C04_neg RT mean,CLVS2_C04_neg Normalized Area,CLVS2_C05_neg m/z,CLVS2_C05_neg RT mean,CLVS2_C05_neg Normalized Area,CLVS2_C06_neg m/z,CLVS2_C06_neg RT mean,CLVS2_C06_neg Normalized Area,CLVS2_C07_neg m/z,CLVS2_C07_neg RT mean,CLVS2_C07_neg Normalized Area,CLVS2_C08_neg m/z,CLVS2_C08_neg RT mean,CLVS2_C08_neg Normalized Area,CLVS2_C09_neg m/z,CLVS2_C09_neg RT mean,CLVS2_C09_neg Normalized Area,CLVS2_C10_neg m/z,CLVS2_C10_neg RT mean,CLVS2_C10_neg Normalized Area,CLVS2_C11_neg m/z,CLVS2_C11_neg RT mean,CLVS2_C11_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,1.81,4.50,502.6305,0.10 - 0.24,1,5.3E6,502.6307,0.16,1.12E7,502.6305,0.17,4.31E6,502.6304,0.16,5.5E6,502.6302,0.17,4.19E6,502.6306,0.17,4.69E6,502.6307,0.16,3.67E6,502.6304,0.17,3.33E6,502.6306,0.16,6.08E6,502.6306,0.16,4.96E6,2.03:0.78:1.00:0.76:0.85:0.67:0.61:1.10:0.90,5.97E6,4.51E6,1.00:0.75,0.16,,
,1.65,3.88,500.6334,0.10 - 0.24,1,3.9E6,500.6340,0.16,7.07E6,500.6331,0.17,3.11E6,500.6335,0.16,4.34E6,500.6330,0.17,2.94E6,500.6338,0.17,3.43E6,500.6334,0.16,3.05E6,500.6328,0.17,2.77E6,500.6337,0.16,4.59E6,500.6332,0.16,3.65E6,1.63:0.72:1.00:0.68:0.79:0.70:0.64:1.06:0.84,4.18E6,3.52E6,1.00:0.84,0.16,,
,1.64,5.63,618.5471,0.10 - 0.22,1,2.9E6,618.5472,0.16,6.67E6,618.5471,0.17,2.15E6,618.5477,0.16,3.45E6,618.5469,0.17,2.45E6,618.5469,0.17,2.32E6,618.5471,0.16,2.04E6,618.5466,0.17,1.52E6,618.5471,0.16,2.78E6,618.5469,0.16,2.33E6,1.93:0.62:1.00:0.71:0.67:0.59:0.44:0.80:0.67,3.41E6,2.17E6,1.00:0.64,0.16,,
,1.57,4.15,620.5442,0.10 - 0.24,1,2.3E6,620.5447,0.16,4.94E6,620.5436,0.17,1.68E6,620.5442,0.16,2.28E6,620.5441,0.17,1.7E6,620.5442,0.17,2.27E6,620.5443,0.16,1.65E6,620.5438,0.17,1.6E6,620.5448,0.16,2.76E6,620.5443,0.16,2.25E6,2.16:0.74:1.00:0.75:0.99:0.72:0.70:1.21:0.98,2.57E6,2.06E6,1.00:0.80,0.16,,
,1.54,9.52,293.1745,0.10 - 0.59,1,3.2E7,293.1748,0.16,4.12E6,293.1738,0.15,1.87E7,293.1750,0.16,3.56E7,293.1740,0.15,2.1E7,293.1740,0.15,1.57E7,293.1749,0.16,5.69E7,293.1743,0.15,2.32E7,293.1748,0.16,5.62E7,293.1749,0.16,5.36E7,0.12:0.52:1.00:0.59:0.44:1.60:0.65:1.58:1.51,1.9E7,4.75E7,1.00:2.50,0.16,,
,1.38,5.35,616.5501,0.10 - 0.24,1,1.3E6,616.5499,0.16,3.27E6,616.5501,0.17,9.19E5,616.5504,0.16,1.39E6,616.5499,0.17,1.15E6,616.5502,0.17,1.12E6,616.5499,0.16,8.96E5,616.5496,0.17,7.18E5,616.5500,0.16,1.3E6,616.5507,0.16,1.24E6,2.35:0.66:1.00:0.82:0.80:0.64:0.51:0.94:0.89,1.57E6,1.04E6,1.00:0.66,0.16,,
,1.36,3.36,656.8823,15.15 - 20.28,1,2.3E6,656.8822,20.16,1.66E6,656.8828,20.16,2.28E6,656.8821,20.17,2.21E6,656.8822,20.16,2.48E6,656.8823,20.17,2.49E6,656.8826,20.17,2.47E6,656.8828,20.16,2.72E6,656.8820,20.16,2.03E6,656.8821,20.15,2.36E6,0.75:1.03:1.00:1.12:1.13:1.12:1.23:0.92:1.07,2.23E6,2.4E6,1.00:1.08,20.16,,
,1.33,3.42,600.7035,0.10 - 0.24,1,9.9E5,600.7035,0.20,1.32E6,600.7035,0.17,8.84E5,600.7029,0.18,1.04E6,600.7032,0.17,1.05E6,600.7040,0.19,8.31E5,600.7040,0.18,7.93E5,600.7034,0.17,8.08E5,600.7031,0.17,1.17E6,600.7036,0.18,9.95E5,1.27:0.85:1.00:1.01:0.80:0.76:0.78:1.13:0.96,1.03E6,9.41E5,1.00:0.92,0.18,,
,1.32,5.54,418.0388,0.28 - 0.61,1,6.4E5,418.0392,0.52,1.11E5,418.0387,0.51,6.35E5,418.0388,0.49,5.13E5,418.0388,0.51,6.18E5,418.0389,0.51,6.86E5,418.0386,0.49,9.65E5,418.0387,0.52,5.12E5,418.0388,0.50,9.49E5,418.0388,0.47,7.61E5,0.22:1.24:1.00:1.20:1.34:1.88:1.00:1.85:1.48,5.13E5,7.97E5,1.00:1.55,0.50,,
,1.25,4.32,454.0157,0.28 - 0.63,1,6.5E5,454.0154,0.52,1.2E5,454.0155,0.51,6.74E5,454.0159,0.49,6.17E5,454.0155,0.51,6.89E5,454.0160,0.51,7.68E5,454.0153,0.49,8.09E5,454.0158,0.49,4.59E5,454.0159,0.50,8.61E5,454.0161,0.47,8.2E5,0.19:1.09:1.00:1.12:1.25:1.31:0.74:1.40:1.33,5.74E5,7.37E5,1.00:1.29,0.50,,
