Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,CLVS2_C00_neg m/z,CLVS2_C00_neg RT mean,CLVS2_C00_neg Normalized Area,CLVS2_C04_neg m/z,CLVS2_C04_neg RT mean,CLVS2_C04_neg Normalized Area,CLVS2_C05_neg m/z,CLVS2_C05_neg RT mean,CLVS2_C05_neg Normalized Area,CLVS2_C06_neg m/z,CLVS2_C06_neg RT mean,CLVS2_C06_neg Normalized Area,CLVS2_C07_neg m/z,CLVS2_C07_neg RT mean,CLVS2_C07_neg Normalized Area,CLVS2_C08_neg m/z,CLVS2_C08_neg RT mean,CLVS2_C08_neg Normalized Area,CLVS2_C09_neg m/z,CLVS2_C09_neg RT mean,CLVS2_C09_neg Normalized Area,CLVS2_C10_neg m/z,CLVS2_C10_neg RT mean,CLVS2_C10_neg Normalized Area,CLVS2_C11_neg m/z,CLVS2_C11_neg RT mean,CLVS2_C11_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,1.23,3.18,325.1834,0.10 - 1.72,1,9.5E5,325.1835,1.58,7.99E5,325.1838,1.57,1.76E6,325.1834,1.58,7.61E5,325.1834,1.58,8.14E5,325.1833,1.59,7.2E5,325.1834,1.59,1.23E6,325.1836,1.59,8.27E5,325.1833,1.58,7.97E5,325.1833,1.58,8.81E5,1.05:2.31:1.00:1.07:0.95:1.62:1.09:1.05:1.16,9.7E5,9.35E5,1.00:0.96,1.58,,
,1.22,4.32,446.1014,3.79 - 5.04,1,4.7E5,446.1011,4.54,4.34E5,446.1014,4.53,7.45E5,446.1016,4.54,4.57E5,446.1012,4.55,5.45E5,446.1011,4.56,4.38E5,446.1014,4.56,4.29E5,446.1018,4.54,4.06E5,446.1014,4.55,4.17E5,446.1012,4.54,3.79E5,0.95:1.63:1.00:1.19:0.96:0.94:0.89:0.91:0.83,5.24E5,4.08E5,1.00:0.78,4.54,,
,1.22,5.78,420.0360,0.26 - 0.63,1,3.8E5,420.0361,0.52,6.53E4,420.0362,0.48,3.69E5,420.0359,0.49,3.12E5,420.0361,0.51,3.58E5,420.0362,0.51,4.12E5,420.0359,0.49,5.86E5,420.0359,0.49,3.14E5,420.0360,0.50,5.73E5,420.0361,0.47,4.75E5,0.21:1.18:1.00:1.15:1.32:1.88:1.01:1.84:1.53,3.03E5,4.87E5,1.00:1.61,0.50,,
,1.19,4.14,681.2944,2.32 - 3.11,1,1.2E6,681.2943,2.98,8.67E5,681.2939,2.98,7.09E5,681.2942,2.92,8.49E5,681.2944,2.99,1.41E6,681.2947,2.98,1.48E6,681.2944,2.99,1.01E6,681.2946,2.98,1.59E6,681.2946,2.98,1.44E6,681.2949,2.96,1.25E6,1.02:0.84:1.00:1.67:1.74:1.19:1.87:1.70:1.47,1.06E6,1.32E6,1.00:1.25,2.97,,
,1.18,4.59,456.0125,0.26 - 0.63,1,5.9E5,456.0127,0.52,1.16E5,456.0123,0.51,6.13E5,456.0122,0.49,5.42E5,456.0123,0.51,6.26E5,456.0132,0.51,6.73E5,456.0124,0.49,7.3E5,456.0124,0.49,4.23E5,456.0123,0.50,8.53E5,456.0125,0.47,7.56E5,0.21:1.13:1.00:1.15:1.24:1.35:0.78:1.58:1.39,5.14E5,6.9E5,1.00:1.34,0.50,,
,1.15,9.06,329.1506,0.10 - 0.20,1,7.7E6,-,-,0,329.1499,0.15,5.98E6,329.1512,0.16,7.17E6,329.1501,0.15,5.75E6,329.1507,0.15,5.04E6,329.1504,0.14,1.31E7,329.1505,0.15,6.98E6,329.1510,0.16,1.2E7,329.1510,0.16,1.35E7,0:0.83:1.00:0.80:0.70:1.83:0.97:1.67:1.89,4.79E6,1.14E7,1.00:2.38,0.15,,
,1.14,4.94,560.5888,0.10 - 0.24,1,4E6,560.5890,0.16,9.46E6,-,-,0,560.5884,0.16,5.63E6,560.5886,0.17,3.57E6,560.5889,0.17,4.45E6,560.5890,0.16,3.2E6,-,-,0,560.5887,0.16,5.3E6,560.5889,0.16,4.52E6,1.68:0:1.00:0.63:0.79:0.57:0:0.94:0.80,4.62E6,3.25E6,1.00:0.70,0.16,,
,1.12,4.14,444.1044,3.79 - 5.03,1,5.1E5,444.1045,4.54,4.76E5,444.1041,4.53,7.39E5,444.1043,4.54,5.05E5,444.1040,4.55,6.04E5,444.1044,4.56,4.78E5,444.1043,4.55,4.76E5,444.1051,4.52,4.49E5,444.1047,4.55,4.58E5,444.1046,4.54,4.17E5,0.94:1.46:1.00:1.20:0.95:0.94:0.89:0.91:0.83,5.6E5,4.5E5,1.00:0.80,4.54,,
,1.11,3.84,360.0111,0.31 - 2.05,1,2.7E5,360.0112,1.89,3.45E5,360.0111,1.89,3.52E5,360.0111,1.90,3.01E5,360.0111,1.90,3.2E5,360.0109,1.90,1.12E5,360.0112,1.90,2.54E5,360.0114,1.90,1.85E5,360.0110,1.91,3.42E5,360.0111,1.89,1.88E5,1.15:1.17:1.00:1.06:0.37:0.84:0.61:1.14:0.62,2.86E5,2.42E5,1.00:0.85,1.90,,
,1.11,3.05,519.4047,7.93 - 13.23,1,2.1E6,519.4052,8.23,1.45E6,519.4044,8.20,1.97E6,519.4049,8.13,1.84E6,519.4047,8.16,2.53E6,519.4047,8.22,2.52E6,519.4047,8.13,2.02E6,519.4047,8.16,2.5E6,519.4048,8.16,1.82E6,519.4047,8.10,2E6,0.79:1.07:1.00:1.38:1.37:1.10:1.36:0.99:1.09,2.06E6,2.08E6,1.00:1.01,8.17,,
,1.11,6.89,407.1672,0.28 - 0.61,1,2.4E5,407.1671,0.52,2.01E4,407.1672,0.51,2.06E5,407.1672,0.49,1.44E5,407.1671,0.51,2.36E5,407.1673,0.51,2.47E5,407.1669,0.49,3.28E5,407.1672,0.52,1.83E5,407.1672,0.50,4.4E5,407.1673,0.51,3.18E5,0.14:1.43:1.00:1.65:1.72:2.28:1.27:3.06:2.22,1.71E5,3.17E5,1.00:1.86,0.51,,
,1.11,9.98,338.1591,0.10 - 0.37,1,9E5,338.1593,0.24,7.06E4,338.1582,0.15,2.18E5,338.1594,0.16,1.81E6,338.1587,0.15,2.67E5,338.1586,0.15,2.47E5,338.1597,0.16,1.67E6,338.1589,0.17,1.12E6,338.1599,0.16,1.28E6,338.1593,0.16,1.4E6,0.04:0.12:1.00:0.15:0.14:0.92:0.62:0.71:0.77,5.23E5,1.37E6,1.00:2.62,0.17,,
,1.10,3.59,362.0080,0.29 - 2.05,1,2.8E5,362.0077,1.89,3.18E5,362.0077,1.88,3.24E5,362.0083,1.90,2.75E5,362.0084,1.90,2.93E5,362.0082,1.90,1.06E5,362.0076,1.92,4.08E5,362.0079,1.90,2.85E5,362.0078,1.89,3.15E5,362.0084,1.89,1.79E5,1.16:1.18:1.00:1.06:0.39:1.48:1.04:1.14:0.65,2.63E5,2.97E5,1.00:1.13,1.90,,
,1.05,3.27,509.3756,7.95 - 13.23,1,9.1E5,509.3757,8.23,7.24E5,509.3751,8.20,9.05E5,509.3758,8.14,8.62E5,509.3755,8.15,9.64E5,509.3757,8.21,9.68E5,509.3756,8.14,9.45E5,509.3756,8.17,1.07E6,509.3760,8.17,8.1E5,509.3757,8.10,9.19E5,0.84:1.05:1.00:1.12:1.12:1.10:1.24:0.94:1.07,8.85E5,9.36E5,1.00:1.06,8.17,,
,1.04,3.48,444.0857,2.92 - 4.01,1,1.8E5,444.0855,3.79,1.12E5,444.0854,3.78,9.03E4,444.0858,3.77,7.45E4,444.0859,3.77,2.22E5,444.0857,3.77,4.21E5,444.0856,3.77,3.39E5,444.0856,3.78,1.61E5,444.0857,3.76,1.16E5,444.0856,3.79,5.09E4,1.51:1.21:1.00:2.99:5.66:4.55:2.17:1.56:0.68,1.84E5,1.67E5,1.00:0.91,3.78,,
,1.03,4.15,458.0096,0.28 - 0.63,1,1.8E5,458.0101,0.52,3.46E4,458.0093,0.48,1.93E5,458.0093,0.49,1.76E5,458.0093,0.51,1.94E5,458.0101,0.51,2.07E5,458.0094,0.49,2.15E5,458.0096,0.49,1.31E5,458.0099,0.50,2.32E5,458.0097,0.47,2.26E5,0.20:1.09:1.00:1.10:1.17:1.22:0.74:1.31:1.28,1.61E5,2.01E5,1.00:1.25,0.50,,
,1.02,3.11,542.7451,0.10 - 0.24,1,8.4E5,542.7450,0.20,9.75E5,542.7457,0.17,6.74E5,542.7449,0.18,9.49E5,542.7450,0.17,8.78E5,542.7450,0.19,7.78E5,542.7455,0.18,7.29E5,-,-,-,542.7448,0.17,1.02E6,542.7451,0.18,7.42E5,1.03:0.71:1.00:0.93:0.82:0.77:-:1.08:0.78,8.51E5,8.31E5,1.00:0.98,0.18,,
,1.00,5.06,794.4197,0.10 - 0.24,1,3E6,794.4202,0.16,7.42E6,794.4193,0.17,2.85E6,794.4202,0.16,4.18E6,-,-,0,794.4195,0.17,3.17E6,794.4199,0.16,2.79E6,-,-,0,794.4199,0.16,3.93E6,794.4193,0.16,3.04E6,1.77:0.68:1.00:0:0.76:0.67:0:0.94:0.73,3.52E6,2.44E6,1.00:0.69,0.16,,
,1.00,4.10,311.1682,0.10 - 6.19,1,9.4E5,311.1678,1.18,7.47E5,311.1678,1.17,1.58E6,311.1684,1.18,9.71E5,311.1683,1.19,9.93E5,311.1683,1.18,8.24E5,311.1682,1.18,1.19E6,311.1684,1.19,6.41E5,311.1682,1.17,6.46E5,311.1684,1.17,8.38E5,0.77:1.63:1.00:1.02:0.85:1.22:0.66:0.67:0.86,1.02E6,8.28E5,1.00:0.81,1.18,,
,0.99,3.12,473.3993,7.94 - 13.22,1,9.7E5,473.3994,8.22,6.99E5,473.3983,8.21,1.06E6,473.3990,8.14,9.02E5,473.3993,8.15,1.23E6,473.3995,8.22,1.02E6,473.3994,8.14,9.76E5,473.3995,8.16,1E6,473.3996,8.16,8.92E5,473.3996,8.10,9.58E5,0.77:1.17:1.00:1.36:1.13:1.08:1.11:0.99:1.06,9.81E5,9.57E5,1.00:0.98,8.17,,
,0.98,3.60,364.0050,0.32 - 2.04,1,7.9E4,364.0052,1.89,9.36E4,364.0048,1.88,9.06E4,364.0049,1.90,7.93E4,364.0051,1.90,8.17E4,364.0049,1.90,2.83E4,364.0051,1.92,1.14E5,364.0046,1.90,8.2E4,364.0051,1.89,9.32E4,364.0052,1.88,4.76E4,1.18:1.14:1.00:1.03:0.36:1.44:1.03:1.18:0.60,7.47E4,8.43E4,1.00:1.13,1.90,,
,0.98,10.18,587.3568,0.37 - 0.61,1,7.1E5,587.3570,0.52,-,587.3562,0.51,4.62E5,587.3571,0.53,2.63E5,587.3564,0.51,4.49E5,587.3571,0.51,3.72E5,587.3571,0.53,1.04E6,587.3568,0.52,3.18E5,587.3571,0.50,1.92E6,587.3569,0.51,8.46E5,-:1.76:1.00:1.71:1.42:3.97:1.21:7.30:3.22,3.87E5,1.03E6,1.00:2.67,0.51,,
,0.97,4.63,678.5024,0.10 - 0.21,1,1.2E6,678.5027,0.16,2.78E6,678.5027,0.17,8.13E5,-,-,-,678.5018,0.17,9.55E5,678.5026,0.17,1.12E6,678.5023,0.16,9.48E5,678.5016,0.17,7E5,678.5032,0.16,1.46E6,678.5020,0.16,1.08E6,1.00:0.29:-:0.34:0.40:0.34:0.25:0.53:0.39,1.42E6,1.05E6,1.00:0.74,0.16,,
,0.96,4.61,420.0669,2.37 - 4.26,1,1E5,420.0667,3.66,1.05E5,420.0667,3.67,1.74E5,420.0668,3.66,9.44E4,420.0674,3.68,1.21E5,420.0674,3.68,6.82E4,420.0670,3.67,7.84E4,420.0668,3.70,8.48E4,420.0667,3.67,8.48E4,420.0670,3.68,8.57E4,1.11:1.84:1.00:1.28:0.72:0.83:0.90:0.90:0.91,1.12E5,8.34E4,1.00:0.74,3.67,,
,0.94,4.10,609.5566,10.81 - 11.52,1,1.3E5,609.5566,11.12,9.27E4,609.5561,11.13,1.46E5,609.5566,11.13,1.29E5,609.5572,11.14,8.34E4,609.5565,11.15,1.59E5,609.5564,11.17,1.56E5,609.5568,11.16,1.11E5,609.5567,11.14,1.57E5,609.5568,11.12,1.8E5,0.72:1.13:1.00:0.65:1.24:1.21:0.86:1.22:1.39,1.22E5,1.51E5,1.00:1.24,11.14,,
,0.93,3.45,461.3278,3.58 - 4.25,1,5.2E4,461.3278,4.14,3.77E4,461.3278,4.12,5.2E4,461.3279,4.13,5.08E4,461.3276,4.13,5.69E4,461.3277,4.14,5.14E4,461.3281,4.14,5.95E4,461.3281,4.14,5.7E4,461.3278,4.13,4.6E4,461.3278,4.13,5.57E4,0.74:1.02:1.00:1.12:1.01:1.17:1.12:0.90:1.10,4.98E4,5.45E4,1.00:1.10,4.13,,
,0.93,4.00,698.2844,2.29 - 3.15,1,2.1E5,698.2844,2.98,1.5E5,698.2842,2.98,1.2E5,698.2843,2.97,1.7E5,698.2846,2.99,2.38E5,698.2847,2.99,2.67E5,698.2845,2.99,2.41E5,698.2843,2.98,2.79E5,698.2845,2.98,2.61E5,698.2843,2.96,1.38E5,0.88:0.71:1.00:1.40:1.57:1.42:1.64:1.54:0.81,1.89E5,2.3E5,1.00:1.21,2.98,,
,0.93,3.24,459.3122,2.77 - 3.76,1,4.5E4,459.3123,3.62,3.52E4,459.3117,3.62,4.66E4,459.3121,3.62,4.36E4,459.3121,3.62,4.88E4,459.3119,3.62,4.76E4,459.3121,3.62,5.27E4,459.3125,3.63,4.76E4,459.3123,3.62,3.69E4,459.3125,3.62,4.94E4,0.81:1.07:1.00:1.12:1.09:1.21:1.09:0.85:1.13,4.44E4,4.67E4,1.00:1.05,3.62,,
,0.92,7.21,489.1698,0.30 - 0.61,1,7.7E4,-,-,0,489.1695,0.48,6.72E4,489.1698,0.49,4.75E4,489.1701,0.51,7.81E4,489.1699,0.51,7.95E4,489.1697,0.49,1.07E5,489.1700,0.52,6.35E4,489.1700,0.50,1.39E5,489.1695,0.47,1.12E5,0:1.42:1.00:1.64:1.67:2.26:1.34:2.92:2.36,5.45E4,1.05E5,1.00:1.94,0.50,,
,0.92,3.39,671.2657,2.20 - 3.67,1,1.7E5,671.2659,2.98,1.78E5,671.2650,2.98,1.25E5,671.2657,2.97,1.54E5,671.2659,2.99,1.62E5,671.2656,2.98,2.05E5,671.2657,2.97,1.06E5,671.2657,2.98,2.12E5,671.2661,2.98,2.19E5,671.2659,2.96,1.77E5,1.15:0.81:1.00:1.05:1.33:0.69:1.38:1.42:1.15,1.65E5,1.79E5,1.00:1.08,2.98,,
,0.90,4.48,370.0396,0.49 - 2.03,1,4.3E4,370.0396,1.89,3.74E4,370.0394,1.88,5.17E4,370.0400,1.90,3.85E4,370.0394,1.90,4.64E4,370.0400,1.91,1.64E4,370.0395,1.90,6.78E4,370.0397,1.90,4.9E4,370.0394,1.90,5.43E4,370.0395,1.89,2.98E4,0.97:1.34:1.00:1.21:0.43:1.76:1.27:1.41:0.78,3.81E4,5.02E4,1.00:1.32,1.90,,
,0.89,3.53,434.3027,1.97 - 3.42,1,1.4E5,434.3030,2.94,2.42E5,434.3026,2.93,1.96E5,434.3023,2.94,4.98E4,434.3025,2.94,6.66E4,434.3029,2.96,1.16E5,434.3026,2.94,9.15E4,434.3023,2.95,3.5E4,434.3029,2.94,2.69E5,434.3028,2.94,2.02E5,4.86:3.93:1.00:1.34:2.32:1.84:0.70:5.39:4.05,1.34E5,1.49E5,1.00:1.11,2.94,,
,0.88,6.66,337.1815,0.28 - 0.63,1,8E4,337.1819,0.52,1.04E4,337.1809,0.48,7.21E4,337.1815,0.53,5.74E4,337.1816,0.51,7.33E4,337.1813,0.51,8.21E4,337.1814,0.49,1.27E5,337.1815,0.49,8.14E4,337.1815,0.50,1.15E5,337.1816,0.47,1.04E5,0.18:1.26:1.00:1.28:1.43:2.21:1.42:2.00:1.81,5.91E4,1.07E5,1.00:1.81,0.50,,
,0.88,6.87,402.1621,3.85 - 4.73,1,5.8E4,402.1619,4.53,3.79E4,402.1625,4.52,1.63E5,402.1619,4.53,4.44E4,402.1620,4.55,7.38E4,402.1617,4.55,4.31E4,402.1619,4.55,4.38E4,402.1627,4.55,3.54E4,402.1620,4.55,4.56E4,402.1620,4.53,3.12E4,0.85:3.66:1.00:1.66:0.97:0.99:0.80:1.03:0.70,7.23E4,3.9E4,1.00:0.54,4.54,,
,0.87,3.56,359.0832,0.37 - 1.40,1,6.1E4,359.0830,1.28,2.1E4,359.0830,1.28,3.57E4,359.0833,1.28,7.84E4,359.0832,1.29,6.11E4,359.0831,1.29,9.34E4,359.0830,1.29,4.91E4,359.0833,1.28,3.67E4,359.0833,1.29,9.33E4,359.0832,1.28,8.07E4,0.27:0.45:1.00:0.78:1.19:0.63:0.47:1.19:1.03,5.79E4,6.49E4,1.00:1.12,1.28,,
,0.86,4.89,448.0981,3.79 - 4.97,1,1.1E5,448.0980,4.55,1.06E5,448.0980,4.53,2.13E5,448.0984,4.55,1.02E5,448.0977,4.55,1.26E5,448.0984,4.56,9.31E4,448.0982,4.55,9.58E4,448.0983,4.52,8.61E4,448.0981,4.55,9.88E4,448.0983,4.53,8.29E4,1.04:2.10:1.00:1.24:0.92:0.94:0.85:0.97:0.82,1.28E5,9.09E4,1.00:0.71,4.54,,
,0.86,4.44,687.5768,15.24 - 17.09,1,7.7E4,687.5763,16.01,3.92E4,687.5761,15.89,1.51E5,687.5776,15.91,5.61E4,687.5770,16.02,6.02E4,687.5768,15.83,1.23E5,687.5765,15.92,5.91E4,687.5765,15.90,5.82E4,687.5773,15.96,8.64E4,687.5769,15.95,5.83E4,0.70:2.69:1.00:1.07:2.19:1.05:1.04:1.54:1.04,8.58E4,6.55E4,1.00:0.76,15.93,,
,0.86,4.61,581.5258,9.18 - 9.97,1,5.8E4,581.5258,9.60,5.1E4,581.5257,9.58,5.6E4,581.5259,9.61,4.16E4,581.5260,9.61,3E4,581.5257,9.65,7.16E4,581.5256,9.63,7.37E4,581.5257,9.63,4.19E4,581.5259,9.59,7.51E4,581.5258,9.60,7.92E4,1.23:1.35:1.00:0.72:1.72:1.77:1.01:1.81:1.90,5E4,6.75E4,1.00:1.35,9.61,,
,0.85,4.02,442.0888,2.93 - 4.06,1,1.9E5,442.0891,3.79,1.25E5,442.0885,3.78,1.12E5,442.0888,3.77,8.52E4,442.0889,3.77,2.41E5,442.0888,3.77,4.56E5,442.0886,3.77,3.51E5,442.0886,3.78,1.75E5,442.0887,3.76,1.42E5,-,-,0,1.46:1.31:1.00:2.83:5.36:4.12:2.05:1.67:0,2.04E5,1.67E5,1.00:0.82,3.77,,
,0.85,3.47,433.2961,2.62 - 3.50,1,4.1E4,433.2961,3.38,2.93E4,433.2957,3.38,3.94E4,433.2958,3.38,4.09E4,433.2961,3.39,4.42E4,433.2960,3.39,4.15E4,433.2961,3.39,4.74E4,433.2963,3.39,4.52E4,433.2962,3.39,3.6E4,433.2965,3.38,4.35E4,0.72:0.96:1.00:1.08:1.01:1.16:1.11:0.88:1.06,3.91E4,4.3E4,1.00:1.10,3.39,,
,0.85,4.54,1221.7790,7.99 - 9.62,1,2.2E5,1221.7795,8.92,1.27E5,1221.7776,8.91,2.51E5,1221.7781,8.92,1.1E5,1221.7786,8.94,3.92E5,1221.7787,8.92,3.43E5,1221.7800,8.94,1.26E5,1221.7788,8.93,2.09E5,1221.7798,8.93,1.16E5,1221.7795,8.93,2.83E5,1.16:2.29:1.00:3.57:3.13:1.14:1.90:1.06:2.58,2.45E5,1.83E5,1.00:0.75,8.93,,
,0.85,5.68,374.1308,2.82 - 3.89,1,6E4,374.1309,3.67,3.94E4,374.1309,3.67,1.41E5,374.1305,3.67,4.38E4,374.1307,3.68,8.78E4,374.1306,3.68,4.82E4,374.1305,3.67,6.06E4,374.1314,3.68,3.71E4,374.1309,3.67,5.14E4,374.1310,3.67,3.31E4,0.90:3.23:1.00:2.01:1.10:1.38:0.85:1.17:0.75,7.21E4,4.55E4,1.00:0.63,3.67,,
,0.84,4.86,536.3947,7.96 - 13.22,1,3E5,536.3951,8.22,2.48E5,536.3939,8.22,2.48E5,536.3948,8.13,2.25E5,536.3943,8.15,2.53E5,536.3945,8.21,3.06E5,536.3950,8.14,3.63E5,536.3948,8.14,4.07E5,536.3950,8.20,3.08E5,536.3947,8.12,3.59E5,1.10:1.10:1.00:1.12:1.36:1.61:1.81:1.37:1.59,2.56E5,3.59E5,1.00:1.40,8.17,,
,0.84,3.99,390.0393,1.04 - 3.11,1,4.7E4,390.0393,2.83,5.99E4,390.0392,2.83,6.42E4,390.0396,2.84,3.36E4,390.0393,2.84,6.39E4,390.0392,2.84,3.06E4,390.0391,2.84,4.23E4,390.0394,2.84,3.59E4,390.0395,2.84,5.31E4,390.0392,2.83,3.52E4,1.78:1.91:1.00:1.90:0.91:1.26:1.07:1.58:1.05,5.05E4,4.16E4,1.00:0.82,2.84,,
,0.84,6.04,383.1883,3.85 - 4.79,1,3.3E4,383.1886,4.54,1.89E4,383.1879,4.52,8.4E4,383.1883,4.53,2.65E4,383.1884,4.55,4.67E4,383.1882,4.54,2.46E4,383.1886,4.56,2.61E4,383.1883,4.54,2.46E4,383.1884,4.53,2.67E4,383.1884,4.53,1.89E4,0.71:3.17:1.00:1.77:0.93:0.99:0.93:1.01:0.71,4.01E4,2.41E4,1.00:0.60,4.54,,
,0.84,3.04,270.2064,0.22 - 0.56,1,5.8E4,270.2064,0.44,1.33E5,270.2064,0.44,6.79E4,270.2065,0.45,1.17E4,270.2064,0.44,1.97E4,270.2064,0.44,5.68E4,270.2064,0.44,6.61E4,270.2063,0.45,2.5E4,270.2063,0.44,4.68E4,270.2064,0.45,9.18E4,11.35:5.78:1.00:1.67:4.83:5.63:2.13:3.98:7.81,5.79E4,5.74E4,1.00:0.99,0.44,,
,0.84,3.98,424.2742,2.18 - 3.06,1,7.1E4,424.2741,2.94,1.35E5,424.2740,2.93,8.07E4,424.2745,2.94,1.87E4,424.2741,2.96,2.83E4,424.2742,2.96,5.98E4,424.2741,2.96,4.39E4,424.2738,2.97,1.19E4,424.2743,2.95,1.55E5,424.2746,2.94,1.01E5,7.23:4.32:1.00:1.52:3.20:2.35:0.64:8.31:5.43,6.45E4,7.81E4,1.00:1.21,2.95,,
