Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,HSDL2-b_A00_neg m/z,HSDL2-b_A00_neg RT mean,HSDL2-b_A00_neg Normalized Area,HSDL2-b_A04_neg m/z,HSDL2-b_A04_neg RT mean,HSDL2-b_A04_neg Normalized Area,HSDL2-b_A05_neg m/z,HSDL2-b_A05_neg RT mean,HSDL2-b_A05_neg Normalized Area,HSDL2-b_A06_neg m/z,HSDL2-b_A06_neg RT mean,HSDL2-b_A06_neg Normalized Area,HSDL2-b_A07_neg m/z,HSDL2-b_A07_neg RT mean,HSDL2-b_A07_neg Normalized Area,HSDL2-b_A08_neg m/z,HSDL2-b_A08_neg RT mean,HSDL2-b_A08_neg Normalized Area,HSDL2-b_A09_neg m/z,HSDL2-b_A09_neg RT mean,HSDL2-b_A09_neg Normalized Area,HSDL2-b_A10_neg m/z,HSDL2-b_A10_neg RT mean,HSDL2-b_A10_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.89,6.40,553.0327,4.17 - 9.60,1,2.1E5,553.0329,4.57,2.08E5,553.0323,4.56,1.92E5,553.0328,4.60,2.2E5,553.0331,4.58,2.08E5,553.0328,4.60,2.18E5,553.0323,4.58,2.09E5,553.0327,4.59,2.11E5,553.0323,4.57,1.86E5,1.12:1.03:1.18:1.11:1.17:1.12:1.13:1.00,2.09E5,1.86E5,1.12:1.00,4.58,,
,0.89,60.00,794.4232,0.13 - 0.29,1,1.9E6,-,-,0,794.4227,0.19,4.9E6,-,-,0,794.4235,0.17,3.2E6,-,-,0,794.4233,0.17,3.37E6,-,-,0,794.4232,0.19,3.77E6,0:1.30:0:0.85:0:0.89:0:1.00,1.64E6,3.77E6,0.43:1.00,0.18,,
,0.88,4.69,383.1902,4.23 - 9.60,1,2.5E5,383.1902,4.58,2.46E5,383.1905,4.55,2.2E5,383.1900,4.60,2.48E5,383.1907,4.58,2.83E5,383.1902,4.60,2.49E5,383.1898,4.56,2.74E5,383.1901,4.57,2.53E5,383.1898,4.55,2.37E5,1.04:0.93:1.04:1.19:1.05:1.15:1.06:1.00,2.53E5,2.37E5,1.07:1.00,4.57,,
,0.87,17.41,687.5804,15.39 - 16.25,1,3.5E4,687.5807,15.89,4.35E4,687.5801,15.95,2.21E4,687.5801,15.97,4.49E4,687.5806,15.90,2.88E4,687.5798,15.94,4.19E4,687.5806,15.90,2.76E4,687.5806,15.95,4.3E4,687.5806,15.93,2.59E4,1.68:0.85:1.73:1.11:1.62:1.07:1.66:1.00,3.6E4,2.59E4,1.39:1.00,15.93,,
,0.87,18.60,519.3914,8.71 - 10.02,1,3E4,519.3915,9.35,3.7E4,519.3914,9.42,1.97E4,519.3911,9.48,3.85E4,519.3911,9.41,2.55E4,519.3916,9.40,3.83E4,519.3911,9.39,2.35E4,519.3916,9.54,3.78E4,519.3915,9.43,2.23E4,1.66:0.88:1.73:1.14:1.72:1.06:1.70:1.00,3.15E4,2.23E4,1.41:1.00,9.43,,
,0.86,18.35,258.8907,16.43 - 21.38,1,6.1E4,258.8906,19.44,7.57E4,258.8906,19.43,3.71E4,258.8906,19.47,7.34E4,258.8911,19.77,5.41E4,258.8907,19.45,7.59E4,258.8905,19.49,4.79E4,258.8906,19.53,7.65E4,258.8907,19.47,4.47E4,1.69:0.83:1.64:1.21:1.70:1.07:1.71:1.00,6.3E4,4.47E4,1.41:1.00,19.51,,
,0.86,18.22,430.9283,16.20 - 21.28,1,4.4E4,430.9283,21.21,5.77E4,430.9283,21.20,2.56E4,430.9284,21.21,5.52E4,430.9283,21.20,3.59E4,430.9284,21.21,5.52E4,430.9282,21.21,3.43E4,430.9282,21.20,5.46E4,430.9284,21.21,3.24E4,1.78:0.79:1.71:1.11:1.71:1.06:1.69:1.00,4.55E4,3.24E4,1.41:1.00,21.21,,
,0.86,60.00,454.0177,0.13 - 0.66,1,5.3E5,-,-,0,454.0175,0.53,8.04E5,-,-,0,454.0179,0.54,3.22E5,-,-,0,454.0176,0.51,1.72E6,-,-,0,454.0176,0.54,1.43E6,0:0.56:0:0.23:0:1.20:0:1.00,4.06E5,1.43E6,0.28:1.00,0.53,,
,0.86,60.00,678.5057,0.13 - 0.29,1,9.4E5,-,-,0,678.5056,0.19,2.64E6,-,-,0,678.5059,0.17,1.46E6,-,-,0,678.5057,0.17,1.56E6,-,-,0,678.5056,0.19,1.83E6,0:1.44:0:0.80:0:0.85:0:1.00,8.09E5,1.83E6,0.44:1.00,0.18,,
,0.86,60.00,329.1525,0.13 - 0.54,1,8.7E5,-,-,0,329.1526,0.17,1.15E6,-,-,0,329.1525,0.17,1.21E6,-,-,0,329.1525,0.17,2.81E6,-,-,0,329.1526,0.17,1.8E6,0:0.64:0:0.67:0:1.56:0:1.00,7.38E5,1.8E6,0.41:1.00,0.17,,
,0.85,60.00,792.4262,0.13 - 0.29,1,1.4E6,-,-,0,792.4256,0.19,3.6E6,-,-,0,792.4265,0.17,2.41E6,-,-,0,792.4261,0.17,2.46E6,-,-,0,792.4267,0.19,2.83E6,0:1.27:0:0.85:0:0.87:0:1.00,1.21E6,2.83E6,0.43:1.00,0.18,,
,0.85,60.00,309.1708,0.13 - 1.11,1,4.9E5,-,-,0,309.1704,0.17,8.13E5,-,-,0,309.1708,0.17,7.79E5,-,-,0,309.1711,0.16,1.11E6,-,-,0,309.1709,0.17,1.21E6,0:0.67:0:0.64:0:0.91:0:1.00,3.86E5,1.21E6,0.32:1.00,0.17,,
,0.85,20.64,453.2722,3.41 - 4.92,1,6.7E4,453.2721,4.14,8.28E4,453.2721,4.06,4.46E4,453.2721,4.19,8.48E4,453.2724,4.01,5.71E4,453.2721,4.18,8.69E4,453.2720,4.00,5.05E4,453.2725,4.20,8.2E4,453.2721,4.12,4.8E4,1.72:0.93:1.77:1.19:1.81:1.05:1.71:1.00,6.98E4,4.8E4,1.45:1.00,4.11,,
,0.84,60.00,796.4201,0.13 - 0.29,1,1.6E6,-,-,0,796.4194,0.18,4.08E6,-,-,0,796.4205,0.17,2.7E6,-,-,0,796.4202,0.17,2.81E6,-,-,0,796.4204,0.19,3.21E6,0:1.27:0:0.84:0:0.88:0:1.00,1.37E6,3.21E6,0.43:1.00,0.18,,
,0.84,24.14,562.1703,8.45 - 9.90,1,2.4E4,562.1704,9.17,3.03E4,562.1703,9.16,1.54E4,562.1702,9.38,3.18E4,562.1702,9.21,1.93E4,562.1705,9.34,3.15E4,562.1703,9.19,1.78E4,562.1704,9.33,3.06E4,562.1701,9.30,1.66E4,1.82:0.93:1.91:1.16:1.90:1.07:1.84:1.00,2.53E4,1.66E4,1.52:1.00,9.26,,
,0.84,9.42,444.1066,4.17 - 9.60,1,3.8E5,444.1062,4.56,3.98E5,444.1068,4.56,3.34E5,444.1067,4.58,4.2E5,444.1064,4.58,4.31E5,444.1068,4.60,4.03E5,444.1065,4.58,3.59E5,444.1068,4.57,4.03E5,444.1064,4.57,3.25E5,1.23:1.03:1.29:1.33:1.24:1.11:1.24:1.00,3.92E5,3.25E5,1.21:1.00,4.57,,
,0.83,21.78,471.8159,21.24 - 23.57,1,2E4,471.8157,21.43,2.74E4,471.8157,21.45,1.16E4,471.8158,21.43,2.38E4,471.8159,21.46,1.64E4,471.8161,21.43,2.57E4,471.8160,21.46,1.72E4,471.8161,21.45,2.56E4,471.8157,21.47,1.43E4,1.92:0.81:1.66:1.14:1.80:1.20:1.79:1.00,2.11E4,1.43E4,1.48:1.00,21.45,,
,0.83,60.00,676.5086,0.13 - 0.29,1,9.1E5,-,-,0,676.5079,0.18,2.42E6,-,-,0,676.5091,0.17,1.46E6,-,-,0,676.5089,0.17,1.51E6,-,-,0,676.5087,0.19,1.86E6,0:1.30:0:0.78:0:0.81:0:1.00,7.7E5,1.86E6,0.41:1.00,0.18,,
,0.83,60.00,456.0143,0.13 - 0.66,1,4.9E5,-,-,0,456.0140,0.53,7.44E5,-,-,0,456.0149,0.54,2.89E5,-,-,0,456.0143,0.51,1.62E6,-,-,0,456.0141,0.54,1.3E6,0:0.57:0:0.22:0:1.25:0:1.00,3.79E5,1.3E6,0.29:1.00,0.53,,
,0.82,3.29,428.1878,4.24 - 9.60,1,1.4E5,428.1881,4.57,1.03E5,428.1876,4.56,1.76E5,428.1881,4.58,1.09E5,428.1876,4.58,1.88E5,428.1877,4.60,1.01E5,428.1873,4.58,1.68E5,428.1881,4.57,1.06E5,428.1879,4.55,1.38E5,0.75:1.28:0.79:1.36:0.73:1.22:0.77:1.00,1.36E5,1.38E5,0.99:1.00,4.57,,
,0.82,20.32,564.1678,8.55 - 9.92,1,2.3E4,564.1676,9.24,3E4,564.1675,9.31,1.53E4,564.1678,9.36,3.18E4,564.1683,9.39,1.89E4,564.1677,9.28,2.97E4,564.1675,9.22,1.7E4,564.1679,9.34,2.65E4,564.1677,9.26,1.67E4,1.79:0.92:1.91:1.13:1.78:1.02:1.59:1.00,2.42E4,1.67E4,1.45:1.00,9.30,,
,0.82,16.77,363.9563,21.21 - 24.00,1,1.7E4,363.9565,21.36,2.2E4,363.9564,21.36,1.03E4,363.9564,21.39,1.94E4,363.9563,21.36,1.42E4,363.9563,21.35,2.22E4,363.9567,21.37,1.39E4,363.9562,21.36,2.16E4,363.9557,21.38,1.28E4,1.72:0.80:1.51:1.10:1.73:1.09:1.69:1.00,1.77E4,1.28E4,1.38:1.00,21.37,,
,0.82,21.18,491.2638,3.24 - 5.96,1,5.4E4,491.2635,4.72,7.13E4,491.2639,4.73,3E4,491.2635,4.84,7.01E4,491.2639,4.70,4.01E4,491.2640,4.78,6.97E4,491.2639,4.73,4.19E4,491.2639,4.82,6.78E4,491.2640,4.76,3.81E4,1.87:0.79:1.84:1.05:1.83:1.10:1.78:1.00,5.58E4,3.81E4,1.46:1.00,4.76,,
,0.82,18.39,598.2518,8.55 - 10.07,1,2.4E4,598.2516,9.47,2.93E4,598.2513,9.43,1.79E4,598.2521,9.55,3.13E4,598.2516,9.47,2.05E4,598.2518,9.55,2.99E4,598.2521,9.51,1.88E4,598.2517,9.53,2.99E4,598.2520,9.41,1.8E4,1.63:1.00:1.74:1.14:1.66:1.04:1.66:1.00,2.54E4,1.8E4,1.41:1.00,9.49,,
,0.82,23.07,572.1993,8.61 - 9.88,1,1.9E4,572.1989,9.29,2.29E4,572.1995,9.14,1.31E4,572.1995,9.30,2.56E4,572.1992,9.29,1.57E4,572.1992,9.33,2.43E4,572.1991,9.21,1.38E4,572.1994,9.35,2.32E4,572.1993,9.25,1.32E4,1.73:0.99:1.94:1.19:1.84:1.05:1.76:1.00,1.98E4,1.32E4,1.50:1.00,9.27,,
,0.82,4.82,653.0533,14.72 - 19.44,2,6.3E4,653.0530,16.60,7.22E4,653.0540,16.58,3.64E4,653.0527,16.71,4.54E4,653.0527,16.85,3.21E4,653.0535,16.57,9.38E4,653.0536,16.54,6.55E4,653.0530,16.58,8.97E4,653.0536,16.58,6.66E4,1.08:0.55:0.68:0.48:1.41:0.98:1.35:1.00,6.22E4,6.66E4,0.93:1.00,16.62,,
,0.81,9.92,446.1036,4.17 - 9.60,1,3.5E5,446.1035,4.58,3.64E5,446.1036,4.56,3.06E5,446.1039,4.60,3.82E5,446.1036,4.58,3.92E5,446.1039,4.59,3.7E5,446.1030,4.58,3.27E5,446.1039,4.59,3.67E5,446.1031,4.57,2.93E5,1.24:1.04:1.30:1.34:1.26:1.11:1.25:1.00,3.58E5,2.93E5,1.22:1.00,4.58,,
,0.80,23.76,323.7572,21.27 - 22.19,1,1.3E4,323.7571,21.36,1.6E4,323.7570,21.36,8.38E3,323.7575,21.36,1.69E4,323.7576,21.36,1.07E4,323.7571,21.35,1.64E4,323.7571,21.34,1.13E4,323.7572,21.38,1.62E4,323.7572,21.33,9.06E3,1.77:0.93:1.87:1.18:1.81:1.24:1.79:1.00,1.37E4,9.06E3,1.51:1.00,21.35,,
,0.80,60.00,293.1760,0.01 - 5.53,1,6.3E6,293.1764,0.53,5.18E5,293.1755,0.17,1.46E7,-,-,0,293.1758,0.17,5.21E6,-,-,0,293.1761,0.18,1.2E7,293.1763,0.53,5E5,293.1761,0.17,1.74E7,0.03:0.84:0:0.30:0:0.69:0.03:1.00,4.7E6,1.74E7,0.27:1.00,0.29,,
,0.80,7.48,499.3649,3.15 - 4.42,1,2E4,499.3650,3.71,1.84E4,499.3644,3.76,2.82E4,499.3648,3.73,1.84E4,499.3646,3.78,2.27E4,499.3650,3.74,1.88E4,499.3648,3.77,2E4,499.3656,3.73,1.86E4,499.3652,3.77,1.79E4,1.03:1.57:1.03:1.26:1.05:1.12:1.04:1.00,2.07E4,1.79E4,1.16:1.00,3.75,,
,0.80,15.30,472.8135,21.23 - 22.83,1,1.9E4,472.8134,21.43,2.39E4,472.8134,21.45,1.12E4,472.8135,21.43,2.17E4,472.8138,21.46,1.57E4,472.8136,21.43,2.58E4,472.8136,21.46,1.41E4,472.8134,21.45,2.41E4,472.8135,21.47,1.45E4,1.65:0.77:1.50:1.08:1.78:0.97:1.66:1.00,1.95E4,1.45E4,1.35:1.00,21.45,,
,0.80,14.18,540.8014,21.23 - 22.83,1,1.3E4,540.8012,21.40,1.75E4,540.8013,21.38,7.61E3,540.8020,21.38,1.43E4,540.8016,21.37,9.91E3,540.8014,21.41,1.78E4,540.8015,21.38,9.32E3,540.8011,21.37,1.82E4,540.8014,21.41,1.02E4,1.71:0.74:1.40:0.97:1.74:0.91:1.78:1.00,1.35E4,1.02E4,1.32:1.00,21.39,,
,0.80,60.00,616.5530,0.13 - 0.29,1,7.9E5,-,-,0,616.5524,0.18,2.11E6,-,-,0,616.5536,0.17,1.32E6,-,-,0,616.5531,0.17,1.31E6,-,-,0,616.5529,0.19,1.61E6,0:1.31:0:0.82:0:0.81:0:1.00,6.76E5,1.61E6,0.42:1.00,0.18,,
,0.79,3.06,412.1930,4.19 - 9.60,1,1.4E5,412.1927,4.57,1.25E5,412.1932,4.56,1.53E5,412.1935,4.60,1.32E5,412.1928,4.58,1.86E5,412.1935,4.59,1.24E5,412.1929,4.58,1.6E5,412.1926,4.57,1.3E5,412.1924,4.57,1.45E5,0.87:1.06:0.91:1.29:0.86:1.11:0.89:1.00,1.44E5,1.45E5,1.00:1.00,4.58,,
,0.79,60.00,736.4644,0.13 - 0.27,1,5.7E5,-,-,0,736.4642,0.19,1.54E6,-,-,0,736.4645,0.19,9.68E5,-,-,0,736.4646,0.19,9.07E5,-,-,0,736.4644,0.19,1.13E6,0:1.36:0:0.86:0:0.80:0:1.00,4.88E5,1.13E6,0.43:1.00,0.19,,
,0.79,24.08,510.1882,3.36 - 5.81,1,4E4,510.1880,4.82,4.83E4,510.1880,4.73,2.18E4,510.1881,4.84,5.25E4,510.1878,4.68,3.95E4,510.1885,4.81,5.04E4,510.1877,4.71,2.8E4,510.1885,4.78,4.97E4,510.1887,4.76,2.73E4,1.77:0.80:1.92:1.45:1.85:1.03:1.82:1.00,4.15E4,2.73E4,1.52:1.00,4.77,,
,0.79,4.34,402.1639,4.19 - 9.60,1,1.2E5,402.1639,4.58,1.01E5,402.1643,4.56,1.38E5,402.1638,4.58,1.12E5,402.1645,4.58,1.54E5,402.1638,4.60,1E5,402.1635,4.58,1.32E5,402.1638,4.57,1.05E5,402.1635,4.57,1.14E5,0.88:1.21:0.98:1.35:0.88:1.16:0.92:1.00,1.2E5,1.14E5,1.05:1.00,4.58,,
,0.78,21.80,349.9039,21.27 - 22.98,1,1.1E4,349.9041,21.40,1.44E4,349.9037,21.36,6.86E3,349.9044,21.39,1.12E4,349.9036,21.40,1E4,349.9038,21.37,1.36E4,349.9037,21.38,1.04E4,349.9039,21.37,1.51E4,349.9037,21.39,7.89E3,1.82:0.87:1.43:1.27:1.72:1.31:1.91:1.00,1.16E4,7.89E3,1.48:1.00,21.38,,
,0.78,9.49,304.9146,21.21 - 21.64,1,1.1E5,304.9147,21.26,1.27E5,304.9145,21.25,6.75E4,304.9147,21.25,1.28E5,304.9145,21.24,8.64E4,304.9147,21.25,1.26E5,304.9147,21.26,1.06E5,304.9147,21.26,1.26E5,304.9146,21.25,9.06E4,1.40:0.74:1.41:0.95:1.39:1.17:1.39:1.00,1.1E5,9.06E4,1.21:1.00,21.25,,
,0.78,6.26,614.1370,3.36 - 5.56,1,5.1E4,614.1369,4.79,5.54E4,614.1367,4.65,3.76E4,614.1376,4.76,5.79E4,614.1367,4.65,4.48E4,614.1379,4.78,5.91E4,614.1364,4.63,4.96E4,614.1370,4.79,5.48E4,614.1365,4.59,4.58E4,1.21:0.82:1.26:0.98:1.29:1.08:1.20:1.00,5.13E4,4.58E4,1.12:1.00,4.71,,
,0.78,20.81,600.2485,8.77 - 10.00,1,1.6E4,600.2487,9.49,1.87E4,600.2486,9.37,1.22E4,600.2485,9.51,2.11E4,600.2482,9.46,1.35E4,600.2476,9.48,1.88E4,600.2490,9.50,1.17E4,600.2485,9.51,1.87E4,600.2487,9.47,1.13E4,1.66:1.08:1.87:1.20:1.67:1.04:1.66:1.00,1.64E4,1.13E4,1.46:1.00,9.47,,
,0.78,11.46,457.3181,1.72 - 4.66,1,3.6E4,457.3184,3.29,4.13E4,457.3177,3.34,3.49E4,457.3183,3.26,4.23E4,457.3176,2.99,2.67E4,457.3184,3.31,4.13E4,457.3182,2.97,2.83E4,457.3181,3.26,4.07E4,457.3178,3.35,2.9E4,1.42:1.20:1.46:0.92:1.42:0.98:1.40:1.00,3.65E4,2.9E4,1.26:1.00,3.22,,
,0.78,25.82,336.8995,1.19 - 4.51,1,5.3E4,336.8996,1.36,5.07E4,336.8993,1.35,3.4E4,336.8996,1.34,4.53E4,336.8994,1.61,9.12E4,336.8996,1.37,4.97E4,336.8995,1.35,3.1E4,336.8996,1.36,4.79E4,336.8995,1.60,7.75E4,0.65:0.44:0.58:1.18:0.64:0.40:0.62:1.00,5E4,7.75E4,0.65:1.00,1.42,,
,0.78,3.23,768.7107,15.47 - 16.52,1,1.5E4,768.7104,15.55,1.7E4,768.7107,15.59,1.02E4,768.7111,15.58,1.82E4,768.7106,15.60,1.48E4,768.7114,15.61,1.64E4,768.7101,15.58,1.31E4,768.7109,15.57,1.55E4,768.7107,15.56,1.49E4,1.14:0.68:1.22:1.00:1.10:0.88:1.04:1.00,1.5E4,1.49E4,1.01:1.00,15.58,,
,0.77,18.67,512.1848,4.21 - 5.28,1,1E4,512.1848,4.74,1.19E4,512.1851,4.76,5.69E3,512.1846,4.78,1.35E4,512.1851,4.70,1.12E4,512.1849,4.83,1.28E4,512.1846,4.70,6.59E3,512.1844,4.82,1.23E4,512.1852,4.79,7.48E3,1.60:0.76:1.80:1.50:1.71:0.88:1.65:1.00,1.06E4,7.48E3,1.41:1.00,4.77,,
,0.77,18.65,636.2402,8.24 - 13.57,1,4.1E5,636.2402,8.51,5.07E5,636.2399,8.55,2.75E5,636.2403,8.56,5.25E5,636.2402,8.57,3.47E5,636.2402,8.55,5.09E5,636.2401,8.54,3.14E5,636.2404,8.53,5.1E5,636.2404,8.49,3.02E5,1.68:0.91:1.74:1.15:1.69:1.04:1.69:1.00,4.27E5,3.02E5,1.41:1.00,8.54,,
,0.77,13.28,534.1380,4.18 - 5.33,1,1.5E4,534.1378,4.76,1.75E4,534.1382,4.70,9.71E3,534.1381,4.85,1.93E4,534.1381,4.64,1.45E4,534.1384,4.78,1.8E4,534.1374,4.65,1.08E4,534.1379,4.76,1.76E4,534.1383,4.73,1.18E4,1.49:0.82:1.64:1.23:1.52:0.91:1.50:1.00,1.53E4,1.18E4,1.30:1.00,4.73,,
,0.77,15.35,609.5593,10.93 - 13.83,1,3.4E4,609.5586,11.11,2.71E4,609.5594,11.12,3.7E4,609.5592,11.14,2.8E4,609.5593,11.11,5.13E4,609.5596,11.14,2.66E4,609.5593,11.11,3.41E4,609.5593,11.15,2.53E4,609.5596,11.08,4.41E4,0.61:0.84:0.64:1.16:0.60:0.77:0.57:1.00,3.28E4,4.41E4,0.74:1.00,11.12,,
,0.76,5.37,475.1792,4.19 - 5.16,1,1.1E4,475.1792,4.79,1.17E4,475.1789,4.65,8.9E3,475.1794,4.80,1.16E4,475.1793,4.61,1.05E4,475.1795,4.81,1.13E4,475.1791,4.62,1.07E4,475.1791,4.80,1.15E4,475.1791,4.66,9.99E3,1.17:0.89:1.17:1.05:1.13:1.07:1.15:1.00,1.09E4,9.99E3,1.09:1.00,4.72,,
,0.76,6.27,355.1589,3.33 - 8.74,1,3.1E5,355.1592,3.73,2.31E5,355.1590,3.71,5.24E5,355.1591,3.74,2.32E5,355.1585,3.71,4.18E5,355.1590,3.73,2.29E5,355.1588,3.69,3.18E5,355.1592,3.73,2.35E5,355.1587,3.70,2.79E5,0.83:1.88:0.83:1.50:0.82:1.14:0.84:1.00,3.12E5,2.79E5,1.12:1.00,3.72,,
,0.76,60.00,852.3813,0.13 - 0.29,1,4.6E5,-,-,0,852.3812,0.19,1.29E6,-,-,0,852.3812,0.19,6.68E5,-,-,0,852.3815,0.19,7.99E5,-,-,0,852.3813,0.19,9.12E5,0:1.41:0:0.73:0:0.88:0:1.00,3.93E5,9.12E5,0.43:1.00,0.19,,
,0.76,5.08,473.1786,4.31 - 5.11,1,1.1E4,473.1785,4.78,1.19E4,473.1785,4.63,8.84E3,473.1790,4.74,1.2E4,473.1784,4.63,9.38E3,473.1790,4.80,1.15E4,473.1782,4.60,1.07E4,473.1788,4.81,1.2E4,473.1785,4.64,1.01E4,1.19:0.88:1.19:0.93:1.14:1.06:1.19:1.00,1.09E4,1.01E4,1.08:1.00,4.70,,
,0.76,60.00,622.5441,0.13 - 0.29,1,6.8E5,-,-,0,622.5433,0.19,1.86E6,-,-,0,622.5441,0.17,1.09E6,-,-,0,622.5445,0.17,1.24E6,-,-,0,622.5444,0.19,1.29E6,0:1.45:0:0.85:0:0.96:0:1.00,5.99E5,1.29E6,0.47:1.00,0.18,,
,0.76,60.00,498.6386,0.13 - 0.31,1,5.6E5,-,-,0,498.6381,0.18,1.47E6,-,-,0,498.6390,0.17,9.52E5,-,-,0,498.6387,0.17,9.72E5,-,-,0,498.6387,0.19,1.1E6,0:1.33:0:0.86:0:0.88:0:1.00,4.84E5,1.1E6,0.44:1.00,0.18,,
,0.76,12.34,561.0647,4.20 - 5.14,1,2E4,561.0653,4.58,1.15E4,561.0645,4.56,3E4,561.0647,4.60,1.2E4,561.0645,4.58,2.75E4,561.0647,4.59,1.22E4,561.0645,4.58,3.02E4,561.0649,4.57,1.19E4,561.0645,4.57,2.47E4,0.47:1.21:0.49:1.11:0.49:1.22:0.48:1.00,1.93E4,2.47E4,0.78:1.00,4.58,,
,0.76,21.94,533.0333,3.25 - 4.27,1,1.8E4,533.0336,3.71,1.01E4,533.0328,3.71,2.2E4,533.0331,3.73,1.09E4,533.0332,3.71,2.63E4,533.0334,3.74,1.03E4,533.0332,3.69,3.13E4,533.0335,3.72,1.06E4,533.0336,3.70,2.57E4,0.39:0.86:0.42:1.03:0.40:1.22:0.41:1.00,1.74E4,2.57E4,0.68:1.00,3.71,,
