Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,HSDL2-b_A00_neg m/z,HSDL2-b_A00_neg RT mean,HSDL2-b_A00_neg Normalized Area,HSDL2-b_A04_neg m/z,HSDL2-b_A04_neg RT mean,HSDL2-b_A04_neg Normalized Area,HSDL2-b_A05_neg m/z,HSDL2-b_A05_neg RT mean,HSDL2-b_A05_neg Normalized Area,HSDL2-b_A06_neg m/z,HSDL2-b_A06_neg RT mean,HSDL2-b_A06_neg Normalized Area,HSDL2-b_A07_neg m/z,HSDL2-b_A07_neg RT mean,HSDL2-b_A07_neg Normalized Area,HSDL2-b_A08_neg m/z,HSDL2-b_A08_neg RT mean,HSDL2-b_A08_neg Normalized Area,HSDL2-b_A09_neg m/z,HSDL2-b_A09_neg RT mean,HSDL2-b_A09_neg Normalized Area,HSDL2-b_A10_neg m/z,HSDL2-b_A10_neg RT mean,HSDL2-b_A10_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,1.00,60.00,502.6328,0.13 - 0.31,1,2.7E6,-,-,0,502.6323,0.18,6.69E6,-,-,0,502.6332,0.17,4.73E6,-,-,0,502.6330,0.17,4.75E6,-,-,0,502.6328,0.19,5.54E6,0:1.21:0:0.85:0:0.86:0:1.00,2.31E6,5.54E6,0.42:1.00,0.18,,
,0.97,60.00,500.6358,0.13 - 0.31,1,2E6,-,-,0,500.6354,0.18,5.03E6,-,-,0,500.6359,0.17,3.54E6,-,-,0,500.6361,0.17,3.65E6,-,-,0,500.6360,0.19,4.18E6,0:1.20:0:0.85:0:0.87:0:1.00,1.74E6,4.18E6,0.42:1.00,0.18,,
,0.97,60.00,560.5914,0.13 - 0.31,1,2.4E6,-,-,0,560.5912,0.18,6.07E6,-,-,0,560.5918,0.17,4.08E6,-,-,0,560.5913,0.17,4.1E6,-,-,0,560.5911,0.19,4.83E6,0:1.26:0:0.85:0:0.85:0:1.00,2.04E6,4.83E6,0.42:1.00,0.18,,
,0.93,60.00,558.5944,0.13 - 0.31,1,1.5E6,-,-,0,558.5941,0.18,3.89E6,-,-,0,558.5945,0.17,2.71E6,-,-,0,558.5941,0.17,2.71E6,-,-,0,558.5947,0.19,3.04E6,0:1.28:0:0.89:0:0.89:0:1.00,1.33E6,3.04E6,0.44:1.00,0.18,,
,0.92,60.00,504.6300,0.13 - 0.31,1,1.8E6,-,-,0,504.6297,0.18,4.55E6,-,-,0,504.6299,0.17,3.08E6,-,-,0,504.6302,0.17,3.19E6,-,-,0,504.6301,0.19,3.71E6,0:1.23:0:0.83:0:0.86:0:1.00,1.55E6,3.71E6,0.42:1.00,0.18,,
,0.92,5.81,551.0359,4.18 - 9.60,1,2.1E5,551.0361,4.56,2.15E5,551.0357,4.56,1.89E5,551.0360,4.60,2.28E5,551.0358,4.58,2.19E5,551.0362,4.59,2.22E5,551.0358,4.58,2.19E5,551.0361,4.59,2.2E5,551.0358,4.57,1.95E5,1.10:0.97:1.17:1.12:1.14:1.12:1.13:1.00,2.16E5,1.95E5,1.11:1.00,4.58,,
,0.92,60.00,618.5502,0.13 - 0.29,1,1.6E6,-,-,0,618.5500,0.18,4.3E6,-,-,0,618.5507,0.17,2.57E6,-,-,0,618.5501,0.17,2.75E6,-,-,0,618.5499,0.19,3.22E6,0:1.34:0:0.80:0:0.85:0:1.00,1.37E6,3.22E6,0.43:1.00,0.18,,
,0.91,9.49,321.7599,21.27 - 23.99,1,3.4E4,321.7592,21.35,4.19E4,321.7599,21.34,2.17E4,321.7599,21.36,3.93E4,321.7600,21.35,2.85E4,321.7599,21.35,4.09E4,321.7600,21.34,2.98E4,321.7600,21.37,4.03E4,321.7600,21.34,2.86E4,1.46:0.76:1.37:1.00:1.43:1.04:1.41:1.00,3.46E4,2.86E4,1.21:1.00,21.35,,
,0.91,60.00,562.5883,0.13 - 0.31,1,1.9E6,-,-,0,562.5881,0.18,4.86E6,-,-,0,562.5886,0.17,3.34E6,-,-,0,562.5887,0.17,3.19E6,-,-,0,562.5880,0.19,3.8E6,0:1.28:0:0.88:0:0.84:0:1.00,1.63E6,3.8E6,0.43:1.00,0.18,,
,0.90,60.00,620.5471,0.13 - 0.29,1,1.4E6,-,-,0,620.5466,0.19,3.82E6,-,-,0,620.5470,0.17,2.31E6,-,-,0,620.5475,0.17,2.4E6,-,-,0,620.5473,0.19,2.88E6,0:1.32:0:0.80:0:0.83:0:1.00,1.22E6,2.88E6,0.42:1.00,0.18,,
