Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,LCN8_A00_neg m/z,LCN8_A00_neg RT mean,LCN8_A00_neg Normalized Area,LCN8_A06_neg m/z,LCN8_A06_neg RT mean,LCN8_A06_neg Normalized Area,LCN8_A07_neg m/z,LCN8_A07_neg RT mean,LCN8_A07_neg Normalized Area,LCN8_A08_neg m/z,LCN8_A08_neg RT mean,LCN8_A08_neg Normalized Area,LCN8_A12_neg m/z,LCN8_A12_neg RT mean,LCN8_A12_neg Normalized Area,LCN8_B01_neg m/z,LCN8_B01_neg RT mean,LCN8_B01_neg Normalized Area,LCN8_A09_neg m/z,LCN8_A09_neg RT mean,LCN8_A09_neg Normalized Area,LCN8_A10_neg m/z,LCN8_A10_neg RT mean,LCN8_A10_neg Normalized Area,LCN8_A11_neg m/z,LCN8_A11_neg RT mean,LCN8_A11_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,1.30,3.73,502.6328,0.10 - 0.24,1,1.2E6,502.6330,0.16,1.45E6,-,-,0,502.6328,0.16,1.69E6,502.6327,0.16,1.18E6,502.6328,0.15,1.14E6,502.6323,0.16,1.01E6,502.6323,0.16,1.8E6,502.6329,0.17,6.5E5,502.6335,0.16,1.62E6,1.24:0:1.44:1.00:0.97:0.86:1.53:0.55:1.37,1.08E6,1.35E6,1.00:1.25,0.16,,
,1.26,5.04,306.9190,0.10 - 0.26,1,3E6,306.9191,0.18,4.08E6,-,-,0,306.9190,0.18,1.64E6,306.9192,0.18,4.27E6,306.9192,0.17,4.23E6,-,-,0,306.9188,0.18,4.2E6,306.9190,0.17,4.3E6,306.9191,0.18,4.09E6,0.96:0:0.38:1.00:0.99:0:0.98:1.01:0.96,2.37E6,4.2E6,1.00:1.77,0.18,,
,1.25,3.02,724.8743,15.16 - 20.27,1,8.3E5,724.8744,20.17,7.81E5,724.8743,20.17,9.68E5,724.8746,20.17,8.03E5,724.8738,20.17,8.06E5,724.8739,20.17,8.26E5,724.8742,20.17,8.29E5,724.8740,20.16,8.13E5,724.8746,20.18,9.17E5,724.8746,20.17,7.64E5,0.97:1.20:1.00:1.00:1.03:1.03:1.01:1.14:0.95,8.35E5,8.31E5,1.00:1.00,20.17,,
,1.22,3.83,500.6358,0.10 - 0.24,1,8.8E5,500.6357,0.16,1.11E6,-,-,0,500.6353,0.16,1.16E6,500.6358,0.16,8.84E5,500.6360,0.15,7.99E5,500.6354,0.16,8.28E5,500.6353,0.16,1.39E6,500.6361,0.17,4.68E5,500.6368,0.16,1.23E6,1.26:0:1.31:1.00:0.90:0.94:1.58:0.53:1.39,7.97E5,1.03E6,1.00:1.29,0.16,,
,1.21,3.91,560.5913,0.10 - 0.24,1,1E6,560.5912,0.16,1.28E6,-,-,0,560.5908,0.16,1.38E6,560.5913,0.16,9.77E5,560.5916,0.15,8.4E5,560.5908,0.16,9.43E5,560.5908,0.16,1.62E6,560.5917,0.17,5.77E5,560.5925,0.16,1.37E6,1.31:0:1.41:1.00:0.86:0.96:1.66:0.59:1.40,9.03E5,1.19E6,1.00:1.32,0.16,,
,1.21,13.20,303.1453,0.10 - 0.51,1,4E6,303.1451,0.16,1.45E6,303.1474,0.27,-,303.1452,0.37,5.02E6,303.1447,0.16,3.09E6,303.1449,0.15,7.09E6,303.1450,0.16,1.25E7,-,-,0,-,-,0,303.1451,0.16,2.5E6,0.47:-:1.62:1.00:2.29:4.06:0:0:0.81,5.84E6,8.32E5,1.00:0.14,0.21,,
,1.19,3.25,416.0754,2.40 - 8.59,1,1E6,416.0753,3.68,1.15E6,416.0757,3.59,9.14E5,416.0755,3.68,1.1E6,416.0753,3.67,1.3E6,416.0753,3.69,1.03E6,416.0753,3.68,9.47E5,416.0755,3.68,9.37E5,416.0756,3.70,9.49E5,416.0755,3.70,1.08E6,0.88:0.70:0.84:1.00:0.79:0.73:0.72:0.73:0.83,1.07E6,9.9E5,1.00:0.92,3.67,,
,1.16,3.58,454.0178,0.26 - 0.62,1,4.5E5,454.0186,0.51,2.55E5,-,-,0,454.0173,0.51,8.97E5,454.0177,0.50,3.59E5,454.0172,0.52,6.14E5,454.0175,0.50,4.26E5,454.0182,0.51,5.44E5,454.0182,0.51,6.99E5,454.0179,0.51,2.86E5,0.71:0:2.50:1.00:1.71:1.19:1.52:1.95:0.80,4.25E5,5.09E5,1.00:1.20,0.51,,
,1.16,3.04,782.8339,15.13 - 20.26,1,6.9E5,782.8338,20.14,6.39E5,782.8339,20.14,7.92E5,782.8340,20.15,6.55E5,782.8337,20.14,6.61E5,782.8336,20.14,7.44E5,782.8334,20.14,6.8E5,782.8341,20.13,6.68E5,782.8346,20.13,7.58E5,782.8342,20.14,6.32E5,0.97:1.20:0.99:1.00:1.12:1.03:1.01:1.15:0.96,6.95E5,6.86E5,1.00:0.99,20.14,,
,1.16,3.17,418.0410,0.26 - 0.62,1,4.3E5,418.0410,0.52,2.16E5,-,-,0,418.0410,0.51,8.89E5,418.0412,0.50,3.85E5,418.0409,0.52,5.88E5,418.0408,0.54,4.31E5,418.0411,0.51,4.27E5,418.0411,0.51,6.4E5,418.0408,0.51,2.58E5,0.56:0:2.31:1.00:1.53:1.12:1.11:1.66:0.67,4.18E5,4.42E5,1.00:1.06,0.51,,
,1.14,4.10,558.5942,0.10 - 0.24,1,6.5E5,558.5940,0.16,8.52E5,-,-,0,558.5937,0.16,8.13E5,558.5944,0.16,5.99E5,558.5944,0.15,5.54E5,558.5938,0.16,6.14E5,558.5939,0.16,1.09E6,558.5945,0.17,3.73E5,558.5953,0.16,9.27E5,1.42:0:1.36:1.00:0.92:1.03:1.82:0.62:1.55,5.72E5,7.96E5,1.00:1.39,0.16,,
,1.14,3.22,418.0721,2.38 - 8.59,1,9.6E5,418.0726,3.68,1.06E6,418.0725,3.59,8.36E5,418.0719,3.68,9.8E5,418.0716,3.67,1.2E6,418.0717,3.69,9.48E5,418.0721,3.68,8.73E5,418.0723,3.68,8.67E5,418.0719,3.68,8.73E5,418.0719,3.70,1.01E6,0.88:0.70:0.81:1.00:0.79:0.73:0.72:0.73:0.84,9.83E5,9.15E5,1.00:0.93,3.67,,
,1.14,3.27,446.1035,3.84 - 9.58,1,8.4E5,446.1035,4.55,9.79E5,446.1040,4.58,5.95E5,446.1036,4.55,9.51E5,446.1035,4.55,1.09E6,446.1035,4.57,7.98E5,446.1037,4.57,7.91E5,446.1032,4.56,7.85E5,446.1033,4.57,7.79E5,446.1032,4.57,8.25E5,0.90:0.55:0.87:1.00:0.73:0.73:0.72:0.71:0.76,8.67E5,7.96E5,1.00:0.92,4.57,,
,1.13,3.75,456.0149,0.26 - 0.62,1,4E5,456.0150,0.52,2.27E5,-,-,0,456.0146,0.51,7.82E5,456.0150,0.50,3.09E5,456.0145,0.52,5.29E5,456.0155,0.50,3.53E5,456.0151,0.51,4.93E5,456.0145,0.51,6.45E5,456.0153,0.51,2.51E5,0.73:0:2.53:1.00:1.71:1.14:1.59:2.08:0.81,3.67E5,4.63E5,1.00:1.26,0.51,,
,1.12,3.71,540.7509,0.11 - 0.25,1,5E5,540.7511,0.16,6.72E5,-,-,0,540.7510,0.18,5.82E5,540.7511,0.18,5.7E5,540.7510,0.17,5.82E5,540.7507,0.18,3.8E5,540.7499,0.18,6.65E5,540.7513,0.17,4.1E5,540.7515,0.16,6.62E5,1.18:0:1.02:1.00:1.02:0.67:1.17:0.72:1.16,4.64E5,5.79E5,1.00:1.25,0.17,,
,1.12,4.80,296.8902,0.10 - 0.26,1,1.7E6,296.8902,0.18,2.79E6,-,-,0,296.8900,0.18,1.69E6,296.8902,0.18,1.92E6,296.8902,0.17,1.8E6,-,-,0,296.8898,0.18,3.06E6,296.8906,0.17,1.8E6,296.8907,0.16,1.99E6,1.45:0:0.88:1.00:0.94:0:1.59:0.94:1.03,1.37E6,2.28E6,1.00:1.67,0.17,,
