Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,STARD1_E00_neg m/z,STARD1_E00_neg RT mean,STARD1_E00_neg Normalized Area,STARD1_E04_neg m/z,STARD1_E04_neg RT mean,STARD1_E04_neg Normalized Area,STARD1_E05_neg m/z,STARD1_E05_neg RT mean,STARD1_E05_neg Normalized Area,STARD1_E08_neg m/z,STARD1_E08_neg RT mean,STARD1_E08_neg Normalized Area,STARD1_E09_neg m/z,STARD1_E09_neg RT mean,STARD1_E09_neg Normalized Area,STARD1_E10_neg m/z,STARD1_E10_neg RT mean,STARD1_E10_neg Normalized Area,STARD1_E11_neg m/z,STARD1_E11_neg RT mean,STARD1_E11_neg Normalized Area,STARD1_E12_neg m/z,STARD1_E12_neg RT mean,STARD1_E12_neg Normalized Area,STARD1_E06_neg m/z,STARD1_E06_neg RT mean,STARD1_E06_neg Normalized Area,STARD1_E07_neg m/z,STARD1_E07_neg RT mean,STARD1_E07_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,1.31,5.16,724.8738,15.15 - 20.26,1,1.2E6,724.8738,20.17,1.01E6,724.8737,20.17,1.47E6,724.8739,20.18,1.03E6,724.8740,20.16,1.13E6,724.8734,20.17,1.11E6,724.8740,20.16,1.39E6,724.8739,20.16,1.05E6,724.8738,20.17,1.5E6,724.8737,20.16,9.17E5,724.8738,20.15,1.03E6,0.68:1.00:0.70:0.77:0.76:0.94:0.72:1.02:0.62:0.70,1.21E6,9.73E5,1.00:0.80,20.17,,
,1.22,5.03,782.8333,15.11 - 20.25,1,1E6,782.8335,20.13,9.13E5,782.8335,20.13,1.39E6,782.8333,20.14,9.02E5,782.8331,20.15,1.02E6,782.8328,20.13,9.75E5,782.8336,20.12,1.26E6,782.8334,20.11,9.82E5,782.8334,20.12,1.24E6,782.8329,20.14,8.28E5,782.8337,20.12,9.36E5,0.66:1.00:0.65:0.73:0.70:0.90:0.71:0.89:0.59:0.67,1.09E6,8.82E5,1.00:0.81,20.13,,
,1.22,5.14,792.8612,15.16 - 20.26,1,6.9E5,792.8616,20.17,6.03E5,792.8612,20.17,8.74E5,792.8616,20.18,6.14E5,792.8611,20.16,6.7E5,792.8604,20.17,6.4E5,792.8612,20.16,8.29E5,792.8616,20.16,6.33E5,792.8614,20.17,9.08E5,792.8613,20.16,5.44E5,792.8610,20.18,6.17E5,0.69:1.00:0.70:0.77:0.73:0.95:0.72:1.04:0.62:0.71,7.21E5,5.8E5,1.00:0.80,20.17,,
,1.07,5.93,293.1760,0.01 - 5.14,1,8.8E6,293.1758,0.16,2.09E7,-,-,0,293.1762,0.49,1.54E7,293.1761,0.16,5.17E6,293.1756,0.15,1.45E7,293.1757,0.14,3.88E6,293.1756,0.14,5.84E6,293.1774,0.14,6.36E5,293.1765,0.15,1.34E7,293.1754,0.15,8.67E6,1.00:0:0.74:0.25:0.69:0.19:0.28:0.03:0.64:0.41,8.3E6,1.1E7,1.00:1.33,0.19,,
,1.05,19.25,306.9188,0.10 - 0.25,1,2.1E6,306.9188,0.18,4.39E6,-,-,0,-,-,0,306.9189,0.18,4.15E6,306.9189,0.17,1.56E6,-,-,0,306.9189,0.16,2.32E6,-,-,0,306.9188,0.17,4.03E6,306.9189,0.17,4.15E6,1.00:0:0:0.94:0.35:0:0.53:0:0.92:0.94,1.55E6,4.09E6,1.00:2.64,0.17,,
,1.04,4.84,584.8154,16.46 - 20.19,1,1.7E5,584.8153,18.78,1.45E5,584.8154,18.73,1.97E5,584.8160,18.61,1.52E5,584.8145,18.66,1.66E5,584.8153,18.76,1.49E5,584.8160,18.59,2.08E5,584.8154,18.59,1.6E5,584.8155,18.80,1.96E5,584.8152,18.70,1.3E5,584.8149,18.57,1.53E5,0.74:1.00:0.77:0.84:0.75:1.06:0.81:1.00:0.66:0.78,1.72E5,1.42E5,1.00:0.83,18.68,,
,1.03,14.35,329.1522,0.10 - 0.53,1,1.5E6,329.1522,0.14,3.53E6,-,-,0,329.1519,0.16,1.96E6,329.1526,0.16,1.05E6,329.1521,0.15,2.15E6,329.1520,0.14,2.14E5,329.1517,0.14,8.59E5,-,-,0,329.1530,0.15,2.77E6,329.1523,0.15,2.49E6,1.00:0:0.56:0.30:0.61:0.06:0.24:0:0.78:0.71,1.22E6,2.63E6,1.00:2.15,0.15,,
,1.00,3.89,446.1033,3.74 - 9.55,1,4.4E5,446.1026,4.54,5.07E5,446.1039,4.55,3.03E5,446.1032,4.56,4.9E5,446.1032,4.56,5.3E5,446.1030,4.54,4.68E5,446.1033,4.55,4.2E5,446.1033,4.57,5.03E5,446.1040,4.04,2.6E5,446.1033,4.55,4.1E5,446.1033,4.55,5.51E5,1.67:1.00:1.62:1.75:1.55:1.39:1.66:0.86:1.36:1.82,4.35E5,4.81E5,1.00:1.11,4.50,,
,0.99,3.27,303.1452,0.10 - 0.49,1,3.1E6,-,-,0,303.1475,0.29,-,303.1448,0.38,5.17E5,303.1452,0.16,3.94E6,303.1446,0.15,2.97E6,303.1452,0.38,4.61E5,303.1449,0.17,1.4E7,-,-,0,303.1450,0.15,3.22E6,303.1444,0.15,2.83E6,0:-:1.00:7.62:5.76:0.89:27.04:0:6.22:5.48,3.12E6,3.02E6,1.00:0.97,0.23,,
,0.98,3.79,416.0750,2.19 - 8.69,1,5.6E5,416.0749,3.69,6.03E5,416.0752,3.63,4.38E5,416.0750,3.67,6.16E5,416.0749,3.67,6.82E5,416.0748,3.67,5.83E5,416.0750,3.68,5.75E5,416.0750,3.67,6.87E5,416.0760,3.69,2.46E5,416.0748,3.68,5.3E5,416.0750,3.67,6.81E5,1.38:1.00:1.41:1.56:1.33:1.31:1.57:0.56:1.21:1.56,5.54E5,6.05E5,1.00:1.09,3.67,,
