Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,STARD6_C00_neg m/z,STARD6_C00_neg RT mean,STARD6_C00_neg Normalized Area,STARD6_C05_neg m/z,STARD6_C05_neg RT mean,STARD6_C05_neg Normalized Area,STARD6_C06_neg m/z,STARD6_C06_neg RT mean,STARD6_C06_neg Normalized Area,STARD6_C07_neg m/z,STARD6_C07_neg RT mean,STARD6_C07_neg Normalized Area,STARD6_C11_neg m/z,STARD6_C11_neg RT mean,STARD6_C11_neg Normalized Area,STARD6_C12_neg m/z,STARD6_C12_neg RT mean,STARD6_C12_neg Normalized Area,STARD6_C08_neg m/z,STARD6_C08_neg RT mean,STARD6_C08_neg Normalized Area,STARD6_C09_neg m/z,STARD6_C09_neg RT mean,STARD6_C09_neg Normalized Area,STARD6_C10_neg m/z,STARD6_C10_neg RT mean,STARD6_C10_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,1.06,4.80,502.6318,0.10 - 0.25,1,1.5E6,-,-,0,-,-,0,502.6309,0.15,1.78E6,502.6321,0.17,1.89E6,502.6316,0.18,3.13E6,502.6323,0.17,1.59E6,502.6320,0.16,1.13E6,502.6321,0.16,2.66E6,502.6319,0.15,1.32E6,0:0:1.00:1.07:1.76:0.89:0.64:1.50:0.74,1.4E6,1.7E6,1.00:1.22,0.16,,
,1.04,4.40,384.1608,2.80 - 4.04,1,2.4E5,384.1609,3.71,2.33E5,384.1604,3.70,2.68E5,384.1608,3.69,2.38E5,384.1609,3.70,2.45E5,384.1609,3.72,1.9E5,384.1606,3.71,3.16E5,384.1610,3.70,2.29E5,384.1610,3.71,1.98E5,384.1609,3.72,2.09E5,0.98:1.13:1.00:1.03:0.80:1.33:0.96:0.83:0.88,2.48E5,2.12E5,1.00:0.85,3.71,,
,1.03,3.10,636.8288,15.77 - 20.24,1,2.3E5,636.8293,19.39,2.66E5,636.8284,20.09,2.61E5,636.8285,20.10,2.24E5,636.8289,20.09,2.29E5,636.8291,20.09,2.09E5,636.8287,20.09,2.15E5,636.8290,20.09,2.5E5,636.8290,20.09,2.09E5,636.8285,19.39,2.35E5,1.18:1.16:1.00:1.02:0.93:0.96:1.12:0.93:1.05,2.34E5,2.31E5,1.00:0.99,19.93,,
,1.03,5.49,383.1896,3.97 - 4.77,1,2.3E5,383.1897,4.61,2.82E5,383.1893,4.59,2.43E5,383.1895,4.59,2.21E5,383.1897,4.60,2.32E5,383.1897,4.61,1.87E5,383.1897,4.61,3.35E5,383.1898,4.60,2E5,383.1898,4.61,1.82E5,383.1896,4.61,1.97E5,1.27:1.10:1.00:1.05:0.85:1.51:0.90:0.82:0.89,2.5E5,1.93E5,1.00:0.77,4.60,,
,1.01,5.60,658.6643,0.11 - 0.23,1,2.7E5,-,-,0,658.6633,0.18,1.82E5,658.6641,0.17,3.47E5,658.6639,0.18,2.26E5,658.6642,0.18,4.75E5,658.6649,0.18,2.33E5,658.6646,0.18,2.52E5,658.6644,0.18,4.09E5,658.6650,0.17,2.96E5,0:0.52:1.00:0.65:1.37:0.67:0.73:1.18:0.85,2.44E5,3.19E5,1.00:1.31,0.18,,
,1.01,4.15,309.1702,0.10 - 0.59,1,1.3E6,309.1703,0.17,3.14E5,309.1696,0.18,1.48E5,309.1696,0.15,3.13E6,309.1704,0.15,1.37E6,309.1703,0.16,1.04E6,309.1702,0.15,2.05E6,309.1705,0.16,6.13E5,309.1706,0.16,1.23E6,309.1704,0.15,1.68E6,0.10:0.05:1.00:0.44:0.33:0.65:0.20:0.39:0.54,1.34E6,1.17E6,1.00:0.88,0.16,,
,0.99,3.93,412.1922,3.95 - 4.85,1,1.5E5,412.1923,4.61,1.7E5,412.1918,4.59,1.63E5,412.1921,4.59,1.58E5,412.1923,4.60,1.58E5,412.1923,4.61,1.3E5,412.1924,4.61,1.53E5,412.1924,4.60,1.51E5,412.1924,4.61,1.3E5,412.1921,4.61,1.36E5,1.08:1.03:1.00:1.00:0.82:0.97:0.96:0.82:0.86,1.55E5,1.39E5,1.00:0.90,4.60,,
,0.97,4.81,428.1867,3.97 - 4.78,1,1.4E5,428.1866,4.61,1.75E5,428.1867,4.59,1.71E5,428.1865,4.59,1.47E5,428.1866,4.60,1.5E5,428.1866,4.61,1.24E5,428.1867,4.61,1.52E5,428.1867,4.60,1.34E5,428.1873,4.61,1.19E5,428.1870,4.61,1.24E5,1.19:1.17:1.00:1.02:0.85:1.04:0.92:0.81:0.84,1.53E5,1.26E5,1.00:0.82,4.60,,
,0.95,3.61,325.1839,0.10 - 5.17,1,1.1E6,325.1839,0.17,1.16E6,-,-,-,325.1835,0.15,9.15E5,325.1841,0.17,8.81E5,325.1840,0.18,1.15E6,325.1840,0.17,1.1E6,325.1840,0.16,1.15E6,325.1839,0.16,1.12E6,325.1843,0.17,1.09E6,1.27:-:1.00:0.96:1.25:1.20:1.26:1.23:1.19,1.04E6,1.12E6,1.00:1.08,0.17,,
,0.95,3.12,714.8451,15.79 - 20.26,1,2.3E5,714.8448,20.15,2.72E5,714.8444,20.14,2.58E5,-,-,-,714.8450,20.14,2.2E5,714.8448,20.15,2.06E5,714.8457,20.14,2.11E5,714.8450,20.14,2.51E5,714.8455,20.15,2.05E5,714.8452,20.13,2.32E5,1.00:0.95:-:0.81:0.76:0.77:0.92:0.75:0.85,2.33E5,2.3E5,1.00:0.98,20.14,,
,0.94,3.39,578.8701,15.59 - 20.26,1,3.9E5,578.8701,20.14,4.48E5,578.8698,20.14,4.46E5,578.8698,20.13,3.83E5,578.8702,20.12,3.86E5,578.8701,20.13,3.57E5,578.8704,19.43,3.71E5,-,-,-,578.8701,20.13,3.59E5,578.8700,20.13,4E5,1.17:1.16:1.00:1.01:0.93:0.97:-:0.94:1.05,3.99E5,3.8E5,1.00:0.95,20.04,,
,0.93,6.75,326.2335,1.43 - 2.80,1,5.3E4,326.2334,2.59,5.99E4,326.2333,2.58,3.02E4,326.2333,2.58,3.24E4,326.2336,2.58,5.47E4,326.2336,2.60,3.86E4,326.2334,2.59,6.21E4,326.2336,2.58,5.22E4,326.2341,2.60,7.78E4,326.2335,2.60,6.93E4,1.85:0.93:1.00:1.69:1.19:1.92:1.61:2.40:2.14,4.63E4,6.64E4,1.00:1.43,2.59,,
,0.93,3.02,672.8597,18.78 - 20.27,1,3.5E4,672.8597,20.18,4.05E4,672.8584,20.19,3.77E4,672.8597,20.18,3.53E4,672.8601,20.18,3.34E4,672.8598,20.18,3.22E4,672.8596,20.17,3.21E4,672.8602,20.18,3.78E4,672.8602,20.18,3.21E4,672.8595,20.18,3.59E4,1.15:1.07:1.00:0.95:0.91:0.91:1.07:0.91:1.02,3.52E4,3.53E4,1.00:1.00,20.18,,
,0.92,4.98,374.1318,2.89 - 3.95,1,5.4E4,374.1320,3.72,5.29E4,374.1313,3.70,5.98E4,374.1318,3.71,5.22E4,374.1318,3.70,5.7E4,374.1319,3.72,4.48E4,374.1319,3.71,8.2E4,374.1322,3.70,5E4,374.1318,3.73,4.42E4,374.1318,3.72,4.66E4,1.01:1.14:1.00:1.09:0.86:1.57:0.96:0.85:0.89,5.81E4,4.69E4,1.00:0.81,3.71,,
,0.92,4.43,402.1634,3.95 - 4.83,1,4.8E4,402.1634,4.61,5.61E4,402.1630,4.59,5.48E4,402.1633,4.60,4.93E4,402.1634,4.58,4.97E4,402.1635,4.61,4.14E4,402.1635,4.61,5.13E4,402.1635,4.61,4.4E4,402.1635,4.60,4.16E4,402.1633,4.61,4.32E4,1.14:1.11:1.00:1.01:0.84:1.04:0.89:0.84:0.88,5.04E4,4.29E4,1.00:0.85,4.60,,
,0.92,3.52,795.2739,2.32 - 3.75,1,1.3E5,795.2743,3.03,4.88E4,795.2736,3.01,1.15E5,795.2736,3.00,1.94E5,795.2738,3.02,1.29E5,795.2738,3.02,1.54E5,795.2740,3.02,1.66E5,795.2741,3.01,1.58E5,795.2740,3.03,9.34E4,795.2737,3.01,1.28E5,0.25:0.59:1.00:0.67:0.79:0.86:0.81:0.48:0.66,1.35E5,1.26E5,1.00:0.94,3.01,,
,0.92,4.55,523.0034,2.94 - 4.07,1,4.1E4,523.0034,3.72,4.01E4,523.0029,3.70,3.97E4,523.0032,3.71,3.68E4,523.0036,3.70,4.31E4,523.0035,3.72,3.7E4,523.0033,3.71,6.13E4,523.0035,3.70,3.7E4,523.0035,3.73,3.65E4,523.0032,3.72,3.5E4,1.09:1.08:1.00:1.17:1.00:1.67:1.01:0.99:0.95,4.3E4,3.62E4,1.00:0.84,3.71,,
,0.91,3.04,442.8932,0.11 - 0.25,1,4.5E5,-,-,-,442.8922,0.18,2.66E5,442.8928,0.19,5.83E5,442.8936,0.18,4.54E5,442.8931,0.19,4.8E5,442.8936,0.18,4.68E5,442.8936,0.18,3.46E5,442.8933,0.18,3.95E5,442.8936,0.17,6.04E5,-:0.46:1.00:0.78:0.82:0.80:0.59:0.68:1.04,4.5E5,4.48E5,1.00:1.00,0.18,,
,0.91,6.97,328.0982,0.45 - 2.06,1,9.7E4,328.0983,1.95,1.81E4,328.0980,1.94,9.45E4,328.0979,1.94,2.64E5,328.0983,1.94,1.45E5,328.0984,1.96,3.87E4,328.0984,1.95,9.32E4,328.0983,1.95,2.75E4,328.0983,1.95,4.48E4,328.0979,1.95,1.52E5,0.07:0.36:1.00:0.55:0.15:0.35:0.10:0.17:0.57,1.09E5,7.47E4,1.00:0.69,1.95,,
,0.90,4.80,542.1642,3.97 - 4.83,1,6.3E4,542.1644,4.61,7.56E4,542.1632,4.59,7.02E4,542.1637,4.59,6.76E4,542.1645,4.60,6.62E4,542.1646,4.61,5.51E4,542.1647,4.62,6.69E4,542.1647,4.60,5.81E4,542.1639,4.60,5.14E4,542.1644,4.61,5.54E4,1.12:1.04:1.00:0.98:0.81:0.99:0.86:0.76:0.82,6.69E4,5.5E4,1.00:0.82,4.60,,
,0.90,4.06,553.0319,3.96 - 4.86,1,4.2E4,553.0319,4.59,4.88E4,553.0314,4.59,4.28E4,553.0316,4.60,4.21E4,553.0319,4.58,4.43E4,553.0320,4.61,3.72E4,553.0321,4.61,4.69E4,553.0320,4.61,3.67E4,553.0321,4.60,3.97E4,553.0317,4.61,3.95E4,1.16:1.02:1.00:1.05:0.88:1.11:0.87:0.94:0.94,4.37E4,3.86E4,1.00:0.88,4.60,,
,0.89,4.04,551.0347,3.95 - 4.89,1,4.5E4,551.0344,4.59,5.29E4,551.0339,4.59,4.54E4,551.0342,4.60,4.51E4,551.0352,4.58,4.87E4,551.0347,4.61,4.07E4,551.0348,4.61,4.97E4,551.0354,4.61,4.01E4,551.0345,4.59,4.22E4,551.0352,4.61,4.28E4,1.17:1.01:1.00:1.08:0.90:1.10:0.89:0.94:0.95,4.71E4,4.17E4,1.00:0.89,4.60,,
,0.89,3.12,600.7057,0.11 - 0.23,1,3.5E5,-,-,-,600.7042,0.18,2.39E5,600.7059,0.17,4.18E5,600.7059,0.18,3.45E5,600.7053,0.17,4.92E5,600.7058,0.18,2.84E5,600.7059,0.18,2.62E5,600.7061,0.18,4.48E5,600.7065,0.17,3.42E5,-:0.57:1.00:0.82:1.18:0.68:0.63:1.07:0.82,3.56E5,3.51E5,1.00:0.99,0.18,,
,0.89,4.92,526.1694,3.99 - 4.78,1,4E4,526.1697,4.61,4.85E4,526.1691,4.59,4.73E4,526.1688,4.59,4.33E4,526.1697,4.60,4.14E4,526.1691,4.61,3.42E4,526.1697,4.62,4.22E4,526.1698,4.58,3.72E4,526.1699,4.61,3.3E4,526.1693,4.61,3.41E4,1.12:1.09:1.00:0.96:0.79:0.98:0.86:0.76:0.79,4.28E4,3.48E4,1.00:0.81,4.60,,
,0.89,19.03,434.3044,0.18 - 3.10,1,1E5,434.3047,2.99,3.01E4,434.3043,2.98,4.14E4,434.3043,2.97,3.62E4,434.3045,2.98,1.49E5,434.3045,3.00,4.81E4,434.3040,2.98,7.47E4,434.3041,2.97,1.34E5,434.3044,2.99,2.98E5,434.3044,2.99,8.91E4,0.83:1.14:1.00:4.12:1.33:2.06:3.69:8.22:2.46,6.33E4,1.74E5,1.00:2.74,2.98,,
,0.89,3.73,604.8720,16.34 - 20.28,1,4.7E4,604.8727,20.18,5.9E4,604.8713,20.19,4.41E4,604.8724,20.19,4.13E4,604.8721,20.18,4.55E4,604.8721,20.18,3.67E4,604.8719,20.18,4.63E4,604.8721,20.18,5.96E4,604.8721,20.18,3.83E4,604.8717,20.18,5.09E4,1.43:1.07:1.00:1.10:0.89:1.12:1.44:0.93:1.23,4.55E4,4.96E4,1.00:1.09,20.18,,
,0.88,3.28,986.7951,18.88 - 20.25,1,2.5E4,986.7959,20.15,2.9E4,986.7947,20.16,2.37E4,986.7947,20.15,2.33E4,986.7946,20.15,2.32E4,986.7949,20.15,2.25E4,986.7942,20.16,2.39E4,986.7950,20.15,2.57E4,986.7958,20.16,2.35E4,986.7959,20.15,2.6E4,1.24:1.02:1.00:0.99:0.96:1.02:1.10:1.01:1.12,2.43E4,2.51E4,1.00:1.03,20.15,,
,0.86,4.72,533.0322,2.91 - 4.02,1,3.4E4,533.0323,3.71,3.32E4,533.0317,3.70,3.38E4,533.0319,3.71,3.19E4,533.0323,3.70,3.66E4,533.0322,3.72,3.1E4,533.0320,3.71,5.26E4,533.0325,3.70,3.17E4,533.0325,3.73,2.95E4,533.0321,3.72,2.95E4,1.04:1.06:1.00:1.15:0.97:1.65:0.99:0.92:0.92,3.65E4,3.02E4,1.00:0.83,3.71,,
,0.86,3.08,564.3443,4.23 - 5.39,1,6.6E4,564.3444,5.22,1.73E4,564.3439,5.21,4.66E4,564.3440,5.21,1.07E5,564.3451,5.22,7.59E4,564.3443,5.23,7.06E4,564.3444,5.22,7.71E4,564.3444,5.22,7.7E4,564.3444,5.22,4.87E4,564.3442,5.23,7.34E4,0.16:0.44:1.00:0.71:0.66:0.72:0.72:0.46:0.69,6.57E4,6.64E4,1.00:1.01,5.22,,
,0.85,4.23,561.0633,3.95 - 4.87,1,3.4E4,561.0632,4.61,4.01E4,561.0625,4.59,3.54E4,561.0627,4.60,3.5E4,561.0640,4.58,3.71E4,561.0632,4.61,3.04E4,561.0641,4.61,3.82E4,561.0635,4.60,3.1E4,561.0634,4.61,3.08E4,561.0630,4.61,3.2E4,1.15:1.01:1.00:1.06:0.87:1.09:0.89:0.88:0.92,3.6E4,3.13E4,1.00:0.87,4.60,,
,0.85,4.66,525.0003,2.95 - 4.04,1,3.8E4,525.0000,3.72,3.75E4,524.9994,3.70,3.78E4,525.0003,3.71,3.48E4,525.0008,3.70,4.02E4,525.0008,3.72,3.46E4,525.0004,3.71,5.78E4,525.0002,3.70,3.5E4,525.0002,3.73,3.3E4,525.0005,3.72,3.26E4,1.08:1.09:1.00:1.16:0.99:1.66:1.01:0.95:0.94,4.05E4,3.35E4,1.00:0.83,3.71,,
,0.85,4.05,574.1777,3.95 - 4.86,1,3.3E4,574.1774,4.59,4.43E4,574.1772,4.59,3.13E4,574.1774,4.59,3.23E4,574.1785,4.60,3.57E4,574.1776,4.60,2.91E4,574.1778,4.61,3.38E4,574.1783,4.60,2.96E4,574.1778,4.61,2.91E4,574.1772,4.61,3.24E4,1.37:0.97:1.00:1.11:0.90:1.05:0.92:0.90:1.00,3.44E4,3.04E4,1.00:0.88,4.60,,
,0.85,3.98,563.0605,3.95 - 4.83,1,2E4,563.0608,4.59,2.29E4,563.0595,4.59,2.07E4,563.0602,4.60,2.06E4,563.0605,4.60,2.15E4,563.0607,4.61,1.72E4,563.0610,4.61,2.27E4,563.0607,4.61,1.84E4,563.0605,4.60,1.85E4,563.0603,4.62,1.9E4,1.11:1.01:1.00:1.05:0.84:1.10:0.89:0.90:0.92,2.09E4,1.86E4,1.00:0.89,4.60,,
,0.85,4.83,283.2640,3.97 - 4.87,1,6.2E4,283.2640,4.61,7.93E4,283.2637,4.59,6.39E4,283.2639,4.59,6.08E4,283.2640,4.60,6.74E4,283.2640,4.61,5.35E4,283.2641,4.61,7.07E4,283.2641,4.60,5.64E4,283.2641,4.61,5.08E4,283.2639,4.61,5.43E4,1.30:1.05:1.00:1.11:0.88:1.16:0.93:0.84:0.89,6.59E4,5.38E4,1.00:0.82,4.60,,
,0.83,4.19,687.5799,15.44 - 16.50,1,3.6E4,687.5797,15.99,5.72E4,687.5796,15.96,5.64E4,687.5805,16.00,2.04E4,687.5798,16.02,1.81E4,687.5800,16.01,4.51E4,687.5803,16.00,2.77E4,687.5798,15.97,5.24E4,687.5801,16.01,1.91E4,687.5795,16.00,2.64E4,2.80:2.76:1.00:0.89:2.21:1.36:2.57:0.93:1.29,3.75E4,3.26E4,1.00:0.87,16.00,,
,0.83,6.24,487.3050,0.10 - 0.29,1,2.5E5,487.3051,0.17,3.08E4,487.3036,0.18,1.61E5,487.3049,0.17,3.45E5,487.3052,0.17,3.16E5,-,-,-,487.3051,0.17,2.27E5,487.3051,0.18,3.03E5,487.3053,0.16,3.41E5,487.3056,0.17,2.56E5,0.09:0.47:1.00:0.92:-:0.66:0.88:0.99:0.74,2.16E5,3E5,1.00:1.39,0.17,,
,0.83,4.79,535.0290,2.94 - 3.98,1,1.9E4,535.0292,3.72,1.91E4,535.0281,3.70,1.93E4,535.0289,3.71,1.72E4,535.0292,3.70,2.08E4,535.0292,3.72,1.68E4,535.0292,3.71,2.92E4,535.0293,3.70,1.78E4,535.0292,3.73,1.6E4,535.0289,3.72,1.64E4,1.11:1.12:1.00:1.21:0.97:1.70:1.03:0.93:0.95,2.04E4,1.67E4,1.00:0.82,3.71,,
,0.82,4.82,361.1629,0.11 - 0.25,1,3.2E5,361.1629,0.17,1.41E5,-,-,0,361.1629,0.17,7.32E5,361.1629,0.17,2.23E5,361.1629,0.18,1.47E5,361.1631,0.17,7.82E5,-,-,0,361.1624,0.16,1.58E5,361.1629,0.17,6.69E5,0.19:0:1.00:0.30:0.20:1.07:0:0.22:0.91,3.37E5,2.76E5,1.00:0.82,0.17,,
,0.82,3.05,702.8776,18.60 - 20.28,1,1.6E4,702.8770,20.19,2.01E4,702.8770,20.20,1.56E4,702.8775,20.19,1.47E4,702.8779,20.19,1.5E4,702.8785,20.19,1.56E4,702.8768,20.19,1.62E4,702.8779,20.19,1.72E4,702.8778,20.20,1.45E4,702.8777,20.21,1.65E4,1.37:1.06:1.00:1.02:1.06:1.10:1.17:0.99:1.12,1.62E4,1.61E4,1.00:0.99,20.19,,
,0.81,6.25,549.2978,5.26 - 6.79,1,3.5E4,549.2977,5.60,3.65E4,549.2971,5.60,4.13E4,549.2980,5.56,3.99E4,549.2982,5.58,2.97E4,549.2983,5.60,1.72E4,549.2979,5.60,6.94E4,549.2978,5.60,2.11E4,549.2975,5.62,3.79E4,549.2981,5.61,2.54E4,0.91:1.03:1.00:0.74:0.43:1.74:0.53:0.95:0.64,3.9E4,2.81E4,1.00:0.72,5.60,,
,0.81,7.11,356.1299,1.66 - 3.10,1,2.3E4,356.1301,2.89,1.59E4,356.1297,2.88,2.25E4,356.1299,2.88,2.49E4,356.1299,2.87,2.55E4,356.1299,2.90,1.73E4,356.1299,2.89,4.89E4,356.1299,2.89,1.81E4,356.1299,2.89,1.29E4,356.1299,2.90,2.14E4,0.64:0.90:1.00:1.02:0.70:1.97:0.72:0.52:0.86,2.58E4,1.74E4,1.00:0.68,2.89,,
,0.81,5.13,657.0387,2.86 - 3.93,1,1.6E4,657.0386,3.72,1.8E4,657.0383,3.70,1.61E4,657.0380,3.69,1.42E4,657.0391,3.70,1.74E4,657.0393,3.72,1.29E4,657.0391,3.71,2.62E4,657.0389,3.70,1.4E4,657.0383,3.71,1.32E4,657.0385,3.72,1.44E4,1.26:1.13:1.00:1.23:0.91:1.84:0.99:0.93:1.01,1.75E4,1.39E4,1.00:0.79,3.71,,
,0.80,4.64,555.0281,3.98 - 4.81,1,1.2E4,555.0282,4.61,1.43E4,555.0277,4.59,1.3E4,555.0277,4.59,1.2E4,555.0285,4.58,1.32E4,555.0282,4.61,1.09E4,555.0283,4.61,1.34E4,555.0283,4.60,1.03E4,555.0282,4.60,1.09E4,555.0280,4.62,1.08E4,1.19:1.08:1.00:1.11:0.91:1.12:0.86:0.91:0.90,1.28E4,1.06E4,1.00:0.83,4.60,,
,0.80,4.91,546.1465,2.89 - 4.33,1,3.5E4,546.1468,3.72,3.86E4,546.1464,3.70,3.09E4,546.1461,3.71,3.35E4,546.1465,3.70,4.09E4,546.1464,3.72,3.13E4,546.1463,3.71,4.86E4,546.1470,3.70,2.87E4,546.1469,3.71,2.97E4,546.1465,3.72,3.21E4,1.15:0.92:1.00:1.22:0.93:1.45:0.86:0.89:0.96,3.73E4,3.02E4,1.00:0.81,3.71,,
,0.80,4.26,502.1560,3.99 - 5.58,1,2.7E4,502.1560,4.60,3.78E4,502.1550,4.59,3.69E4,502.1559,4.57,2.35E4,502.1564,4.60,2.31E4,502.1563,4.60,2.83E4,502.1560,4.62,2.3E4,502.1560,4.60,3.12E4,502.1565,4.60,2.01E4,502.1563,4.62,2.32E4,1.61:1.57:1.00:0.99:1.20:0.98:1.33:0.86:0.99,2.88E4,2.48E4,1.00:0.86,4.60,,
,0.79,5.51,571.0922,3.95 - 4.80,1,2E4,571.0920,4.61,2.58E4,571.0915,4.59,2.26E4,571.0922,4.59,1.95E4,571.0931,4.60,2.33E4,571.0917,4.61,1.82E4,571.0922,4.62,2.37E4,571.0924,4.60,1.91E4,571.0923,4.60,1.61E4,571.0925,4.61,1.59E4,1.33:1.16:1.00:1.20:0.93:1.21:0.98:0.82:0.82,2.22E4,1.7E4,1.00:0.77,4.60,,
,0.79,10.48,609.5585,10.97 - 11.61,1,4.1E4,609.5587,11.27,2.78E4,609.5585,11.25,2.76E4,609.5582,11.23,3.77E4,609.5585,11.23,2.66E4,609.5585,11.28,1.45E4,609.5587,11.28,5.77E4,609.5588,11.24,8.11E4,609.5586,11.28,3.99E4,609.5577,11.29,5.6E4,0.74:0.73:1.00:0.70:0.38:1.53:2.15:1.06:1.48,3.2E4,5.9E4,1.00:1.84,11.26,,
