Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,STARD6_C00_neg m/z,STARD6_C00_neg RT mean,STARD6_C00_neg Normalized Area,STARD6_C05_neg m/z,STARD6_C05_neg RT mean,STARD6_C05_neg Normalized Area,STARD6_C06_neg m/z,STARD6_C06_neg RT mean,STARD6_C06_neg Normalized Area,STARD6_C07_neg m/z,STARD6_C07_neg RT mean,STARD6_C07_neg Normalized Area,STARD6_C11_neg m/z,STARD6_C11_neg RT mean,STARD6_C11_neg Normalized Area,STARD6_C12_neg m/z,STARD6_C12_neg RT mean,STARD6_C12_neg Normalized Area,STARD6_C08_neg m/z,STARD6_C08_neg RT mean,STARD6_C08_neg Normalized Area,STARD6_C09_neg m/z,STARD6_C09_neg RT mean,STARD6_C09_neg Normalized Area,STARD6_C10_neg m/z,STARD6_C10_neg RT mean,STARD6_C10_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,1.45,3.47,306.9186,0.10 - 0.27,1,1.2E6,306.9188,0.17,1.09E6,306.9178,0.18,9.48E5,306.9182,0.19,1.44E6,306.9187,0.18,1.36E6,306.9186,0.19,1.21E6,306.9188,0.18,1.11E6,306.9188,0.18,1.21E6,306.9186,0.18,1.25E6,306.9187,0.17,1.34E6,0.75:0.66:1.00:0.94:0.84:0.77:0.84:0.86:0.93,1.19E6,1.26E6,1.00:1.06,0.18,,
,1.28,3.10,510.8820,15.19 - 20.26,1,4.6E5,510.8820,20.14,5.18E5,510.8814,20.14,5.12E5,510.8824,20.13,4.41E5,510.8826,20.12,4.44E5,510.8821,20.12,4.07E5,510.8820,20.14,4.24E5,510.8820,20.12,4.86E5,510.8819,20.13,4.09E5,510.8817,20.13,4.61E5,1.18:1.16:1.00:1.01:0.92:0.96:1.10:0.93:1.05,4.58E5,4.52E5,1.00:0.99,20.13,,
,1.26,3.08,646.8573,15.58 - 20.26,1,3.1E5,646.8571,20.15,3.47E5,646.8572,20.14,3.41E5,646.8575,20.15,2.96E5,646.8572,20.14,2.95E5,646.8571,20.15,2.75E5,646.8572,20.14,2.84E5,646.8572,20.14,3.26E5,646.8578,20.15,2.75E5,646.8578,20.13,3.09E5,1.17:1.15:1.00:1.00:0.93:0.96:1.10:0.93:1.04,3.06E5,3.03E5,1.00:0.99,20.14,,
,1.25,4.56,355.1579,2.97 - 3.91,1,4.9E5,355.1581,3.71,5.4E5,355.1576,3.70,5.32E5,355.1578,3.69,4.61E5,355.1580,3.70,4.8E5,355.1580,3.72,4.12E5,355.1578,3.71,6.65E5,355.1581,3.70,4.67E5,355.1581,3.71,3.92E5,355.1580,3.72,4.39E5,1.17:1.15:1.00:1.04:0.89:1.44:1.01:0.85:0.95,5.15E5,4.33E5,1.00:0.84,3.71,,
,1.24,3.24,329.1520,0.11 - 0.25,1,1.5E6,329.1522,0.17,5.71E4,-,-,0,329.1517,0.15,2.94E6,329.1520,0.15,1.07E6,329.1519,0.16,1.64E6,329.1518,0.15,2.96E6,329.1522,0.16,1.09E5,329.1522,0.16,2.07E6,329.1519,0.15,2.28E6,0.02:0:1.00:0.37:0.56:1.01:0.04:0.71:0.78,1.44E6,1.49E6,1.00:1.03,0.16,,
,1.19,3.19,296.8898,0.11 - 0.25,1,1.4E6,296.8898,0.17,9.7E5,-,-,-,296.8898,0.17,1.39E6,296.8898,0.18,1.55E6,296.8898,0.18,1.64E6,296.8898,0.18,1.31E6,296.8898,0.18,1.3E6,296.8896,0.18,1.42E6,296.8898,0.17,1.49E6,0.70:-:1.00:1.12:1.19:0.95:0.94:1.03:1.07,1.37E6,1.4E6,1.00:1.02,0.18,,
,1.19,3.03,704.8167,15.55 - 20.24,1,2E5,704.8170,20.09,2.22E5,704.8160,20.11,2.19E5,704.8168,20.10,1.86E5,704.8173,20.10,1.91E5,704.8164,20.09,1.75E5,704.8166,20.10,1.81E5,704.8166,20.11,2.09E5,704.8173,20.10,1.76E5,704.8168,20.09,2E5,1.19:1.18:1.00:1.03:0.94:0.97:1.12:0.95:1.07,1.96E5,1.95E5,1.00:1.00,20.10,,
,1.14,3.27,588.8982,15.16 - 20.27,1,5.2E5,588.8984,20.16,6.47E5,588.8975,20.17,6.05E5,588.8981,20.17,4.92E5,588.8984,20.17,4.96E5,588.8983,20.17,4.5E5,588.8983,20.17,4.67E5,588.8983,20.17,5.97E5,588.8984,20.17,4.55E5,588.8980,20.18,4.75E5,1.31:1.23:1.00:1.01:0.91:0.95:1.21:0.93:0.97,5.26E5,5.09E5,1.00:0.97,20.17,,
,1.13,3.48,620.5459,0.10 - 0.23,1,6.5E5,-,-,0,620.5446,0.18,3.85E5,620.5453,0.15,7.29E5,620.5463,0.17,7.48E5,620.5462,0.18,1.26E6,620.5459,0.17,6.82E5,620.5459,0.16,4.43E5,620.5468,0.16,1.05E6,620.5465,0.15,5.27E5,0:0.53:1.00:1.03:1.73:0.94:0.61:1.44:0.72,6.34E5,6.73E5,1.00:1.06,0.17,,
,1.10,3.01,656.8857,16.81 - 20.27,1,2.8E5,656.8855,20.18,3.24E5,656.8849,20.17,3.18E5,656.8856,20.17,2.74E5,656.8856,20.17,2.69E5,656.8860,20.17,2.5E5,656.8860,20.17,2.61E5,656.8856,20.17,3.03E5,656.8861,20.17,2.55E5,656.8856,20.18,2.91E5,1.18:1.16:1.00:0.98:0.91:0.95:1.11:0.93:1.06,2.83E5,2.83E5,1.00:1.00,20.17,,
