mode,ppm,file_name
positive,-0.251782676,170109_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
positive,-0.311009775,170109_MLH_EMV_MeOH_TLC_STD_Enric_pos_not_extracted_01
negative,3.500571806,170109_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
negative,3.417527554,170109_MLH_EMV_MeOH_TLC_STD_Enric_neg_not_extracted_01
positive,-0.660973094,170110_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
negative,3.347959021,170110_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
positive,-0.884014834,170110_MLH_EMV_MeOH_TLC_STD_Enric_pos_02
positive,-0.923966824,170110_MLH_EMV_MeOH_TLC_STD_Enric_pos_not_extracted01
positive,-0.868930775,170110_MLH_EMV_MeOH_TLC_STD_Enric_pos_03
negative,3.184671245,170110_MLH_EMV_MeOH_TLC_STD_Enric_neg_02
negative,3.167820659,170110_MLH_EMV_MeOH_TLC_STD_Enric_neg_not_extracted_02
positive,-0.524176031,170111_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
positive,-0.92578329,170111_MLH_EMV_MeOH_TLC_STD_Enric_pos_not_extracted_01
negative,-1.056481918,170111_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
negative,NA,170111_MLH_EMV_MeOH_TLC_STD_Enric_neg_not_extracted_01
positive,-0.43004903,170111_MLH_EMV_MeOH_TLC_STD_Enric_pos_01_170111035048
negative,-1.299455491,170111_MLH_EMV_MeOH_TLC_STD_Enric_neg_02
positive,NA,170112_MLH_EMV_MeOH_TLC_STD_Enric_pos_not_extracted01
positive,-0.975035806,170112_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
negative,-1.379681417,170112_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
negative,-1.68804779,170112_MLH_EMV_MeOH_TLC_STD_Enric_neg_not_extracted_01
positive,-1.087431256,170113_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
positive,-1.137816659,170113_MLH_EMV_MeOH_TLC_STD_Enric_pos_not_extracted_01
negative,-2.071746944,170113_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
negative,-2.098110521,170113_MLH_EMV_MeOH_TLC_STD_Enric_neg_not_extracted_01
positive,-1.748847855,170113_MLH_EMV_MeOH_TLC_STD_Enric_pos_02
negative,-1.644548135,170113_MLH_EMV_MeOH_TLC_STD_Enric_neg_02
positive,-1.156649758,170114_MLH_EMV_MeOH_TLC_STD_Enric_pos_not_extracted01
positive,-1.245877824,170114_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
negative,-1.144502769,170114_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
negative,-1.926967979,170114_MLH_EMV_MeOH_TLC_STD_Enric_neg_not_extracted_01
positive,-1.109040192,170114_MLH_EMV_MeOH_TLC_STD_Enric_pos_02
positive,-0.939424821,170114_MLH_EMV_MeOH_TLC_STD_Enric_pos_not_extracted_02
negative,-1.455196363,170114_MLH_EMV_MeOH_TLC_STD_Enric_neg_02
negative,-1.840795853,170114_MLH_EMV_MeOH_TLC_STD_Enric_neg_not_extracted_02
positive,-0.762893796,170114_MLH_EMV_MeOH_TLC_STD_Enric_pos_03
