mode,ppm,file_name
negative,2.165991734,161202_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
negative,2.090171421,161202_MLH_EMV_MeOH_TLC_STD_Enric_neg_01_161202175713
positive,-0.146905323,161202_MLH_EMV_MeOH_TLC_STD_Enric_pos_not_extracted01
positive,-0.113662202,161202_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
negative,NA,161202_MLH_EMV_MeOH_TLC_STD_Enric_neg_02
negative,2.009822787,161202_MLH_EMV_MeOH_TLC_STD_Enric_neg_not_extracted_02
positive,0.110437821,161203_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
positive,NA,161203_MLH_EMV_MeOH_TLC_STD_Enric_pos_not_extracte_01
negative,2.502946813,161203_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
negative,NA,161203_MLH_EMV_MeOH_TLC_STD_Enric_neg_not_extracted_01
negative,2.487692228,161204_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
positive,1.173135776,161204_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
positive,NA,161205_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
negative,NA,161205_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
positive,1.050640282,161205_MLH_EMV_MeOH_TLC_STD_Enric_pos_01_161205105947
negative,2.387903414,161205_MLH_EMV_MeOH_TLC_STD_Enric_neg_01_161205112446
negative,0.932037764,161218_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
positive,0.169882182,161218_MLH_EMV_MeOH_TLC_STD_Enric_pos_not_extracted01
positive,-0.216573133,161218_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
negative,NA,161218_MLH_EMV_MeOH_TLC_STD_Enric_neg_02
negative,1.701850584,161218_MLH_EMV_MeOH_TLC_STD_Enric_neg_not_extracted_02
positive,-0.683748766,161219_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
positive,-0.609529409,161219_MLH_EMV_MeOH_TLC_STD_Enric_pos_not_extracted_01
negative,NA,161219_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
negative,NA,161219_MLH_EMV_MeOH_TLC_STD_Enric_neg_not_extracted_01
positive,-0.421122442,161220_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
negative,NA,161220_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
negative,-1.655775128,161220_MLH_EMV_MeOH_TLC_STD_Enric_neg_02
positive,-0.776678005,161221_MLH_EMV_MeOH_TLC_STD_Enric_pos_not_extracted01
positive,NA,161221_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
negative,1.344874525,161221_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
negative,1.288851149,161221_MLH_EMV_MeOH_TLC_STD_Enric_neg_not_extracted_02
positive,-0.864647534,161222_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
positive,-0.666381924,161222_MLH_EMV_MeOH_TLC_STD_Enric_pos_not_extracted_01
negative,1.826270993,161222_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
negative,0.022460968,161222_MLH_EMV_MeOH_TLC_STD_Enric_neg_not_extracted_01
positive,-0.948517815,161223_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
negative,1.030719481,161223_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
positive,-1.325597812,161224_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
positive,-1.490821133,161224_MLH_EMV_MeOH_TLC_STD_Enric_pos_not_extracted01
negative,0.125267201,161224_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
negative,0.642026028,161224_MLH_EMV_MeOH_TLC_STD_Enric_neg_not_extracted_01
positive,-1.47707096,161225_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
positive,-1.558573378,161225_MLH_EMV_MeOH_TLC_STD_Enric_pos_not_extracted_01
negative,0.232859643,161225_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
negative,0.294681264,161225_MLH_EMV_MeOH_TLC_STD_Enric_neg_not_extracted_01
positive,-1.61183353,161226_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
negative,-0.294301215,161226_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
positive,-1.781081495,161221_MLH_EMV_MeOH_TLC_STD_Enric_pos_01_161225101104
negative,NA,161226_MLH_EMV_MeOH_TLC_STD_Enric_neg_01_161225103401
negative,-1.628467826,170105_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
positive,0.581981197,170105_MLH_EMV_MeOH_TLC_STD_Enric_pos_not_extracted01
negative,1.041703688,170105_MLH_EMV_MeOH_TLC_STD_Enric_neg_01b
positive,0.478610669,170105_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
negative,0.657062884,170105_MLH_EMV_MeOH_TLC_STD_Enric_neg_02
negative,-0.015894155,170105_MLH_EMV_MeOH_TLC_STD_Enric_neg_not_extracted_02
positive,0.810547874,170106_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
positive,0.719669559,170106_MLH_EMV_MeOH_TLC_STD_Enric_pos_not_extracted_01
negative,4.877897025,170106_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
negative,3.972034363,170106_MLH_EMV_MeOH_TLC_STD_Enric_neg_not_extracted_01
positive,0.838790139,170107_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
negative,4.728681689,170107_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
positive,0.381146891,170108_MLH_EMV_MeOH_TLC_STD_Enric_pos_not_extracted01
positive,0.486302281,170108_MLH_EMV_MeOH_TLC_STD_Enric_pos_01
negative,3.973187221,170108_MLH_EMV_MeOH_TLC_STD_Enric_neg_01
negative,3.685646145,170108_MLH_EMV_MeOH_TLC_STD_Enric_neg_not_extracted_01
